语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：解
2022/7/10 22:57:45

序号	语句	书名	朝代
1	请有怨仇雠不相 [解] 者。		《墨子》__春秋战国
2	 [解] ：利西南，无所往，其来复吉，有攸往，夙吉。		《周易》__周
3	 [解] ，音蟹。		《周易》__周
4	! [解] ，难之散也。		《周易》__周
5	险能动，则出于险之外矣， [解] 之象也。		《周易》__周
6	难之既 [解] ，利于平易安静，不欲久为烦扰。		《周易》__周
7	《彖》曰：“ [解] ”，险以动，动而免乎险， [解] 。		《周易》__周
8	 [解] ，利西南”，往得众也。“		《周易》__周
9	天地 [解] 而雷雨作，雷雨作而百果草木皆甲坼。		《周易》__周
10	 [解] 之时大矣哉。		《周易》__周
11	《象》曰：雷雨作， [解] ，君子以赦过宥罪。		《周易》__周
12	难既 [解] 矣，以柔在下，上有正应，何咎之有？		《周易》__周
13	九四， [解] 而拇，朋至斯孚。		《周易》__周
14	 [解] ，佳买反。		《周易》__周
15	然四阳初阴，其类不同，若能 [解] 而去之，则君子之朋至而相信也。		《周易》__周
16	《象》曰：“ [解] 而拇”，未当位也。		《周易》__周
17	六五，君子维有 [解] ，吉，有孚于小人。		《周易》__周
18	 [解] ，音蟹。		《周易》__周
19	此覆 [解] 上文絜矩二字之义。		《大学中庸》__春秋战国
20	者，必 [解] 而去之则吉也。		《周易》__周
21	君子有 [解] ，以小人之退为验也。		《周易》__周
22	《象》曰：君子有 [解] ，小人退也。		《周易》__周
23	《象》曰：公用射隼，以 [解] 悖也。		《周易》__周
24	 [解] ，佳买反。		《周易》__周
25	鲁鄙人遗宋元王闭，元王号令於国，有巧者皆来 [解] 闭。		《吕氏春秋》__春秋战国
26	人莫之能 [解] 。		《吕氏春秋》__春秋战国
27	儿说之弟子请往 [解] 之，乃能 [解] 其一，不能 [解] 其一，且曰：“非可 [解] 而我不能 [解] 也，固不可 [解] 也。”		《吕氏春秋》__春秋战国
28	问之鲁鄙人，鄙人曰：“然，固不可 [解] 也，我为之而知其不可 [解] 也。		《吕氏春秋》__春秋战国
29	今不为而知其不可 [解] 也，是巧於我。”		《吕氏春秋》__春秋战国
30	故如儿说之弟子者，以“不 [解] ” [解] 之也。		《吕氏春秋》__春秋战国
31	晋文公 [解] 曹地以分诸侯。		《国语》__春秋战国
32	僖公使臧文仲往，宿于重馆，重馆人告曰面议晋始伯而欲固诸侯，故 [解] 有罪之地以分诸侯。		《国语》__春秋战国
33	卦自《 [解] 》来，柔上居四，内巽外顺，九二刚中而		《周易》__周
34	又一年，王召范蠡而问焉，曰：“吾与子谋吴，子曰‘未可也’，今吴王因于乐而忘其百姓，乱民功，逆天时；信谗喜优，憎辅远弼，圣人不出，忠臣 [解] 骨；皆曲相御，莫适相非，上下相偷。		《国语》__春秋战国
35	’天下共割韩上地十城以谢秦， [解] 其兵。		《韩非子》__春秋战国
36	此商君之所以车裂於秦，而吴起之所以枝 [解] 於楚者也。		《韩非子》__春秋战国
37	故文王说纣而纣囚之；翼候炙；鬼候腊，比干剖心；梅伯酸；夷吾束缚；而曹羁奔陈；伯里子道乞；传说转鬻；孙子膑脚于魏；吴起收泣于岸门，痛西河之为秦，卒枝 [解] 于楚；公叔痤言国器反为悖，公孙鞅奔秦；关龙逢斩；苌弘分胣；尹子罕于棘；司马子期死而浮于江；田明辜射；宓子贱、西门豹不斗而死人手；董安于死而陈于市；宰予不免于田常；范雎折协于魏。		《韩非子》__春秋战国
38	因赂以名都而南与伐楚，是患 [解] 于秦而害交于楚也。”		《韩非子》__春秋战国
39	五年之后， 心庚念是非，口庚言利害，夫子始一 [解] 颜而笑。		《列子》__春秋战国
40	 [解] 衣与弟子，夜半而死。		《吕氏春秋》__春秋战国
41	若天若地，是谓累 [解] ；若地若天，孰疏孰亲？		《韩非子》__春秋战国
42	壮而怠则失时，老而 [解] 则无名。		《吕氏春秋》__春秋战国
43	是故明君之行赏也，暖乎如时雨，百姓利其泽；其行罚也，畏乎如雷霆，神圣不能 [解] 也。		《韩非子》__春秋战国
44	 [解] 其纷，和其光，同其尘，湛兮似或		《老子》__春秋战国
45	今东方介氏之国， 其国人数数 [解] 六畜之语者，盖偏知之所得，太古神圣之人，备知万物情态，悉 [解]  异类音声。		《列子》__春秋战国
46	宋有狙公者，爱狙；养之成群，能 [解] 狙之意；狙亦得公之心。		《列子》__春秋战国
47	而不可 [解] 。		《老子》__春秋战国
48	或曰，阳虎以 [解] 众也。		《榖梁传》__春秋战国
49	封人子高出，段乔使人夜 [解] 其吏之束缚也而出之。		《吕氏春秋》__春秋战国
50	案往舊造說，謂之五行，其僻違而無類，幽隱而無說，閉約而無 [解] 。		《荀子》__春秋战国
51	挫其锐， [解] 其纷，和其光，同其尘，是谓玄同。		《老子》__春秋战国
52	及围 [解] 而疾俱复。		《列子》__春秋战国
53	今行者见大树，必 [解] 衣悬冠倚剑而寝其下。		《吕氏春秋》__春秋战国
54	天雨， [解] 素衣，衣缁衣而反。		《列子》__春秋战国
55	挫其锐， [解] 其忿。”		《老子想尔注》__春秋战国
56	!释《 [解] 》六三爻义。		《周易》__周
57	人不 [解] 黄帝微意，空而效之，而恶心不改，可谓大患也。“		《老子想尔注》__春秋战国
58	籥者可吹竹，气动有声，不可见，故以为喻，以 [解] 愚心也。“		《老子想尔注》__春秋战国
59	故國君長民者，欲趨時遂功，則和調累 [解] ，速乎急疾；忠信均辨，說乎慶賞矣；必先修正其在我者，然後徐責其在人者，威乎刑罰。		《荀子》__春秋战国
60	是以不主智能而顺事治国患 [解] 大臣胜任也不言聪明而善人举奸伪诛视听者众也，		《管子》__春秋战国
61	屠牛坦朝 [解] 九牛而刀可以莫则刁游间也，		《管子》__春秋战国
62	此义平忤俗夫心，久久自 [解] ，与道合矣。		《老子想尔注》__春秋战国
63	恐人不 [解] ，故重申示之也。		《老子想尔注》__春秋战国
64	复 [解] 前章之意耳。“		《老子想尔注》__春秋战国
65	明计者心 [解] ，可不须用{下}。		《老子想尔注》__春秋战国
66	善结无绳约不可 [解] 。”		《老子想尔注》__春秋战国
67	至诚者为之，虽无绳约，永不可 [解] 。		《老子想尔注》__春秋战国
68	不至诚者，虽有绳约，犹可 [解] 也。“		《老子想尔注》__春秋战国
69	君有過謀過事，將危國家隕社稷之懼也；大臣父兄，有能進言於君，用崐則可，不用則去，謂之諫；有能進言於君，用則可，不用則死，謂之爭；有能比知崐同力，率群臣百吏而相與強君撟君，君雖不安，不能不聽，遂以 [解] 國之大患，除國崐之大害，成於尊君安國，謂之輔；有能抗君之命，竊君之重，反君之事，以安國之崐危，除君之辱，功伐足以成國之大利，謂之拂。		《荀子》__春秋战国
70	此释《 [解] 》上六爻义。		《周易》__周
71	且吾之此言未必非迷，而况鲁之君子，迷之邮者，焉能 [解] 人之迷哉？		《列子》__春秋战国
72	弗去也，故恶积而不可掩，罪大而不可 [解] 。		《周易》__周
73	故曰：通意之悖， [解] 心之缪，去德之累，通道之塞。		《吕氏春秋》__春秋战国
74	是故内聚以为泉原泉之不竭表裹遂运泉之不涸四支坚固能令用之被及四圄是故圣人一言之 [解] 上察于天下察于地。		《管子》__春秋战国
75	事有适而无适若有适 [解] 不可 [解] 而后 [解] ，		《管子》__春秋战国
76	上弥残苛而无 [解] 舍下愈覆势而不听从，		《管子》__春秋战国
77	什一之师三年不 [解] 非有馀食也则民有子矣，		《管子》__春秋战国
78	经 [解] 第二十六 (注疏本P1609 白文本P 883)		《礼记》__春秋战国
79	五年之后，心更念是非，口更言利害，老商始一 [解] 颜而笑。		《列子》__春秋战国
80	岁事来辟，勿予祸适，稼穑匪 [解] 。		《诗经》__周
81	夫今子宋子不能 [解] 人之惡侮，而務說人以勿辱也，豈不過甚矣哉！		《荀子》__春秋战国
82	一言之 [解] 上察于天下极于地，		《管子》__春秋战国
83	物不可以终难，故受之以《 [解] 》。		《周易》__周
84	 [解] 者，缓也。		《周易》__周
85	《 [解] 蔽》篇第二十一		《荀子》__春秋战国
86	祁黄羊对曰：“ [解] 狐可。”		《吕氏春秋》__春秋战国
87	平公曰：“ [解] 狐非子之雠邪？”		《吕氏春秋》__春秋战国
88	《 [解] 》，缓也，《蹇》，难也。		《周易》__周
89	牧民 [解] 篇第六十三(亡)		《管子》__春秋战国
90	物不可以终难，故受之以《 [解] 》。		《周易》__周
91	 [解] 者，缓也。		《周易》__周
92	故三月 [解] 而弓弩无匡者，		《管子》__春秋战国
93	然则冰 [解] 而冻释草木区萌，		《管子》__春秋战国
94	小人以小善为无益而弗为也，以小恶为无伤而弗去也，故恶积而不可掩，罪大而不可 [解] 。		《周易》__周
95	是以圣人之化世也其 [解] 在水，		《管子》__春秋战国
96	輕身而重貨，恬禍而廣 [解] 茍免，不恤是非，然不然之情，以期勝人為意∶是下勇也。		《荀子》__春秋战国
97	鹿角 [解] ，蝉始鸣，半夏生，木堇荣。		《吕氏春秋》__春秋战国
98	昔古朱襄氏之治天下也，多风而阳气畜积，万物散 [解] ，果实不成，故士达作为五弦瑟，以来阴气，以定群生。		《吕氏春秋》__春秋战国
99	病未若死，祗以 [解] 志。”		《国语》__春秋战国
100	季夏行春令，则谷实 [解] 落，国多风咳，人乃迁徙；行秋令，则丘隰水潦，禾稼不熟，乃多女灾，行冬令，则寒气不时，鹰隼早鸷，四鄙入保。		《吕氏春秋》__春秋战国
101	天命匪 [解] ，桓桓武王。		《诗经》__周
102	义则敌孤独，敌孤独则上下虚，民 [解] 落；孤独则父兄怨，贤者诽，乱内作。		《吕氏春秋》__春秋战国
103	善问者，如攻坚木，先其易者，后其节目，及其久也，相说以 [解] ，不善问者反此。		《礼记》__春秋战国
104	春秋匪 [解] ，享祀不忒。		《诗经》__周
105	遂 [解] 左骖以赠之，因载而与之俱归。		《晏子春秋》__春秋战国
106	季秋行夏令，则其国大水，冬藏殃败，民多鼽窒；行冬令，则国多盗贼，边境不宁，土地分裂；行春令，则暖风来至，民气 [解] 堕，师旅必兴。		《吕氏春秋》__春秋战国
107	宋之庖丁好 [解] 牛，所见无非死牛者，三年而不见生牛，用刀十九年，刃若新磨研，顺其理，诚乎牛也。		《吕氏春秋》__春秋战国
108	《 [解] 》，缓也。		《周易》__周
109	’当今之时，万乘之国行仁政，民之悦之，犹 [解] 倒悬也。		《孟子》__春秋战国
