语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：言
2022/11/6 21:42:21

序号	语句	书名	朝代
1	自 [言] 节操凛如霜，做不得二夫烈女；不久形躯将就木，再拚个一度春风。		《初刻拍案惊奇》__元明
2	只须先行谢 [言] 之礼，等事平之后，慢慢的做亲。”		《初刻拍案惊奇》__元明
3	张、李二公，与闻斯 [言] 。		《初刻拍案惊奇》__元明
4	果然依了子文之 [言] ，将女儿的青丝细发，剪了一镂送来。		《初刻拍案惊奇》__元明
5	二人依 [言] 。		《初刻拍案惊奇》__元明
6	赵孝也约莫着说个日期，又与两人所 [言] 不相对了。		《初刻拍案惊奇》__元明
7	金朝奉见太守为他，不敢怠慢；欲待与舅子到上司做些手脚，又少不得经由府县的，正所谓敢怒而不敢 [言] ，只得一一听从。		《初刻拍案惊奇》__元明
8	知县依 [言] 即便差人押去起尸。		《初刻拍案惊奇》__元明
9	知县又依 [言] ，不多时，邻舍唤到。		《初刻拍案惊奇》__元明
10	知县道：“情真罪当，再有何 [言] ？		《初刻拍案惊奇》__元明
11	刘氏依 [言] 收进盘盒，摆饭请了吕客人。		《初刻拍案惊奇》__元明
12	若违我 [言] ，拿来重贵。”		《初刻拍案惊奇》__元明
13	知县随即唤几个应捕，分忖道：“你们可密访着船家周四，用甘 [言] 美语哄他到此，不可说出实情。		《初刻拍案惊奇》__元明
14	周四倾口无 [言] ，面如槁木。		《初刻拍案惊奇》__元明
15	总管对他道：“我之禄寿已不必 [言] 。		《初刻拍案惊奇》__元明
16	适间听公所 [言] ，莫非是公的令嗣么？”		《初刻拍案惊奇》__元明
17	张郎听见适才丈人所 [言] ，道是暗暗里有些侵着他，一发不象意道：“他明明疑心我要暗算小梅，我枉做好人，也没干。		《初刻拍案惊奇》__元明
18	妈妈被刘员外说得明切， [言] 下大悟。		《初刻拍案惊奇》__元明
19	妈妈见这几句话，恰恰对着适间所 [言] 的，气得目睁口呆，变了色道：“你既是张家的儿子媳妇，怎生掌把着刘家的家私？”		《初刻拍案惊奇》__元明
20	元普闻 [言] ，茫然不知就里。		《初刻拍案惊奇》__元明
21	女子道：“君 [言] 差矣。		《初刻拍案惊奇》__元明
22	裴安卿听说，却正似顶门上失了三魂，脚底下荡了七魄，连声只叫得苦，悔道：“不听兰孙之 [言] ，以至于此！		《初刻拍案惊奇》__元明
23	臣某惶恐上 [言] 。		《初刻拍案惊奇》__元明
24	铁生道：“贤妻之 [言] 甚是有理。”		《初刻拍案惊奇》__元明
25	小道士遵师 [言] ，鞠躬旁站。		《初刻拍案惊奇》__元明
26	次日，便请刘元普来，从容说道：“老身今有一 [言] ，相公幸勿喧怪！”		《初刻拍案惊奇》__元明
27	狄氏道：“妾久有意，不必多 [言] 。”		《初刻拍案惊奇》__元明
28	夫人依 [言] 。		《初刻拍案惊奇》__元明
29	刘元普拱手向众人说道：“列位高亲在此，听弘敬一 [言] ：敬闻‘利人之色不仁，乘人之危不义’。		《初刻拍案惊奇》__元明
30	廷臣不知来息真伪，是何缘故，面面相觑，不敢开 [言] 。		《初刻拍案惊奇》__元明
31	 [言] 讫，拱手而别。		《初刻拍案惊奇》__元明
32	’ [言] 讫而去，贫僧定中所见如此。		《初刻拍案惊奇》__元明
33	夫人道：“妾身亦慕相公大德，古今罕有，自然得福非轻，神明之 [言] ，谅非虚谬。”		《初刻拍案惊奇》__元明
34	刘元普见说张氏生女，思想梦中李君之 [言] ，好生有验，只是自己不曾有子，不好说得。		《初刻拍案惊奇》__元明
35	悄悄别了门氏回家里来，且自隐忍不 [言] 。		《初刻拍案惊奇》__元明
36	狄氏一时无 [言] 。		《初刻拍案惊奇》__元明
37	刘元普半信半疑道：“梦中之 [言] ，果然不虚么？”		《初刻拍案惊奇》__元明
38	元普对夫人道：“一梦之灵验如此，若如裴、李二公之 [言] ，皆上天之赐也。”		《初刻拍案惊奇》__元明
39	铁生与门氏甚是相得，心中想着卧师所 [言] 祸福之报，好生警悟，对门氏道：“我只因见你姿色，起了邪心，却被胡生先淫媾了妻子。		《初刻拍案惊奇》__元明
