语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：让
2022/7/10 23:08:52

序号	语句	书名	朝代
1	一家仁，一国兴仁；一家 [让] ，一国兴 [让] ；一人贪戾，一国作乱；其机如此。		《大学中庸》__春秋战国
2	舜 [让] 于德，弗嗣。		《尚书》__周
3	禹拜稽首， [让] 于稷、契暨皋陶。		《尚书》__周
4	垂拜稽首， [让] 于殳斨暨伯与。”		《尚书》__周
5	益拜稽首， [让] 于朱虎、熊罴。		《尚书》__周
6	伯拜稽首， [让] 于夔、龙。		《尚书》__周
7	归，鲍国谓之曰：“子何辞苦成叔之邑，欲信 [让] 耶，抑知其不可乎？”		《国语》__春秋战国
8	将逊于位， [让] 于虞舜，作《尧典》。		《尚书》__周
9	曰若稽古帝尧，曰放勋，钦、明、文、思、安安，允恭克 [让] ，光被四表，格于上下。		《尚书》__周
10	数与于祭而君有庆；数不与于祭而君有 [让] 。		《礼记》__春秋战国
11	数有庆而益地；数有 [让]  而削地。		《礼记》__春秋战国
12	今子图远以 [让] 邑，必常立矣。”		《国语》__春秋战国
13	不得与于祭者有 [让] ，削以地，得与于祭者 有庆，益以地。		《礼记》__春秋战国
14	揖 [让] 而升，下而饮，其争也 君子。”		《礼记》__春秋战国
15	文仲曰：“贤者急病而 [让] 夷，居官者当事不避难，在位者恤民之患，是以国家无违。		《国语》__春秋战国
16	谁敢不 [让] ，敢不敬应？		《尚书》__周
17	祖考来格，虞宾在位，群后德 [让] 。		《尚书》__周
18	一家仁，一国兴仁；一家 [让] ，一国兴 [让] ；一人贪戾，一国作乱；其机如此。		《大学中庸》__春秋战国
19	执烛不 [让] ，不辞，不 敬。		《礼记》__春秋战国
20	无不 [让] 也不可说在始。		《墨子》__春秋战国
21	孤以下密迩于天子，无所逃罪，讯 [让] 日至，曰：昔吴伯父不失，春秋必率诸侯以顾在余一人。		《国语》__春秋战国
22	秦王不说，使人 [让] 赵王曰：“约曰：‘秦之所欲为，赵助之；赵之所欲为，秦助之。		《吕氏春秋》__春秋战国
23	赵王以告平原君，平原君以告公孙龙，公孙龙曰：“亦可以发使而 [让] 秦王曰：‘赵欲救之，今秦王独不助赵，此非约也。		《吕氏春秋》__春秋战国
24	仲父，大名也； [让] 国，大实也。		《吕氏春秋》__春秋战国
25	其汝克敬德，明我俊民，在 [让] 后人于丕时。		《尚书》__周
26	儒有衣冠中，动作慎，其大 [让] 如慢，小 [让] 如伪，大则如威，小则如愧。		《礼记》__春秋战国
27	其尊 [让] 有如此者。		《礼记》__春秋战国
28	舜 [让] 其友石户之农，石户之农曰：“棬々乎后之为人也！		《吕氏春秋》__春秋战国
29	舜又 [让] 其友北人无择，北人无择曰： “异哉后之为人也！		《吕氏春秋》__春秋战国
30	武王逆取而贵顺；争天下而上 [让] ；其取之以力，持之以义。		《商君书》__春秋战国
31	以 [让] 卞随，卞随辞曰：“后之伐桀也，谋乎我，必以我为贼也；胜桀而 [让] 我，必以我为贪也。		《吕氏春秋》__春秋战国
32	汤又 [让] 於务光曰：“智者谋之，武者遂之，仁者居之，古之道也。		《吕氏春秋》__春秋战国
33	八年，出入门户及即席 饮食，必后长者，始教之 [让] 。		《礼记》__春秋战国
34	若夫豫 [让] 为智伯臣也，上不能说人主使之明法术度数之理以避祸难之患，下不能领御其众以安其国；及襄子之杀智伯也，豫 [让] 乃自黔劓，败其形容，以为智伯报襄子之仇。		《韩非子》__春秋战国
35	古有伯夷叔齐者，武王 [让] 以天下而弗受，二人饿死首阳之陵。		《韩非子》__春秋战国
36	臣非非难言孔，所以难言者：言顺比滑泽，洋洋纚々然，则见以为华而不实；敦祗恭厚，鲠固慎完，则见以为掘而不伦；多言繁称，连类比物，则见以为虚而无用；总微说约，径省而不饰，则见以为刿而不辩；激急亲近，探知人情，则见以为谮为不 [让] ；闳大广博，妙远不测，则见以为夸而无用；家计小谈，以具数言，则见以为陋；言而近世，辞不悖逆，则见以为贪生而谀上；言而远俗，诡躁人间，则见以为诞；捷敏辩给，繁于文采，则见以为史；殊释文学，以质信言，则见以为鄙；时称诗书，道法往古，则见以为诵。		《韩非子》__春秋战国
37	“凡为名 者必廉，廉斯贫；为名者必 [让] ， [让] 斯贱。”		《列子》__春秋战国
38	昔者尧舜伪以天下 [让] 许由善卷， 而不失天下，郭祚百年。		《列子》__春秋战国
39	伯夷叔齐实以孤竹君 [让] ，而终亡其国，饿死于首阳之山。		《列子》__春秋战国
40	昔太古尝无君矣，其民聚生群处，知母不知父，无亲戚兄弟夫妻男女之别，无上下长幼之道，无进退揖 [让] 之礼，无衣服履带宫室畜积之便，无器械舟车城郭险阻之备。		《吕氏春秋》__春秋战国
41	豫 [让] 欲杀赵襄子，灭须去眉，自刑以变其容，为乞人而往乞於其妻之所。		《吕氏春秋》__春秋战国
42	豫 [让] 笑而应之曰：“是先知报後知也，为故君贼新君矣，大乱君臣之义者无此，失吾所为为之矣。		《吕氏春秋》__春秋战国
43	白圭曰：“愿公子之毋 [让] 也！”		《吕氏春秋》__春秋战国
44	尧以天下 [让] 舜。		《吕氏春秋》__春秋战国
45	人之所以为人者， [让] 也。		《榖梁传》__春秋战国
46	请道去 [让] 也，则是舍其所以为人也，是以重之。		《榖梁传》__春秋战国
47	推贤 [让] 能，庶官乃和，不和政庞。		《尚书》__周
48	既反，孟氏之父子叩胸而 [让] 施氏。		《列子》__春秋战国
49	齐人以为 [让] ，又去鲁而如吴，王予之朱方。		《吕氏春秋》__春秋战国
50	孟孙阳 [让] 之曰：“何吾子问之迂， 夫子答之僻？		《列子》__春秋战国
51	是故天子有善 [让] 德于天诸候有善之于天子大夫有善纳之于君民有善本于父之于长老，		《管子》__春秋战国
52	固辞 [让] ，而相桓公果听之。		《吕氏春秋》__春秋战国
53	治斧者不敢 [让] 刑治轩冕者不者不敢 [让] 赏，		《管子》__春秋战国
54	敬 [让] 之道也。		《礼记》__春秋战国
55	致和用也，致义也，致 [让] 也。		《礼记》__春秋战国
56	致 [让] ，以去争也。		《礼记》__春秋战国
57	若有大故而入，君必与之揖 [让] ，而后及爵者。		《礼记》__春秋战国
58	天子有善， [让] 德于天；诸侯有善，归诸天子；卿大夫有善，荐于诸侯；士庶 人有善，本诸父母，存诸长老，禄爵庆赏，成诸宗庙，所以示顺也。		《礼记》__春秋战国
59	是以 昏礼纳采，问名，纳吉，纳徵，请期，皆主人筵几于庙，而拜迎于门外，入，揖  [让] 而升，听命于庙，所以敬慎重正昏礼也。		《礼记》__春秋战国
60	婿执雁入揖 [让] 升堂，再拜奠雁，盖亲受之于父母也。		《礼记》__春秋战国
61	故贵贱有等，衣服有别， 朝廷有位，则民有所 [让] 。”		《礼记》__春秋战国
62	子云：“觞酒豆肉 [让] 而受恶，民犹犯齿；衽席之上 [让] 而坐下，民犹犯贵；朝 廷之位 [让] 而就贱，民犹犯君。		《礼记》__春秋战国
63	《诗》云：‘民之无良，相怨一方；受爵不 [让] ，至 于己斯亡。		《礼记》__春秋战国
64	子云：“君子贵人而贱己，先人而后己，则民作 [让] 。		《礼记》__春秋战国
65	子云：“有国家者，贵人而贱禄，则民兴 [让] ；尚技而贱车，则民兴艺。		《礼记》__春秋战国
66	故君子信 [让] 以莅百姓，则民之报礼重。		《礼记》__春秋战国
67	尧以天下 [让] 於子州支父，子州支父对曰：“以我为天子犹可也。		《吕氏春秋》__春秋战国
68	子云：“善则称人，过则称己，则民 [让] 善，诗云：‘考卜惟王，度是镐京， 惟龟正之，武王成之。		《礼记》__春秋战国
69	子云：“宾礼每进以 [让] ，丧礼每加以远。		《礼记》__春秋战国
70	鲁惠公使宰 [让] 请郊庙之礼於天子，桓王使史角往，惠公止之。		《吕氏春秋》__春秋战国
71	一家仁， 一国兴仁；一家 [让] ，一国兴 [让] ；一人贪戾，一国作乱：其机如此。		《礼记》__春秋战国
72	子贡曰：“夫子温、良、恭、俭、 [让] 以得之。		《论语》__春秋战国
73	揖 [让] 而升，下而饮。		《论语》__春秋战国
74	主人拜迎宾于庠门之外，入，三揖而后至阶，三 [让] 而后升，所 以致尊 [让] 也。		《礼记》__春秋战国
75	尊 [让] 敬也者，君子之所以相接也。		《礼记》__春秋战国
76	君子尊 [让] 则不争，敬则不慢，不慢 不争，则远于斗辨矣，不斗辨则无暴乱之祸矣，斯君子之所以免于人祸也，故圣 人制之以道。		《礼记》__春秋战国
77	 [让] 之三也，象月之三日而 成魄也。		《礼记》__春秋战国
78	先礼而后财，则民作敬 [让] 而不争矣。		《礼记》__春秋战国
79	三揖至于阶，三 [让] 以宾升，拜至、献、酬、辞 [让] 之节繁。		《礼记》__春秋战国
80	月者三日则成魄，三月则成时，是以礼有 三 [让] ，建国必立三卿。		《礼记》__春秋战国
81	子曰：恭近礼， 俭近仁，信近情，敬 [让] 以行，此虽有过，其不甚矣。		《礼记》__春秋战国
82	是故君 子恭俭以求役仁，信 [让] 以求役礼。		《礼记》__春秋战国
83	不自尚其事，不自尊其身，俭于位而寡于欲，  [让] 于人，卑己尊人，小心而畏义，求以事君。		《礼记》__春秋战国
84	揖 [让] 而治天下者，礼乐之谓也。		《礼记》__春秋战国
85	三以天下 [让] ，民无得而称焉。”		《论语》__春秋战国
86	武子怒曰：“大夫非不能也， [让] 父兄也。		《国语》__春秋战国
87	受爵不 [让] ，至于已斯亡。		《诗经》__周
88	其所 [让] ，皆社稷之卫也。		《国语》__春秋战国
89	子犯卒，蒲城伯请佐，公曰：“夫赵衰三 [让] 不失义。		《国语》__春秋战国
90	齐 者，三代之遗声也，齐人识之，故谓之齐，明乎商之音者，临事而屡断；明乎齐 之音者，见利而 [让] 。		《礼记》__春秋战国
91	见利而 [让] ，义也。		《礼记》__春秋战国
92	子曰：“当仁，不 [让] 于师。”		《论语》__春秋战国
93	悼公闻之，曰：“难虽不能死君而能 [让] ，不可不赏也。”		《国语》__春秋战国
94	曰：“为国以礼，其言不 [让] ，是故哂之。”		《论语》__春秋战国
95	孟子曰：“好名之人能 [让] 千乘之国，苟非其人，箪食豆羹见于色。”		《孟子》__春秋战国
96	冉叔誓必死於田侯，而齐国皆惧；豫 [让] 必死於襄子，而赵氏皆恐；成荆致死於韩主，而周人皆畏；又况乎万乘之国而有所诚必乎？		《吕氏春秋》__春秋战国
97	祭祀之相，主人自致其敬，尽其嘉，而无与 [让] 也。		《礼记》__春秋战国
98	子叔昭伯曰：“臣受命于君曰：‘诸侯相见，交 [让] ，争处其卑，礼之文也；交委多，争受少，行之实也。		《晏子春秋》__春秋战国
99	诸侯荼，前诎后直， [让] 于天子也。		《礼记》__春秋战国
100	大夫前诎后诎，无 所不 [让] 也。		《礼记》__春秋战国
101	入其疆，土地荒芜，遗老失贤，掊克在位，则有 [让] 。		《孟子》__春秋战国
102	廉之谓公正， [让] 之谓保德，凡有血气者，皆有争心，怨利生孽，维义可以为长存。		《晏子春秋》__春秋战国
103	栾、高不 [让] ，以至此祸，可毋慎乎！		《晏子春秋》__春秋战国
104	且婴闻之，廉者，政之本也； [让] 者，德之主也。		《晏子春秋》__春秋战国
105	晏子入门，三 [让] ，升阶，用三献焉；☆酒尝膳，再拜，告餍而出，公下拜，送之门，反，命撤酒去乐，曰：“吾以彰晏子之教也。”		《晏子春秋》__春秋战国
106	豫 [让] 、公孙弘是矣。		《吕氏春秋》__春秋战国
107	若无礼则 手足无所错，耳目无所加，进退揖 [让] 无所制。		《礼记》__春秋战国
108	豫 [让] 之友谓豫 [让] 曰：“子之行何其惑也？		《吕氏春秋》__春秋战国
109	豫 [让] 曰：“我将告子其故。		《吕氏春秋》__春秋战国
110	两君相见；揖 [让] 而入门，入门而县兴，揖 [让] 而升堂， 升堂而乐阕。		《礼记》__春秋战国
111	豫 [让] ，国士也，而犹以人之於己也为念，又况於中人乎？		《吕氏春秋》__春秋战国
112	青荓进视梁下，豫 [让] 却寝，佯为死人。		《吕氏春秋》__春秋战国
113	青荆豫 [让] ，可谓之友也		《吕氏春秋》__春秋战国
114	简子许之，使少室周为宰，曰：“知贤而 [让] ，可以训矣。”		《国语》__春秋战国
115	象天能敬，帅意能忠，思身能信，爱人能仁，利制能义；事建能智，帅义能勇，施辩能教，昭神能孝，慈和能惠，推敌能 [让] 。		《国语》__春秋战国
116	’在礼，敌必三 [让] ，是则圣人知民之不可加也。		《国语》__春秋战国
117	夫敬，文之恭也；忠，文之实也；信，文之孚也；仁，文之爱也；义，文之制也；智，文之舆也；勇，文之帅也；教，文之施也；孝，文之本也；惠，文之慈也； [让] ，文之材也。		《国语》__春秋战国
118	公孙接、田开疆曰：“吾勇不子若，功不子逮，取桃不 [让] ，是贪也；然而不死，无勇也。”		《晏子春秋》__春秋战国
119	夫戎、狄，冒没轻☆，贪而不 [让] 。		《国语》__春秋战国
120	及鲁侯至，仲孙蔑为介，王孙说与之语，说 [让] 。		《国语》__春秋战国
121	君子不自称也，非以 [让] 也，恶其盖人也。		《国语》__春秋战国
122	求盖人，其抑下滋甚，故圣人贵 [让] 。		《国语》__春秋战国
123	敬事供上曰恭，尊贤贵义曰恭，尊贤敬 [让] 曰恭，既过能改曰恭，执事坚固曰恭，爱民长弟曰恭，执礼御宾曰恭，芘亲之阙曰恭，尊贤 [让] 善曰恭，渊源流通曰恭。		《逸周书》__春秋战国
124	昔史佚有言曰：‘动莫若敬，居莫若俭，德莫若 [让] ，事莫若咨。		《国语》__春秋战国
125	夫宫室不崇，器无彤镂，俭也；身耸除洁，外内齐给，敬也；宴好享赐，不逾其上， [让] 也；宾之礼事，放上而动，咨也。		《国语》__春秋战国
126	二后受之， [让] 于德也。		《国语》__春秋战国
127	其始也，翼上德 [让] ，而敬百姓。		《国语》__春秋战国
128	始于德 [让] ，中于信宽，终于固和，故曰成。		《国语》__春秋战国
129	单子俭敬 [让] 咨，以应成德。		《国语》__春秋战国
130	居俭动敬，德 [让] 事咨，而能避怨，以为卿佐，其有不兴乎！		《国语》__春秋战国
131	□用以资之，则民乐；明德以师之，则民 [让] ；生之乐之，则母之，礼也。		《逸周书》__春秋战国
132	屏言而弗顾，自顺而弗 [让] ，非是而强之，曰妒诬者也。		《逸周书》__春秋战国
133	小施而好德，小 [让] 而争大，言愿以为质，伪爱以为忠，尊其得以改其名，如此，隐于仁贤者也。		《逸周书》__春秋战国
134	自顺而不 [让] ，措辞而不遂，此隐于智理者也。		《逸周书》__春秋战国
135	少言以行恭俭，以 [让] 有知而言弗发，有施而□弗德，曰谦良者也。		《逸周书》__春秋战国
136	于是乎有刑不祭，伐不祀，征不享， [让] 不贡，告不王。		《国语》__春秋战国
137	于是乎有刑罚之☆，有攻伐之兵，有征讨之备，有威 [让] 之令，有文告之辞。		《国语》__春秋战国
138	十淫：一淫政破国，动不时，民不保；二淫好破义，言不协，民乃不和；三淫乐破德，德不纯，民乃失常；四淫动破丑，丑不足，民乃不 [让] ；五淫中破礼，礼不同，民乃不协；六淫采破服，服不度，民乃不顺；七淫文破典，典不式教，民乃不类；八淫权破故，故不法，官民乃无法；九淫贷破职，百官令不承；十淫巧破用，用不足，百意不成。		《逸周书》__春秋战国
139	十奸：一穷□干静，二酒行干理，三辩惠干知，四移洁干清，五死勇干武，六展允干信，七比誉干 [让] ，八阿众干名，九专愚干果，事愎孤干贞。		《逸周书》__春秋战国
140	三 [让] ：一近市，二贱粥，三施资。		《逸周书》__春秋战国
141	元忠尚 [让] ，亲均惠下，集固介德。		《逸周书》__春秋战国
142	三揖，至于阶，三 [让] 。		《仪礼》__春秋战国
143	宾入门左，揖 [让] 如初，升致命，张皮。		《仪礼》__春秋战国
144	公出，迎宾以入，揖 [让] 如初。		《仪礼》__春秋战国
145	公揖 [让] 如初，升。		《仪礼》__春秋战国
146	至于阶， [让] ，大夫先升一等。		《仪礼》__春秋战国
147	入，揖 [让] 如初。		《仪礼》__春秋战国
148	三揖，皆行，至于阶， [让] 。		《仪礼》__春秋战国
149	庭实设，揖 [让] 如初。		《仪礼》__春秋战国
150	庭实设，介奉币入，大夫揖 [让] 如初。		《仪礼》__春秋战国
151	宾入门，皇；升堂， [让] ；将授，志趋；授如争承，下如送；君还，而后退。		《仪礼》__春秋战国
152	主人与宾三揖，至于阶，三 [让] 。		《仪礼》__春秋战国
153	卒洗，主人壹揖，壹 [让] 。		《仪礼》__春秋战国
154	卒盥，揖 [让] 升。		《仪礼》__春秋战国
155	桓公曰：“愿仲父之无 [让] 也。”		《吕氏春秋》__春秋战国
156	宾东北面盥，坐取爵，卒洗，揖 [让] 如初，升。		《仪礼》__春秋战国
157	卒洗，揖 [让] 升。		《仪礼》__春秋战国
158	知死不可 [让] ，原勿爱兮。		《楚辞》__春秋战国
159	主人以介揖 [让] 升，拜如宾礼。		《仪礼》__春秋战国
160	介揖 [让] 升，授主人爵于两楹之间。		《仪礼》__春秋战国
161	缪公闻之，使人 [让] 蹇叔曰：“寡人兴师，未知何如。		《吕氏春秋》__春秋战国
162	揖 [让] 升，宾厌介升，介厌众宾升，众宾序升，即席。		《仪礼》__春秋战国
163	二曰以阳礼教 [让] ，则民不争。		《周礼》__春秋战国
164	说屦，揖 [让] 如初，升，坐。		《仪礼》__春秋战国
165	主人迎，揖 [让] 升。		《仪礼》__春秋战国
166	子贡赎鲁人於诸侯，来而 [让] ，不取其金。		《吕氏春秋》__春秋战国
167	卑梁人操其伤子以 [让] 吴人，吴人应之不恭，怒，杀而去之。		《吕氏春秋》__春秋战国
168	司救掌万民之袤恶过失而诛 [让] 之，以礼防禁而救之。		《周礼》__春秋战国
169	凡民之有袤恶者，三 [让] 而罚，三罚而士加明刑，耻诸嘉石。		《周礼》__春秋战国
170	役诸司空，其有过失者，三 [让] 而罚，三罚而归于圜土。		《周礼》__春秋战国
171	若与四方之宾燕，则公迎之于大门内，揖 [让] 升。		《仪礼》__春秋战国
172	揖，乃 [让] 。		《仪礼》__春秋战国
173	楚子使薳章 [让] 于邓，邓人弗受。		《左传》__春秋战国
174	至于阶，使者不 [让] ，先升。		《仪礼》__春秋战国
175	侯氏与之 [让] 升。		《仪礼》__春秋战国
176	既，晋之边吏 [让] 郑曰：“郑国有灾，晋君、大夫不敢宁居，卜筮走望，不爱牲玉。		《左传》__春秋战国
177	初，斗辛闻吴人之争宫也，曰：“吾闻之：‘不 [让] 则不和，不和不可以远征。		《左传》__春秋战国
178	及阶，三 [让] ，主人升一等，宾升。		《仪礼》__春秋战国
179	主人卒洗，壹揖，壹 [让] ，以宾升。		《仪礼》__春秋战国
180	主人卒盥，壹揖壹 [让] 升；宾升，西阶上疑立。		《仪礼》__春秋战国
181	宾卒洗，揖 [让] 如初，升。		《仪礼》__春秋战国
182	卒洗，揖 [让] 升。		《仪礼》__春秋战国
183	揖 [让] 升。		《仪礼》__春秋战国
184	司仪掌九仪之宾客、摈相之礼，以诏仪容、辞令、揖 [让] 之节。		《周礼》__春秋战国
185	致飧如致积之礼，及将币，交摈三辞，车逆拜辱，宾车进，答拜，三揖，三 [让] ，每门止一相。		《周礼》__春秋战国
186	及庙，唯上相入，宾三揖三 [让] ，登，再拜授币，宾拜送币，每事如初。		《周礼》__春秋战国
187	主人揖 [让] ，以大夫升，拜至，大夫答拜。		《仪礼》__春秋战国
188	及大夫郊劳，旅摈三辞，拜辱，三 [让] ，登听命，下拜，登受，宾使者，如初之仪。		《周礼》__春秋战国
189	及庙，唯君相入，三 [让] ，客登，拜，客三辟授币，下出，每事如初之仪。		《周礼》__春秋战国
190	东郭书 [让] 登，犁弥従之，曰：“子 [让] 而左，我 [让] 而右，使登者绝而后下。”		《左传》__春秋战国
191	主人盥，揖 [让] 升。		《仪礼》__春秋战国
