语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：讽
2022/7/10 23:07:24

序号	语句	书名	朝代
1	景公睹乞儿于涂晏子 [讽] 公使养第十                                     314		《晏子春秋》__春秋战国
2	景公游纪得金壶中书晏子因以 [讽] 之第十九                               336		《晏子春秋》__春秋战国
3	景公欲更晏子宅晏子辞以近市得求 [讽] 公省刑第二十一                     415		《晏子春秋》__春秋战国
4	以乐德教国子，中、和、祗庸、孝、友；以乐语教国子，兴、道、 [讽] 、诵、言、语；以乐舞教国子，舞云门、大卷、大咸、大磬、大夏、大濩、大武。		《周礼》__春秋战国
5	已而后世辁才 [讽] 说之徒，		《庄子》__春秋战国
6	 [讽] 则已，不已，吾恐不免于勤也。		《法言》__汉
7	 [讽] 则已；不已，吾恐不免于劝也。		《法言》__汉
8	莽 [讽] 牂柯大尹周歆诈杀邯。		《汉书》__汉
9	造次颠沛，不及 [讽] 谕，虽举觥强歙可行也。		《风俗通义》__汉
10	後《鸱鸮》作，而《黍离》兴， [讽] 咏之者，乃悲伤之。		《论衡》__汉
11	琅邪太守公孙闳言灾害于公府，大司空甄丰遣属驰至两郡 [讽] 吏民，而劾闳空造不详，稚绝嘉应，嫉害圣政，皆不道。		《汉书》__汉
12	此言诡异，闻者惊骇，然亦不能实然否，相随观读 [讽] 述以谈。		《论衡》__汉
13	世信虚妄之书，以为载於竹帛上者，皆贤圣所传，无不然之事，故信而是之， [讽] 而读之；睹真是之传，与虚妄之书相违，则并谓短书不可信用。		《论衡》__汉
14	是以世俗学问者，不肯竟经明学，深知古今，急欲成一家章句，义理略具，同〔趋〕学史书，读律 [讽] 令，治作〔请〕奏，习对向，滑习跪拜，家成室就，召署辄能。		《论衡》__汉
15	儒生之性，非能皆善也，被服圣教，日夜 [讽] 咏，得圣人之操矣。		《论衡》__汉
16	汉兴，萧何草律，亦著其法，曰：“太史试学童，能 [讽] 书九千字以上，乃得为史。		《汉书》__汉
17	凡贵通者，贵其能用之也，即徒诵读，读诗 [讽] 术虽千篇以上，鹦鹉能言之类也。		《论衡》__汉
18	手书既成，辞师受《论语》、《尚书》，日 [讽] 千字。		《论衡》__汉
19	如当从顺人心者，循旧守雅， [讽] 习而已，何辩之有？		《论衡》__汉
20	永平中，神雀群集，孝明诏上《〔神〕爵颂》，百官颂上，文皆比瓦石，唯班固、贾逵、傅毅、杨终、侯 [讽] 五颂金玉，孝明览焉。		《论衡》__汉
21	发胸中之思，论世俗之事，非徒 [讽] 古经、续故文也。		《论衡》__汉
22	□正义楚命翦適周， [讽] 周君欲立谁，以微言告於翦，翦令楚之以地，周果立咎为太子也。		《史记》__汉
23	夫天至道大德盛仁时已到，皇灵乐人急行之，故天气 [讽] 子之心，使子旦夕问，天法察察，吾甚怪之。”		《太平经》__汉
24	以嫔御未备，左右 [讽] 谕，称后有容德，帝乃迎入为贵人。		《北史》__魏晋六朝
25	积岁， [讽] 左右称后有姿行。		《北史》__魏晋六朝
26	然每居山寺，以 [讽] 读为娱。		《北史》__魏晋六朝
27	威见劳役不已，百姓思乱，以此微欲 [讽] 帝。		《北史》__魏晋六朝
28	属五月五日，百僚上馈，多以珍玩，威献尚书一部，微以 [讽] 帝。		《北史》__魏晋六朝
29	文帝山陵毕，护以天命有归，遣 [讽] 魏帝以禅代事。		《北史》__魏晋六朝
30	至是世哲弟神轨为灵太后深所宠任，会谦之家僮诉良，神轨左右之，入 [讽] 尚书，判禁谦之于廷尉。		《北史》__魏晋六朝
31	子直少有令问，悆欲其善终，故以 [讽] 焉。		《北史》__魏晋六朝
32	其兄询时为元帅长史，每 [讽] 谕之。		《北史》__魏晋六朝
33	帝退朝后，便命入问，言宴 [讽] 读，终日而罢。		《北史》__魏晋六朝
34	述 [讽] 御史劾之，左迁给事郎，降品二等。		《北史》__魏晋六朝
35	遂 [讽] 帝云：“突厥方强，太原即为重镇，宜修武备。”		《北史》__魏晋六朝
36	乃 [讽] 魏朝立皇太子，因以大赦。		《北史》__魏晋六朝
