语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：诚
2022/7/10 22:54:56

序号	语句	书名	朝代
1	古之欲明明德于天下者，先治其国；欲治其国者，先齐其家；欲齐其家者，先修其身；欲修其身者，先正其心；欲正其心者，先 [诚] 其意；欲 [诚] 其意者，先致其知；致知在格物。		《大学中庸》__春秋战国
2	 [诚] ，实也。		《大学中庸》__春秋战国
3	物格而后知至，知至而后意 [诚] ，意 [诚] 而后心正，心正而后身修，身修而后家齐，家齐而后国治，国治而后天下平。		《大学中庸》__春秋战国
4	意 [诚] 以下，则皆得所止之序也。		《大学中庸》__春秋战国
5	苟， [诚] 也。		《大学中庸》__春秋战国
6	故铭其盘，言 [诚] 能一日有以涤其旧染之污而自新，则当因其已新者，而日日新之，又日新之，不可略有间断也。		《大学中庸》__春秋战国
7	桓公召而与之语，訾相其质，足以比成事， [诚] 可立而授之。		《国语》__春秋战国
8	所谓 [诚] 其意者：毋自欺也，如恶恶臭，如好好色，此之谓自谦，故君子必慎其独也！		《大学中庸》__春秋战国
9	 [诚] 其意者，自修之首也。		《大学中庸》__春秋战国
10	此谓 [诚] 于中，形于外，故君子必慎其独也。		《大学中庸》__春秋战国
11	富润屋，德润身，心广体胖，故君子必 [诚] 其意。		《大学中庸》__春秋战国
12	经曰：“欲 [诚] 其意，先致其知。”		《大学中庸》__春秋战国
13	又曰：“知至而后意 [诚] 。”		《大学中庸》__春秋战国
14	盖意 [诚] 则真无恶而实有善矣，所以能存是心以检其身。		《大学中庸》__春秋战国
15	贞为不听，信为不 [诚] 。		《国语》__春秋战国
16	康诰曰“如保赤子”，心 [诚] 求之，虽不中不远矣。		《大学中庸》__春秋战国
17	断断， [诚] 一之貌。		《大学中庸》__春秋战国
18	其第五章乃明善之要，第六章乃 [诚] 身之本，在初学尤为当务之急，读者不可以其近而忽之也。		《大学中庸》__春秋战国
19	欲修其身者，先正其心；欲正其心者，先 [诚] 其意；欲 [诚] 其意者，先致其知；致知在格物。		《大学中庸》__春秋战国
20	格而后知至，知至而后意 [诚] ，意 [诚] 而后心正，心正而后身修，身修而后家齐，家齐而后国		《大学中庸》__春秋战国
21	然其决之也，必正名其罪，而尽 [诚] 以呼号其众，		《周易》__周
22	所谓 [诚] 其意者：毋自欺也，如恶恶臭，如好好色，此之谓自谦，故君子必慎其独也！		《大学中庸》__春秋战国
23	此谓 [诚] 于中，形于外，故君子必慎其独也。		《大学中庸》__春秋战国
24	富润屋，德润身，心广体胖，故君子必 [诚] 		《大学中庸》__春秋战国
25	夫人心正意 [诚] ，乃能极中正之道，而充实光辉。		《周易》__周
26	康诰曰“如保赤子”，心 [诚] 求		《大学中庸》__春秋战国
