语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：话
2023/1/20 16:02:23

序号	语句	书名	朝代
1	乃 [话] 民之弗率，诞告用亶。		《尚书》__周
2	时则勿有间之，自一 [话] 一言。		《尚书》__周
3	诗云：“慎尔出 [话] ，敬尔威仪。”		《礼记》__春秋战国
4	慎尔出 [话] ，敬尔威仪，无不柔嘉。		《诗经》__周
5	其维哲人，告之 [话] 言，顺德之行。		《诗经》__周
6	若夫 [话] 嚣之美，楚虽蛮夷，不能宝也。”		《国语》__春秋战国
7	出 [话] 不然，为犹不远。		《诗经》__周
8	今楚内弃其民，而外绝其好，渎齐盟，而食 [话] 言，奸时以动，而疲民以逞。		《左传》__春秋战国
9	《诗》曰：‘其惟哲人，告之 [话] 言，顺德之行。		《左传》__春秋战国
10	今惟新诰命尔，敬诸朕 [话] 言，自一言至于十 [话] ，言其惟明命尔。		《逸周书》__春秋战国
11	今予维笃滪尔，予史、太史违我，黡视尔靖疑，胥敬，请其斯一 [话] ，敢逸僭予，则上帝之明命，予尔拜，拜□百姓，越尔庶义、庶刑，予维及西土，我乃其来，即刑乃，敬之哉！		《逸周书》__春秋战国
12	 [话] 、猷、载、行、讹，言也。		《尔雅》__汉
13	古之王者知命之不长，是以并建圣哲，树之风声，分之采物，著之 [话] 言，为之律度，陈之艺极，引之表仪，予之法制，告之训典，教之防利，委之常秩，道之礼则，使毋失其土宜，众隶赖之，而后即命。		《左传》__春秋战国
14	颛顼有不才子，不可教训，不知 [话] 言，告之则顽，舍之则嚚，傲很明德，以乱天常，天下之民谓之檮杌。		《左传》__春秋战国
15	自一 [话] 一言，我则末，维成德之彦，以乂我受民。”		《论衡》__汉
16	知非常之物，不赈不至，故敕成王自一 [话] 一言，政事无非，毋敢变易。		《论衡》__汉
17	颛顼氏有不才子，不可教训，不知 [话] 言，天下谓之檮杌。		《史记》__汉
18	凡所 [话] 谈，每多会旨。		《北史》__魏晋六朝
19	综又遣腹心人梁 [话] 迎悆，密语意状，令善酬答。		《北史》__魏晋六朝
20	寻而与梁 [话] 盟契讫。		《北史》__魏晋六朝
21	不识大猷，不知 [话] 言，其朋其党，其徒实繁。		《北史》__魏晋六朝
22	有济阴苗文宠、安定梁 [话] ，赞曲加礼接，割血自誓，布以心腹。		《北史》__魏晋六朝
23	宠、 [话] 感其情义，深相然诺。		《北史》__魏晋六朝
24	时明帝遣安丰王延明、临淮王彧讨之，赞与宠、 [话] 夜奔延明。		《北史》__魏晋六朝
25	始宗之纳南来殷孝祖妻萧氏，宋仪同三司思 [话] 弟思度女也，多悉妇人仪饰故事。		《北史》__魏晋六朝
26	时宋梁州刺史甄法护刑政不理，宋文帝遣刺史萧思 [话] 代任。		《北史》__魏晋六朝
27	难当以思 [话] 未至，遣将举兵袭梁州，破白马，遂有汉中之地。		《北史》__魏晋六朝
28	寻而思 [话] 使其司马萧承之先驱进讨，所向克捷，遂平梁州。		《北史》__魏晋六朝
29	这段 [话] ，是兴致勃勃地说的，是满心欢喜地说的，是直截了当地说的。		《古诗十九首》__魏晋六朝
30	祖思 [话] ，宋征西仪同三司；父惠明，吴兴太守；皆有盛名。		《梁书》__魏晋六朝
31	祖思 [话] ，宋开府仪同三司、尚书仆射。		《梁书》__魏晋六朝
32	但 [话] 又说回来了，诗的得力之处并不能局限于比兴。		《古诗十九首》__魏晋六朝
33	在《古诗十九首》的另一篇《冉冉孤竹生》里面，有这样一段 [话] ：“伤彼蕙兰花		《古诗十九首》__魏晋六朝
34	及其投劾归来，恩均旧隶，升文石，登玉陛，一见而降颜色，再睹而接 [话] 言，非藉左右之容，无劳群公之助。		《梁书》__魏晋六朝
35	萧思 [话] 遣护之迎军至梁山，伪尚书韩元兴率精骑卒至，护之依险拒战，斩其都军长史，甲首数十，贼乃退。		《宋书》__魏晋六朝
36	思 [话] 将引还，诳护之云：“沈庆之救军垂至，可急于济口立桥。”		《宋书》__魏晋六朝
37	思 [话] 复令度河戍乞活堡以防追军。		《宋书》__魏晋六朝
38	是以古之顾命，必贻 [话] 言；诡伪之辞，非讬孤之谓。		《三国志》__魏晋六朝
39	时徐州刺史萧思 [话] 未之镇，因诏安北司马夏侯祖权率五百人驰往助胤，既至，击玄楷斩之，雍之还湖陆。		《宋书》__魏晋六朝
40	’王府君笑曰：‘善哉 [话] 言也！		《三国志》__魏晋六朝
41	承祖南下，申义康意于萧思 [话] 及晔，云：“本欲与萧结婚，恨始意不果。		《宋书》__魏晋六朝
42	质与萧思 [话] 款密，当仗要之，二人并受大将军眷遇，必无异同。		《宋书》__魏晋六朝
43	思 [话] 三州义故众力，亦不减质。		《宋书》__魏晋六朝
44	湛之、晔与行中领军萧思 [话] 、行护军将军臧质、行左卫将军孔熙先、建威将军孔休先，忠贯白日，诚著幽显，义痛其心，事伤其目，投命奋戈，万殒莫顾，即日斩伯符首，及其党与。		《宋书》__魏晋六朝
45	奉二王及妃媛直趋历城；分兵配护军萧思 [话] 留守。		《宋书》__魏晋六朝
46	吏部尚书庾炳之、侍中太子左卫率萧思 [话] 、中护军赵伯符、御史中丞何承天、太常郗敬叔并同尚之议。		《宋书》__魏晋六朝
47	既至，天锡见其风神清令，言 [话] 如流，陈说古今，无不贯悉。		《世说新语》__魏晋六朝
48	国宝大喜，而夜开☆（门合），唤纲纪 [话] 势，虽不及作荆州，而意色甚恬。		《世说新语》__魏晋六朝
49	萧思 [话] 起义讨元凶，假坦辅国将军，为前锋。		《宋书》__魏晋六朝
50	张甚欲 [话] 言，刘了无停意。		《世说新语》__魏晋六朝
51	仁祖闻之，曰：“时无竖刁，故不贻陶公 [话] 言。”		《世说新语》__魏晋六朝
52	萧惠开，南兰陵人，征西将军思 [话] 子也。		《宋书》__魏晋六朝
53	思 [话] 素恭谨，操行与惠开不同，常以其峻异，每加嫌责。		《宋书》__魏晋六朝
54	秉妻萧氏，思 [话] 女也。		《宋书》__魏晋六朝
55	庾闻，回谢之，请其 [话] 言。		《世说新语》__魏晋六朝
56	周侯独留，与饮酒言 [话] ，临别流涕，抚其背曰：“奴好自爱。”		《世说新语》__魏晋六朝
57	说亲戚之情 [话] ，乐琴书以消忧。		《宋书》__魏晋六朝
58	及先帝不豫，导扬末命，臣与故司徒臣羡之、左光禄大夫臣亮、征北将军臣道济等，并升御床，跪受遗诏，载贻 [话] 言，托以后事。		《宋书》__魏晋六朝
59	既前，抚军与之 [话] 言，咨嗟称善，曰：“张凭勃☆（穴卒）为理窟。”		《世说新语》__魏晋六朝
60	萧思 [话] 为雍州，遣土人庞道符统六门田，念为道符随身队主。		《宋书》__魏晋六朝
61	其年八月七日夜，虏开门烧楼及攻车，士卒烧死及为虏所杀甚众，永即夜撤围退军，不报告诸将，众军惊扰，为虏所乘，死败涂地；永及申坦并为统府抚军将军萧思 [话] 所收，系于历城狱。		《宋书》__魏晋六朝
62	太祖以屡征无功，诸将不可任，责永等与思 [话] 诏曰：“虏既乘利，方向盛冬，若脱敢送死，兄弟父子，自共当之耳。		《宋书》__魏晋六朝
63	时萧思 [话] 在彭城，义宣虑二人不相谐缉，与思 [话] 书，劝与永坦怀。		《宋书》__魏晋六朝
64	文帝元嘉十年，刺史甄法护于南城失守，刺史萧思 [话] 还治南郑。		《宋书》__魏晋六朝
65	萧思 [话]  刘延孙		《宋书》__魏晋六朝
66	萧思 [话] ，南兰陵人，孝懿皇后弟子也。		《宋书》__魏晋六朝
67	思 [话] 年十许岁，未知书，以博诞游遨为事，好骑屋栋，打细腰鼓，侵暴邻曲，莫不患毒之。		《宋书》__魏晋六朝
68	元嘉元年，谢晦为荆州，欲请为司马，思 [话] 拒之。		《宋书》__魏晋六朝
69	思 [话] 遣北海太守萧汪之讨斩之，余党悉平。		《宋书》__魏晋六朝
70	未及就征，索虏南寇，檀道济北伐，既而回师，思 [话] 惧虏大至，乃弃镇奔平昌。		《宋书》__魏晋六朝
71	思 [话] 先使参军刘振之戍下邳，闻思 [话] 奔，亦委城走。		《宋书》__魏晋六朝
72	初在青州，常所用铜斗，覆在药厨下，得二死雀，思 [话] 曰：“斗覆而双雀殒，其不祥乎！”		《宋书》__魏晋六朝
73	乃自徒中起思 [话] 督梁、南秦二州诸军事、横野将军、梁、南秦二州刺史。		《宋书》__魏晋六朝
74	思 [话] 先遣行参军王灵济率偏军出洋川，因向南城。		《宋书》__魏晋六朝
