语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：诣
2022/7/10 23:09:59

序号	语句	书名	朝代
1	’”晏子至，楚王赐晏子酒，酒酣，吏二缚一人 [诣] 王，王曰；”缚者曷为者也？”		《晏子春秋》__春秋战国
2	夏，叔 [诣] 会晋赵鞅、宋乐大心，卫北宫喜、郑游吉、曹人、邾人、滕人、薛人、小邾人于黄父。		《左传》__春秋战国
3	冯夫人锦车持节，诏乌就屠 [诣] 长罗侯赤谷城，立元贵靡为大昆弥，乌就屠为小昆弥，皆赐印绶。		《汉书》__汉
4	臣愚以为可遣屯田卒 [诣] 故轮台以东，置校尉三人分护，各举图地形，通利沟渠，务使以时益种五谷，张掖、酒泉遣骑假司马为斥候，属校尉，事有便宜，因骑置以闻。		《汉书》__汉
5	田一岁，有积谷，募民壮健有累重敢徙者 [诣] 田所，就畜积为本业，益垦溉田，稍筑列亭，连城而西，以威西国，辅乌孙，为便。		《汉书》__汉
6	执姑翼 [诣] 惠，惠斩之。		《汉书》__汉
7	夏四月庚子，叔 [诣] 卒。		《左传》__春秋战国
8	吉还，传送车师王妻子 [诣] 长安，赏赐甚厚，每朝会四夷，常尊显以示之。		《汉书》__汉
9	后汉使侍郎殷广德责乌孙，求车师王乌贵，将 [诣] 阙，赐第与其妻子居。		《汉书》__汉
10	临江王征 [诣] 中尉府对簿，临江王欲得刀笔为书谢上，而都禁吏弗与。		《汉书》__汉
11	数日，使者召延年 [诣] 廷尉。		《汉书》__汉
12	会赦出，丞相、御史府征书同日到，延年以御史书先至， [诣] 御史府，复为掾。		《汉书》__汉
13	冬，斩其首，传 [诣] 京师，县蛮夷邸门。		《汉书》__汉
14	先是，栗太子废为临江王，以罪征 [诣] 中尉，自杀。		《汉书》__汉
15	其发边吏车骑八万 [诣] 高奴，遣丞相灌婴将击右贤王。”		《汉书》__汉
16	地节三年，求得外祖母王媪，媪男无故，无故弟武皆随使者 [诣] 阙。		《汉书》__汉
17	每见雍太祝祠以太牢，遣候者乘传驰 [诣] 行在所，以为福祥。		《汉书》__汉
18	后二十余日，嘉封还益董贤户事，上乃发怒，召嘉 [诣] 尚书，责问以：“相等前坐在位不尽忠诚，外附诸侯，操持两心，背人臣之义，今所称相等材美，足以相计除罪。		《汉书》__汉
19	光等请谒者召嘉 [诣] 廷尉诏狱，制曰：“票骑将军、御史大夫、中二千石、二千石、诸大夫、博士、议郎议。”		《汉书》__汉
20	有诏假谒者节，召丞相 [诣] 廷尉诏狱。		《汉书》__汉
21	嘉遂装出，见使者再拜受诏，乘吏小车，去盖不冠，随使者 [诣] 廷尉。		《汉书》__汉
22	上闻嘉生自 [诣] 吏，大怒，使将军以下与五二千石杂治。		《汉书》__汉
23	征丹 [诣] 公车，赐爵关内侯，食故邑。		《汉书》__汉
24	见蜀地辟陋有蛮夷风，文翁欲诱进之，乃选郡县小吏开敏有材者张叔等十余人亲自饬厉，遣 [诣] 京师，受业博士，或学律令。		《汉书》__汉
