语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：说
2022/11/6 15:37:25

序号	语句	书名	朝代
1	话 [说] 人生一世，沧海变为桑田，目下的贱贵穷通都做不得准的。		《初刻拍案惊奇》__元明
2	却 [说] 春秋时，郑国有一个大夫，叫做徐吾犯。		《初刻拍案惊奇》__元明
3	却 [说] 郑国有个上卿游吉，该是公孙侨之后轮着他为相。		《初刻拍案惊奇》__元明
4	话 [说] 国朝正德年间，浙江台州府天台县有一秀才，姓韩名师愈，表字子文。		《初刻拍案惊奇》__元明
5	又想了一回道：“是便是这样 [说] ，难道与我一样的儒家，我也还对他的女儿不过？”		《初刻拍案惊奇》__元明
6	 [说] 起秀才官人，到也有些肯了。		《初刻拍案惊奇》__元明
7	’”子文自恃才高，思忖此事十有八九，对王婆道：“既如此 [说] ，便待考过议亲不迟。”		《初刻拍案惊奇》__元明
8	却 [说] 那梁宗师是个不识文字的人，又且极贪，又且极要奉承乡官及上司。		《初刻拍案惊奇》__元明
9	把那梁宗师乌龟亡八的骂了一场，不敢提起亲事，那王婆也不来 [说] 了。		《初刻拍案惊奇》__元明
10	当时无名子有一首诗， [说] 得有趣：		《初刻拍案惊奇》__元明
11	 [说] 罢，也不管子文要与不要，摸出吉帖，望子文袖中乱摔。		《初刻拍案惊奇》__元明
12	朝奉皱着眉道：“如今事体急了，官人如何 [说] 此懈话？		《初刻拍案惊奇》__元明
13	 [说] 罢便思量要拜下去。		《初刻拍案惊奇》__元明
14	却是 [说] 开，后来不要翻悔！”		《初刻拍案惊奇》__元明
15	韩子文便望学中，会着两个朋友，乃是张四维、李俊卿， [说] 了缘故，写着拜帖，一同望典铺中来。		《初刻拍案惊奇》__元明
16	自受聘之后，更无他 [说] 。		《初刻拍案惊奇》__元明
17	那韩子文行礼一番，已把囊中所积束修用个磬尽，所以还不 [说] 起做亲。		《初刻拍案惊奇》__元明
18	不该如此 [说] ，犬子尚未有亲，姊夫不弃时，做个中表夫妻也好。”		《初刻拍案惊奇》__元明
19	也只是我女儿没福，如今也没处 [说] 了。”		《初刻拍案惊奇》__元明
20	只 [说] 从幼中表约为婚姻，近因我羁滞徽州，妹夫就赖婚改适，要官府断与我儿便了。		《初刻拍案惊奇》__元明
21	再央一个乡官在太守处 [说] 了人情，婚约一纸，只须一笔勾消。		《初刻拍案惊奇》__元明
22	太守见他 [说] 得有些根据，就将状子当堂批准。		《初刻拍案惊奇》__元明
23	金朝奉却待分辨，二人毫不理他，一气走到韩家来，对子文 [说] 知缘故。		《初刻拍案惊奇》__元明
24	那子文听罢，气得呆了半晌，一句话也 [说] 不出。		《初刻拍案惊奇》__元明
25	有烦二兄去对他 [说] ，前日聘金原是五十两，若肯加倍赔还，就退了婚也得。”		《初刻拍案惊奇》__元明
26	张、李二人便将上项的言语 [说] 了一遍。		《初刻拍案惊奇》__元明
27	程氏结姻，从来不曾见 [说] 。		《初刻拍案惊奇》__元明
28	 [说] 罢，便噙下泪来。		《初刻拍案惊奇》__元明
29	又问道：“那上边写道：‘自幼不曾许聘何人’，却怎么 [说] ？”		《初刻拍案惊奇》__元明
30	金声一时 [说] 不出来，想了一回，只得扭捏道是某年某月某日。		《初刻拍案惊奇》__元明
31	与金声所 [说] 日期，分毫不相合了。		《初刻拍案惊奇》__元明
32	赵孝也约莫着 [说] 个日期，又与两人所言不相对了。		《初刻拍案惊奇》__元明
33	至于三人所 [说] 结姻年月日期，各自一样，这却是何缘故？		《初刻拍案惊奇》__元明
34	一时通同合计，遭此奸谋，再有何 [说] ？”		《初刻拍案惊奇》__元明
35	话 [说] 杀人偿命，是人世间最大的事，非同小可。		《初刻拍案惊奇》__元明
36	所以古人 [说] 得好：		《初刻拍案惊奇》__元明
37	这等 [说] 起来，不信死囚牢里，再没有个含冤负屈之人？		《初刻拍案惊奇》__元明
38	如今所以 [说] 这一篇，专一奉劝世上廉明长者：一草一术，都是上天生命，何况祖宗赤子！		《初刻拍案惊奇》__元明
39	却 [说] 那王甲自从杀了李乙，自恃搽脸，无人看破，扬扬得意，毫不提防。		《初刻拍案惊奇》__元明
40	地邻尽 [说] ：“果然有仇！		《初刻拍案惊奇》__元明
41	王甲 [说] 知备细，又分付道：“倘有使用处，不可吝惜钱财，误我性命！”		《初刻拍案惊奇》__元明
42	小二一一应诺，径投邹老人家来， [说] 知父亲事体，求他计策谋脱。		《初刻拍案惊奇》__元明
43	老人道：“你不要管我，只交银子与我了，日后便见手段，而今不好先 [说] 得。”		《初刻拍案惊奇》__元明
44	 [说] 有个浙江司郎中徐公，甚是通融，仰且好客。		《初刻拍案惊奇》__元明
45	徐公接见了，见他会 [说] 会笑，颇觉相得。		《初刻拍案惊奇》__元明
46	定席以后， [说] 些闲话。		《初刻拍案惊奇》__元明
47	却 [说] 王甲得放归家，欢欢喜喜，摇摆进门。		《初刻拍案惊奇》__元明
48	前边 [说] 的人命是将真作假的了，如今再 [说] 一个将假作真的。		《初刻拍案惊奇》__元明
49	话 [说] 国朝成化年间，浙江温州府永嘉县有个王生，名杰，字文豪。		《初刻拍案惊奇》__元明
50	却 [说] 王生当日见客人闷倒，吃了一大惊，把酒意都惊散了。		《初刻拍案惊奇》__元明
51	走进房中与妻子 [说] 了，道：“几乎做出一场大事来。		《初刻拍案惊奇》__元明
52	 [说] 罢，暝目死了。		《初刻拍案惊奇》__元明
53	王生是虚心病的，慌了手脚，跑进房中与刘氏 [说] 知。		《初刻拍案惊奇》__元明
54	王生道：“如今事到头来， [说] 不得了。		《初刻拍案惊奇》__元明
55	 [说] 罢，泪如雨下。		《初刻拍案惊奇》__元明
56	王生便与刘氏 [说] 知，写下请帖，连夜唤将胡阿虎来，分付道：“你可五鼓动身，拿此请帖去请冯先生早来看痘。		《初刻拍案惊奇》__元明
57	王生垂泪道：“可见我家女儿命该如此，如今再也不消 [说] 了。”		《初刻拍案惊奇》__元明
58	直到数日之后，同伴中 [说] 出实话来，却是胡阿虎一路饮酒沉醉，失去请帖，故此直挨至次日方回，遭此一场大谎。		《初刻拍案惊奇》__元明
59	不 [说] 胡阿虎暗生好计，再 [说] 王生自女儿死后，不觉一月有余，亲眷朋友每每备了酒肴与他释泪，他也渐不在心上了。		《初刻拍案惊奇》__元明
60	那知县明时佐开口问道：“今有胡虎首你打死湖州客人姓吕的，这怎么 [说] ？”		《初刻拍案惊奇》__元明
61	“有尸是真，再有何 [说] ？”		《初刻拍案惊奇》__元明
62	知县道：“也 [说] 得是。”		《初刻拍案惊奇》__元明
63	知县逐一动问，果然 [说] 去年某月某日间，有个姜客被王家打死，暂时救醒，以后不知何如。		《初刻拍案惊奇》__元明
64	却 [说] 王家家僮们在县里打听消息，得知家主已在监中，吓得两耳雪白，奔回来报与主母。		《初刻拍案惊奇》__元明
