语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：读
2022/7/10 23:05:34

序号	语句	书名	朝代
1	大，旧音泰，今 [读] 如字。		《大学中庸》__春秋战国
2	大， [读] 作泰。		《大学中庸》__春秋战国
3	恂，郑氏 [读] 作峻。		《大学中庸》__春秋战国
4	谦 [读] 为慊，苦劫反。		《大学中庸》__春秋战国
5	厌，郑氏 [读] 为黡。		《大学中庸》__春秋战国
6	辟， [读] 为僻。		《大学中庸》__春秋战国
7	节， [读] 为截。		《大学中庸》__春秋战国
8	辟， [读] 为僻。		《大学中庸》__春秋战国
9	迸， [读] 为屏，古字通用。		《大学中庸》__春秋战国
10	亨， [读] 作享。		《周易》__周
11	主法令之吏有迁徙物故，辄使学 [读] 法令所谓，为之程式，使日数而知法令之所谓；不中程，为法令以罪之。		《商君书》__春秋战国
12	今以韵 [读] 之，良		《周易》__周
13	子夏之晋，过卫，有 [读] 史记者曰：“晋师三豕涉河。”		《吕氏春秋》__春秋战国
14	中冓之言，不可 [读] 也。		《诗经》__周
15	所可 [读] 也，言之辱也。		《诗经》__周
16	向， [读] 作向。		《周易》__周
17	父没而不能 [读] 父之书， 手泽存焉尔，母没而杯圈不能饮焉，口泽之气存焉尔。		《礼记》__春秋战国
18	臣之兄尝 [读] 故记曰：‘杀随兕者，不出三月。		《吕氏春秋》__春秋战国
19	彻奠，言甸人 [读] 祷，付练祥。		《周礼》__春秋战国
20	颂其诗， [读] 其书，不知其人，可乎？		《孟子》__春秋战国
21	主人使人与客 [读] 诸门外。		《仪礼》__春秋战国
22	大祭祀，与执事卜日，戒卑宿之日，与群执事 [读] 礼书而协事。		《周礼》__春秋战国
23	遣之日， [读] 诔，凡丧事考焉。		《周礼》__春秋战国
24	大祭祀， [读] 礼法，史以书叙昭穆之俎簋。		《周礼》__春秋战国
25	赐谥， [读] 诔。		《周礼》__春秋战国
26	凡四方之事书，内史 [读] 之。		《周礼》__春秋战国
27	正月之吉，各属其州之民而 [读] 法，以考其德行、道艺而劝之，以纠其过恶而戒之。		《周礼》__春秋战国
28	若以岁时祭祀州社，则属其民而 [读] 法，亦如之。		《周礼》__春秋战国
29	正岁，则 [读] 教法如初。		《周礼》__春秋战国
30	及四时之孟月吉日，则属民而 [读] 邦法，以纠戒之。		《周礼》__春秋战国
31	正岁，属民 [读] 法而书其德行道艺。		《周礼》__春秋战国
32	月吉，则属民而 [读] 邦法，书其孝弟睦姻有学者。		《周礼》__春秋战国
33	既比，则 [读] 法，书其敬敏任恤者。		《周礼》__春秋战国
34	万物者，以数之多者号而 [读] 之也。		《庄子》__春秋战国
35	因其大以号而 [读] 之则可也，已有之矣，		《庄子》__春秋战国
36	虽有大知，不能以言 [读] 其所自化，又不能以意其所将为。		《庄子》__春秋战国
37	郭璞《洞林》 [读] 至“汇”字绝句，下卦放此。		《周易》__周
38	凡邦之大事聚従庶，则 [读] 其誓禁。		《周礼》__春秋战国
39	熹自蚤岁即尝受 [读] 而窃疑之，沈潜反复，盖亦有年，一旦恍然似有以得其要领者，然后		《大学中庸》__春秋战国
40	定、哀多微辞，主人习其 [读] 而问其传，则未知己之有罪焉尔。		《公羊传》__春秋战国
41	!晁氏云：“先儒 [读] ‘樽酒簋’为		《周易》__周
42	主人之史请 [读] 赗，执算従。		《仪礼》__春秋战国
43	 [读] 遣，卒，命哭，灭烛，出。		《仪礼》__春秋战国
44	公 [读] 其书曰：“日君乏使，使臣斯司马。		《左传》__春秋战国
45	今吏甫受诏 [读] 记，直豫言使后知之，非可复若私府有所取也。		《汉书》__汉
46	盖晚而好《易》， [读] 之韦编三绝，而为之传。		《汉书》__汉
47	初，梁项生从田何受《易》，时宽为项生从者， [读] 《易》精敏，才过项生，遂事何。		《汉书》__汉
48	曰：孔子 [读] 而仪、秦行，何如也？		《法言》__汉
49	曰：假儒衣、书，服而 [读] 之，三月不归，孰曰非儒也？		《法言》__汉
50	孔氏有古文《尚书》，孔安国以今文字 [读] 之，因以起其家逸《书》，得十余篇，盖《尚书》兹多于是矣。		《汉书》__汉
51	 [读] 策毕，莽亲执孺子手，流涕DF4F欷，曰：“昔周公摄位，终得复子明辟，今予独迫皇天威命，不得如意！”		《汉书》__汉
52	光与群臣连名奏王，尚书令 [读] 奏曰：		《汉书》__汉
53	圣 [读] 而庸行，盍去诸？		《法言》__汉
54	圣 [读] 而庸行，犹有闻焉。		《法言》__汉
55	 [读] 军书倦，因凭几寐，不复就枕矣。		《汉书》__汉
56	世间多有亡人魄持其家语声气，所说良是   谨按陈国张汉直到南阳从京兆尹延叔坚 [读] <<左氏傅>>，行後数月，鬼物持其女弟，言：“我痛死，丧在陌上，常苦饥寒。		《风俗通义》__汉
57	武帝探策得十八，因 [读] 曰八十		《风俗通义》__汉
58	主簿 [读] 教，户吏引延受赐。		《风俗通义》__汉
59	楚令尹围请用牲， [读] 旧书，加于牲上而已。		《左传》__春秋战国
60	失官，年三十余矣，乃学《春秋》涉大义， [读] 兵法明习，前将军韩增奏以为军司空令。		《汉书》__汉
61	元王好《诗》，诸子皆 [读] 《诗》，申公始为《诗》传，号《鲁诗》。		《汉书》__汉
62	辟强字少卿，亦好 [读] 《诗》能属文。		《汉书》__汉
63	更生幼而 [读] 诵，以为奇，献之，言黄金可成。		《汉书》__汉
64	《尚书》初出于屋壁，朽折散绝，今其书见在，明师传 [读] 而已。		《汉书》__汉
65	《泰誓》后得，博士集而 [读] 之。		《汉书》__汉
66	因留第中，教书计相马御射，颇 [读] 传记。		《汉书》__汉
67	又怪屈原文过相如，至不容，作《离骚》，自投江而死，悲其文， [读] 之未尝不流涕也。		《汉书》__汉
68	上 [读] 《子虚赋》而善之，曰：“朕独不得与此人同时哉！”		《汉书》__汉
69	有赦令到，王 [读] 之，曰：“嗟乎！		《汉书》__汉
70	是能 [读] 《三坟》、《五典》、《八索》、《九丘》。”		《左传》__春秋战国
71	光、安世 [读] 之，大惊，以此益重经术士。		《汉书》__汉
72	臣崇伏 [读] 诏书下日，窃计其时，圣思始发，而反虏仍破；诏文始书，反虏大败；制书始下，反虏毕斩，众将未及齐其锋芒，臣崇未及尽共愚虑，而事已决矣。”		《汉书》__汉
73	时行赁作，带经而锄，休息辄 [读] 诵，其精如此。		《汉书》__汉
74	奏成， [读] 之皆服，以白廷尉汤。		《汉书》__汉
75	恽始 [读] 外祖《太史公记》，颇为《春秋》。		《汉书》__汉
76	人皆多以无用害有 用，故智不博而日不足，以凿观池之力耕，则田野必辟矣；以积土山之高修堤防， 则水用必足矣；以食狗马鸿雁之费养士，则名誉必荣矣；以弋猎博弈之日诵《诗》  [读] 《书》，闻识必博矣。		《淮南子》__汉
77	窦太后好黄帝、老子言，景帝及诸窦不得不 [读] 《老子》尊其术。		《汉书》__汉
78	每奏事，斿以选受诏进 [读] 群书。		《汉书》__汉
79	此言诡异，闻者惊骇，然亦不能实然否，相随观 [读] 讽述以谈。		《论衡》__汉
80	乃出诏书为王 [读] 之。		《史记》__汉
81	 [读] 之讫，曰：“王其自图。”		《史记》__汉
82	问曰：“九德之法，张设久矣，观 [读] 之者，莫不晓见，斗斛之量多少，权衡之县轻重也。		《论衡》__汉
83	建为郎中令，奏事下，建 [读] 之，惊恐曰：“书‘马’者与尾而五，今乃四，不足一，获谴死矣！”		《汉书》__汉
84	或 [读] 此“为”字音伪，非也。		《史记》__汉
85	世信虚妄之书，以为载於竹帛上者，皆贤圣所传，无不然之事，故信而是之，讽而 [读] 之；睹真是之传，与虚妄之书相违，则并谓短书不可信用。		《论衡》__汉
86	今 [读] 购与“为燕媾”同，媾亦合也。		《史记》__汉
87	孔子 [读] 《易》，至《损》 、《益》，未尝不愤然而叹，曰：“益损者，其王者之事与！		《淮南子》__汉
88	是以世俗学问者，不肯竟经明学，深知古今，急欲成一家章句，义理略具，同〔趋〕学史书， [读] 律讽令，治作〔请〕奏，习对向，滑习跪拜，家成室就，召署辄能。		《论衡》__汉
89	原此以论，孔子见始皇、仲舒，或时但言“将有观我之宅”、“乱我之书”者，後人见始皇入其宅，仲舒 [读] 其书，则增益其辞，著其主名。		《论衡》__汉
90	魏都牧淳於仓奏：“方不学，得文能 [读] 诵，论义引《五经》文，文说议事，厌合人之心。”		《论衡》__汉
91	夫无所师友，明达六艺，本不学书，得文能 [读] ，此圣人也。		《论衡》__汉
92	出一编书，曰：“ [读] 是则为王者师。		《汉书》__汉
93	良因异之，常习 [读] 诵。		《汉书》__汉
94	○索隐有本作“艺经”二字，音挚红，从下文熊挚红 [读] 也。		《史记》__汉
95	乃出诏书为王 [读] 之，曰：“王其自图之。”		《汉书》__汉
96	儒书言：“董仲舒 [读] 《春秋》，专精一思，志不在他，三年不窥园菜。”		《论衡》__汉
97	古文 [读] 应尔雅，故解古今语而可知也。		《汉书》__汉
98	父母生之，续莫大焉”，“故亲生之膝下”，诸家说不安处，古文字 [读] 皆异。		《汉书》__汉
99	夫观《世表》，则契与後稷，黄帝之子孙也； [读] 《殷》、《周本纪》，则玄鸟、大人之精气也。		《论衡》__汉
100	《苍颉》多古字，俗师失其 [读] ，宣帝时征齐人能正 [读] 者，张敝从受之，传至外孙之子杜林，为作训故，并列焉。		《汉书》__汉
101	 [读] 之者或为乱我书者，烦乱孔子之书也，或以为乱者，理也，理孔子之书也。		《论衡》__汉
102	至或南面称师，赋奸伪之说；典城佩紫， [读] 虚妄之书。		《论衡》__汉
103	复搏其士卒以与王遇，○索隐搏音膊，亦有作“附” [读] 。		《史记》__汉
104	阳成子张作“乐”，扬子云造“玄”，二经发於台下， [读] 於阙掖，卓绝惊耳，不述而作，材疑圣人，而汉朝不讥。		《论衡》__汉
105	 [读] 见之者，莫不称善。		《论衡》__汉
106	彼自归伏曰下，如字 [读] 。		《史记》__汉
107	世儒 [读] 《易》文，见传言，皆知龙者云之类。		《论衡》__汉
108	□正义滑 [读] 为淈，水流自出。		《史记》__汉
109	○索隐直如字 [读] 。		《史记》__汉
110	於是得周书阴符，伏而 [读] 之。		《史记》__汉
111	邹诞本作“揣靡”，靡 [读] 亦为摩。		《史记》__汉
