语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：谁
2023/1/20 15:11:39

序号	语句	书名	朝代
1	王曰：“其 [谁] 受之？”		《国语》__春秋战国
2	君若惠顾社稷，不忘先君之好，辱收其逋迁裔胄而建立之，以主其祭祀，且镇抚其国家及其民人，虽四邻诸侯之闻之也，其 [谁] 不儆惧于君之威，而欣喜于君之德？		《国语》__春秋战国
3	终君之重爱，受君之重贶，而群臣受其大德，晋国其 [谁] 非君之群隶臣也？”		《国语》__春秋战国
4	秦穆公许诺，反使者，乃召大夫子明及公孙枝，曰：“夫晋国之乱，吾 [谁] 使先，若夫二公子而立之？		《国语》__春秋战国
5	重耳曰：“非丧 [谁] 代？		《国语》__春秋战国
6	不然，夷吾不佞，其 [谁] 能恃乎？”		《国语》__春秋战国
7	穆公问冀芮曰：“公子 [谁] 恃于晋？”		《国语》__春秋战国
8	自我致戎，又 [谁] 咎也？		《周易》__周
9	章父之恶，取笑诸侯，吾 [谁] 乡而入？		《国语》__春秋战国
10	汪是土也，苟违其违， [谁] 能惧之！		《国语》__春秋战国
11	内外无亲，其 [谁] 云救之？		《国语》__春秋战国
12	公曰：“臣杀其君， [谁] 之过也？”		《国语》__春秋战国
13	闻畏而往，闻丧而还，苟芈姓实嗣，其 [谁] 代之任丧？		《国语》__春秋战国
14	王太子又长矣，之争未改，予为先君来，死而去之，其 [谁] 曰不如先君？		《国语》__春秋战国
15	将为丧举，闻丧而还，其 [谁] 曰非侮也？		《国语》__春秋战国
16	事其君而任其政，其 [谁] 由己贰？		《国语》__春秋战国
17	说侮不懦，执政不贰，帅大雠以惮小国，其 [谁] 云待之？		《国语》__春秋战国
18	 [谁] 敢不让，敢不敬应？		《尚书》__周
19	鲁之班长而又先，诸侯其 [谁] 望之？		《国语》__春秋战国
20	客曰：“敢问 [谁] 守为神？”		《国语》__春秋战国
21	若我往，晋必患我， [谁] 为之贰？”		《国语》__春秋战国
22	自上以下， [谁] 敢由心舍力？		《国语》__春秋战国
23	不能令十国，而恃诸侯，诸侯其 [谁] ☆之？		《国语》__春秋战国
24	通意后对说在不知其 [谁] 谓也。		《墨子》__春秋战国
25	昔者韩昭候醉而寝，典冠者见君之寒也，故加衣于君之上，觉寝而说，问左右曰：“ [谁] 加衣者？”		《韩非子》__春秋战国
26	其逆者 [谁] 也？		《榖梁传》__春秋战国
27	民日夜祈用而不可得，苟得为上用，民之走之也，若决积水於千仞之溪，其 [谁] 能当之？		《吕氏春秋》__春秋战国
28	七曰：凡人主必信，信而又信， [谁] 人不亲？		《吕氏春秋》__春秋战国
29	因问於群臣：“吾欲用兵， [谁] 可伐者？”		《韩非子》__春秋战国
30	吾与之虚而猗移，不知其 [谁] 何，因以为茅靡， 因以为波流，故逃也。”		《列子》__春秋战国
31	《象》曰：不节之嗟，又 [谁] 咎也？		《周易》__周
32	老子曰：“而睢睢而盱 盱，而 [谁] 与居？		《列子》__春秋战国
33	吾不知 [谁] 之子，象帝之先。		《老子》__春秋战国
34	夷吾曰：“公 [谁] 欲欤？”		《列子》__春秋战国
35	伶悝僵，令其子速哭曰：“以 [谁] 刺我父也？”		《吕氏春秋》__春秋战国
36	 [谁] 从穆公？		《诗经》__周
37	 [谁] 从穆公？		《诗经》__周
38	 [谁] 从穆公？		《诗经》__周
39	吾不知 [谁] 子，像帝之先。”		《老子想尔注》__春秋战国
40	未知 [谁] 家子能行此道，能行者便像道也，似帝先矣。		《老子想尔注》__春秋战国
41	予美亡此， [谁] 与？		《诗经》__周
42	予美亡此， [谁] 与？		《诗经》__周
43	予美亡此， [谁] 与？		《诗经》__周
