语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：谢
2022/7/10 23:02:15

序号	语句	书名	朝代
1	子叔声伯如晋 [谢] 季文子，☆☆欲予之邑，弗受也。		《国语》__春秋战国
2	 [谢] 於翟翦，而更听其谋，社稷乃存。		《吕氏春秋》__春秋战国
3	’天下共割韩上地十城以 [谢] 秦，解其兵。		《韩非子》__春秋战国
4	文公 [谢] 焉，罢师，归之於郑。		《吕氏春秋》__春秋战国
5	范氏之党以为有道，乃共 [谢] 之曰：“吾不知 子之有道而诞子，吾不知子之神人而辱子。		《列子》__春秋战国
6	凡繇对曰：“请王缟素辟舍於郊，遣使於齐，客而 [谢] 焉，曰：‘此尽寡人之罪也。		《吕氏春秋》__春秋战国
7	齐侯逡巡而 [谢] 曰：“寡人之过也。”		《榖梁传》__春秋战国
8	薛谭乃 [谢] 求反，终身不敢言归。		《列子》__春秋战国
9	故君谨守泉金之 [谢] 物且为之举，		《管子》__春秋战国
10	肃肃 [谢] 功，召伯营之。		《诗经》__周
11	使丕郑聘于秦，且 [谢] 之。		《国语》__春秋战国
12	丕郑如秦 [谢] 缓赂，乃谓穆公曰：“君厚问以召吕甥、  称、冀芮而止之，以师奉公子重耳，臣之属内作，晋君必出。”		《国语》__春秋战国
13	晏子 [谢] 曰：“婴知婴之过矣，请复治阿，三年而誉必闻于国。”		《晏子春秋》__春秋战国
14	景公乃下席而 [谢] 之曰：“子强复治东阿，东阿者，子之东阿也，寡人无复与焉。”		《晏子春秋》__春秋战国
15	于邑于 [谢] ，南国是式。		《诗经》__周
16	因是 [谢] 人，以作尔庸。		《诗经》__周
17	申伯还南， [谢] 于诚归。		《诗经》__周
18	申伯番番，既入于 [谢] 。		《诗经》__周
19	因宰我而 [谢] 焉，然仲尼见之。		《晏子春秋》__春秋战国
20	昭王笑而 [谢] 焉，曰：“客胡为若此？		《吕氏春秋》__春秋战国
21	公曰：“ [谢] 西之九州，何如？”		《国语》__春秋战国
22	唯 [谢] 、郏之间，其冢君侈骄，其民怠沓其君，而未及周德；若更君而周训之，是易取也，且可长用也。”		《国语》__春秋战国
23	晏子请左右与可令歌舞足以留思虞者退之，辟拂三千， [谢] 于下陈，人待三，士待四，出之关外也。		《晏子春秋》__春秋战国
24	☆曰：“请卑辞重币，以说于诸侯，轻罪省功，以 [谢] 于百姓，其可乎？”		《晏子春秋》__春秋战国
25	景公病久不愈欲诛祝史以 [谢] 晏子谏第十二                               42		《晏子春秋》__春秋战国
26	楚合诸侯，陈侯病，不能往，使敦洽雠麋往 [谢] 焉。		《吕氏春秋》__春秋战国
27	原岁并 [谢] ，与长友兮。		《楚辞》__春秋战国
28	七曰：东方之墨者 [谢] 子，将西见秦惠王。		《吕氏春秋》__春秋战国
29	唐姑果恐王之亲 [谢] 子贤於己也，对曰：“ [谢] 子，东方之辩士也。		《吕氏春秋》__春秋战国
30	 [谢] 子至，说王，王弗听。		《吕氏春秋》__春秋战国
31	 [谢] 子不说，遂辞而行。		《吕氏春秋》__春秋战国
32	威王好制，有中 [谢] 佐制者，为昭厘谓威王曰：“国人皆曰：王乃沈尹华之弟子也。”		《吕氏春秋》__春秋战国
33	中 [谢] ，细人也，一言而令威王不闻先王之术，文学之士不得进，令昭厘得行其私。		《吕氏春秋》__春秋战国
34	詹尹乃释策而 [谢] 曰：“夫尺有所短，寸有所长，物有所不足，智有所不明，		《楚辞》__春秋战国
35	青春受 [谢] ，白日昭只。		《楚辞》__春秋战国
36	若必筮予之，恐後之 [谢] ，不能复用巫阳焉。”		《楚辞》__春秋战国
37	昆莫年老国分，不能专制，乃发使送骞，因献马数十匹报 [谢] 。		《汉书》__汉
38	庄子曰：“孔子 [谢] 之矣，而其未之尝言也。		《庄子》__春秋战国
39	车骑将军长史张翁留验公主与使者谋杀狂王状，主不服，叩头 [谢] ，张翁捽主头骂詈。		《汉书》__汉
40	王即杀赖丹，而上书 [谢] 汉，汉未能征。		《汉书》__汉
41	龟兹王 [谢] 曰：“乃我先王时为贵人姑翼所误，我无罪。”		《汉书》__汉
42	单于 [谢] 属。		《汉书》__汉
43	今有BD51星天地赤黄之异，咎在臣凤，当伏显戮，以 [谢] 天下。		《汉书》__汉
44	凤闻之，称病出就第，上疏乞骸骨， [谢] 上曰：“臣材驽愚戆，得以外属兄弟七人封为列侯，宗族蒙恩，赏赐无量。		《汉书》__汉
45	及凤且死，上疏 [谢] 上，复固荐音自代，言谭等五人必不可用。		《汉书》__汉
46	商、根兄弟欲自黥、劓 [谢] 太后。		《汉书》__汉
47	车骑将军音藉槁请罪，商、立、根皆负斧质 [谢] 。		《汉书》__汉
48	临江王征诣中尉府对簿，临江王欲得刀笔为书 [谢] 上，而都禁吏弗与。		《汉书》__汉
49	临江王既得，为书 [谢] 上，因自杀。		《汉书》__汉
50	公卿相造请，禹终不行报 [谢] ，务在绝知友宾客之请，孤立行一意而已。		《汉书》__汉
51	 [谢] 田大夫晓大司农，通往就狱，得公议之。”		《汉书》__汉
52	延年服罪，重顿首 [谢] ，因自为母御，归府舍。		《汉书》__汉
53	是以明君睹之而寤，饬身正事，思其咎 [谢] ，则祸除而福至，自然之符也。		《汉书》__汉
54	应钟：言阴气应亡 [谢] ，该臧万物而杂阳阂种也。		《汉书》__汉
55	其十二月，巨鹿都尉 [谢] 君男诈为神人，论死，父免官。		《汉书》__汉
56	何少何多，是谓 [谢] 施；无一而行，与道参差。		《庄子》__春秋战国
57	龟，俯者灵，仰者 [谢] ，前弇诸果，后弇诸猎，左倪不类，右倪不若。		《尔雅》__汉
58	所忠视其书不经，疑其妄言， [谢] 曰：“宝鼎事已决矣。		《汉书》__汉
59	冒顿得书，复使使来 [谢] 曰：“未尝闻中国礼义，陛下幸而赦之。”		《汉书》__汉
60	汉甚患之，乃使使遗匈奴书，单于亦使当户报 [谢] ，复言和亲事。		《汉书》__汉
61	掖庭见亲，有加赏赐，属其人勿众 [谢] 。		《汉书》__汉
62	夏，成周宣 [谢] 灾。		《公羊传》__春秋战国
63	宣 [谢] 者何？		《公羊传》__春秋战国
64	宣宫之 [谢] 也。		《公羊传》__春秋战国
65	何言乎成周宣 [谢] 灾？		《公羊传》__春秋战国
66	成周宣 [谢] 灾何以书？		《公羊传》__春秋战国
67	敞奏霸曰：“窃见丞相请与中二千石博士杂问郡国上计长吏、守丞为民兴利除害、成大化，条其对，有耕者让畔，男女异路，道不拾遗，及举孝子贞妇者为一辈，先上殿，举而不知其人数者次之，不为条教者在后叩头 [谢] 。		《汉书》__汉
68	废后因孊私赂遗长，数通书记相报 [谢] 。		《汉书》__汉
69	郑伯归自晋，使子西如晋聘，辞曰：“寡君来烦执事，惧不免于戾，使夏 [谢] 不敏。”		《左传》__春秋战国
70	太子议欲 [谢] ，少傅阎崇以为：“《春秋》不以父命废王父命，为人后之礼不得顾私亲，不当 [谢] 。”		《汉书》__汉
71	太傅赵玄以为当 [谢] ，太子从之。		《汉书》__汉
72	诏问所以 [谢] 状，尚书劾奏玄，左迁少府，以光禄勋师丹为太傅。		《汉书》__汉
73	丹免冠 [谢] 上曰：“臣诚见陛下哀痛中山王，至以感损。		《汉书》__汉
74	入而徐趋，至而自〔 [谢] 〕曰：“老臣病足，曾不能疾走。		《纵横家书》__春秋战国
75	学成，何 [谢] 宽。		《汉书》__汉
76	于是ぶ郑聘于秦，且 [谢] 缓赂，故不及。		《左传》__春秋战国
77	王用其计， [谢] 使曰：“新立，国未定，愿待后年入见天子。”		《汉书》__汉
78	后军候赵德使E47B宾，与阴末赴相失，阴末赴锁琅当德，杀副已下七十余人，遣使者上书 [谢] 。		《汉书》__汉
79	复 [谢] 宾客，独王命召之乃往。		《汉书》__汉
80	山阳张长安幼君先事式，后东平唐长宾、沛褚少孙亦来事式，问经数篇，式 [谢] 曰：“闻之于师具是矣，自润色之。”		《汉书》__汉
81	光入，免冠顿首 [谢] ，上曰：“将军冠。		《汉书》__汉
82	光 [谢] 曰：“九卿责光是也。		《汉书》__汉
83	敢 [谢] 不才。”		《左传》__春秋战国
84	大将军光送至昌邑邸，光 [谢] 曰：“王行自绝于天，臣等驽怯，不能杀身报德。		《汉书》__汉
85	后两家奴争道，霍氏奴入御史府，欲蹋大夫门，御史为叩头 [谢] ，乃去。		《汉书》__汉
86	博喜，还书 [谢] ，为谄语盛称誉王，因言：“当今朝廷无贤臣，灾变数见，足为寒心。		《汉书》__汉
87	居摄之萌，出于泉陵侯刘庆、前煇光 [谢] 嚣、长安令田终术。		《汉书》__汉
88	仁见莽免冠 [谢] ，莽使尚书劾仁：“乘‘乾’车，驾‘神’马，左苍龙，右白虎，前硃雀，后玄武，右杖威节，左负威斗，号曰赤星，非以骄仁，乃以尊新室之威命也。		《汉书》__汉
89	于是淮阳王钦免冠稽首 [谢] 曰：“奉籓无状，过恶暴列，陛下不忍致法，加大恩，遣使者申谕道术守籓之义。		《汉书》__汉
90	＂春申君 [谢] 之，孙卿去之，游赵，应聘於秦。		《风俗通义》__汉
91	于是杀牛置酒， [谢] 其邻人，灼烂者在于上行，余各以功次坐，而不录言曲突者。		《汉书》__汉
92	字惭俱，因使者顿首 [谢] 死罪，愿洒心自改。		《汉书》__汉
93	上闻之大怒，日磾顿首 [谢] ，具言所以杀弄兒状。		《汉书》__汉
94	使士文伯 [谢] 不敏焉。		《左传》__春秋战国
95	恬曰：“ [谢] 著，我旧友也，尚不相见视；汲令初不相知，语之何益。		《风俗通义》__汉
96	过友人邺令 [谢] 著，著拒不通，因载病去。		《风俗通义》__汉
97	大司空邑斥士以 [谢] 。		《汉书》__汉
98	於是孝武皇帝乃召广为北平太守，广请霸陵尉与俱，至军斩之，上书 [谢]  罪。		《风俗通义》__汉
99	甲肉袒 [谢] ，安国笑曰：“公等可与治乎？”		《风俗通义》__汉
100	诩案大臣，苟肆私意，诩坐上 [谢] ，伥蒙慰劳。		《风俗通义》__汉
101	既见讥切，不蹴坐 [谢] 负，而多伐善，以为己力，惟颜之厚，博而俗矣。		《风俗通义》__汉
102	敕亡得 [谢] ，见勿复道。”		《汉书》__汉
