语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：负
2022/7/10 22:56:28

序号	语句	书名	朝代
1	上九，睽孤；见豕 [负] 涂，载鬼一车，先张之弧，后说之弧，匪寇婚媾。		《周易》__周
2	见豕 [负] 		《周易》__周
3	丕郑与我矣，吾命之以 [负] 蔡之田七十万。		《国语》__春秋战国
4	子夏蹶然而起， [负] 墙而立，曰：“弟子敢不 承乎？”		《礼记》__春秋战国
5	六三， [负] 且乘，致寇至，贞吝。		《周易》__周
6	《象》曰：“ [负] 且乘”，亦可丑也。		《周易》__周
7	制十有二幅以应十有二月，袂圜以应规，曲袷如矩以应方， [负] 绳及踝以应直， 下齐如权衡以应平。		《礼记》__春秋战国
8	故规者，行举手以为容； [负] 绳抱方者，以直其政，方其义也。		《礼记》__春秋战国
9	仆者右带剑， [负] 良绥申之面，拖诸{辟巾}，以散绥升，执 辔然后步。		《礼记》__春秋战国
10	问士之子长幼，长，则曰能耕矣；幼，则曰能 [负] 薪，未能 [负] 薪。		《礼记》__春秋战国
11	“令夫商，群萃而州处，察其四时，而监其乡之资，以知其市之贾， [负] 、任、担、荷，服亲、轺马，以周四方，以其所有，易其所无，市贱鬻贵，旦暮从事于此，以饬其子弟，相语以利，相示以赖，相陈以知贾。		《国语》__春秋战国
12	孤日夜相继，匍匐就君，君今非王室不平安是忧，亿 [负] 晋众庶，不式诸戎、狄、楚、秦；将不长弟，以力征一二兄弟之国。		《国语》__春秋战国
13	祝先升自阼阶， [负] 墉南面。		《礼记》__春秋战国
14	惠子曰：“今之城者，或者操大筑乎城上，或 [负] 畚而赴乎城下，或操表掇以善睎望。		《吕氏春秋》__春秋战国
15	凡封，用君去碑 [负] 引。		《礼记》__春秋战国
16	壮女之军，使盛食、 [负] 垒，陈而待令；客至而作土以为险阻及耕格阱；发梁撤屋，给从从之，不洽而☆之，使客无得以助攻备。		《商君书》__春秋战国
17	以绛、汾、安邑令 [负] 牛书与秦，犹乃善牛也。		《吕氏春秋》__春秋战国
18	以舜之德为未至也，於是乎夫 [负] 妻戴，携子以入於海，去之终身不反。		《吕氏春秋》__春秋战国
19	乃 [负] 石而沈於募水。		《吕氏春秋》__春秋战国
20	夫进而击赵不能取，退而攻韩弗能拔，则陷锐文卒勤于野战， [负] 任之旅罢于内攻；则合群苦弱以敌而共二万乘，非所以亡赵之心也。		《韩非子》__春秋战国
21	资重则不可 [负] 而逃，邻危则不归。		《商君书》__春秋战国
22	三日，始 [负] 子，男射女否。		《礼记》__春秋战国
23	三日，卜士 [负] 之，吉者宿齐朝服 寝门外，诗 [负] 之，射人以桑弧蓬矢六，射天地四方，保受乃 [负] 之，宰醴 [负] 子，赐 之束帛，卜士之妻，大夫之妾，使食子。		《礼记》__春秋战国
24	昔者周公朝诸侯于明堂之位：天子 [负] 斧依南乡而立；三公，中阶之前，北面 东上；诸侯之位，阼阶之东，西面北上；诸伯之国，西阶之西，东面北上；诸子 之国，门东，北面东上；诸男之国，门西，北面东上；九夷之国，东门之外，西 面北上；八蛮之国，南门之外，北面东上；六戎之国，西门之外，东面南上；五 狄之国，北门之外，南面东上；九采之国，应门之外，北面东上。		《礼记》__春秋战国
25	顾谓其妻曰：‘ [负] 日之 暄，人莫知者；以献吾君，将有重赏。		《列子》__春秋战国
26	且夫有高人之行者，固见 [负] 於世；有独知之虑者，必见骜於民。		《商君书》__春秋战国
27	禹南省，方济乎江，黄龙 [负] 舟。		《吕氏春秋》__春秋战国
28	其国乱弱矣，又皆释国法而私其外，则是 [负] 薪而救火也，乱弱甚矣！		《韩非子》__春秋战国
29	万物 [负] 阴而抱阳，冲气以为和。		《老子》__春秋战国
30	得庆封， [负] 之斧质，以徇於诸侯军，因令其呼之曰：“毋或如齐庆封，弑其君而弱其孤，以亡其大夫。”		《吕氏春秋》__春秋战国
31	《易》曰：‘ [负] 且乘，致寇至。		《周易》__周
32	’ [负] 也者，小人之事也，乘也者，君		《周易》__周
33	《易》曰‘ [负] 且乘，致寇至’，盗之招也。”		《周易》__周
34	而龙伯之国有大人，举足不盈数步而 暨五山之所，一钓而连六鳌，合 [负] 而趣，归其国，灼其骨以数焉。		《列子》__春秋战国
35	其大父死， [负] 其大母而弃之，曰： “鬼妻不可以同居处。”		《列子》__春秋战国
36	欲 [负] 而走，则锺大不可 [负] 。		《吕氏春秋》__春秋战国
37	 [负] 其材力，视来丹犹雏鷇也。		《列子》__春秋战国
38	齐诸候方百里 [负] 海了七十里男十五里，		《管子》__春秋战国
39	困人之山海假之命 [负] 海之国雠监于吾国，		《管子》__春秋战国
40	然则臣之名不以 [负] 其力者也，以能用其力者也；不犹愈于 [负] 其力 者乎？”		《列子》__春秋战国
41	’‘其 [负] 类反伦，不可胜言也。”		《列子》__春秋战国
42	从诸候欲通吏众行者令一人为 [负] 以车，		《管子》__春秋战国
43	夫如是，则四方之民襁 [负] 其子而至矣，焉用稼？”		《论语》__春秋战国
44	凶服者式之，式 [负] 版者。		《论语》__春秋战国
45	尔牧来思，何蓑何笠，或 [负] 其餱。		《诗经》__周
46	螟蛉有子，蜾蠃 [负] 之。		《诗经》__周
47	《易》曰‘ [负] 且乘，致寇至。		《周易》__周
48	’ [负] 也者，小人之事也。		《周易》__周
49	《易》曰：‘ [负] 且乘，致寇至。		《周易》__周
50	礼乐亻 [负] 天 地之情，达神明之德，降兴上下之神，而凝是精粗之体，领父子君臣之节。		《礼记》__春秋战国
51	虎 [负] 嵎，莫之敢撄。		《孟子》__春秋战国
52	晏子之晋，至中牟，睹敝冠反裘 [负] 刍，息于途侧者，以为君子也，使人问焉。		《晏子春秋》__春秋战国
53	僖 [负] 羁之妻言于 [负] 羁曰：“吾观晋公子贤人也，其从者皆国相也，以相一人，必得晋国。		《国语》__春秋战国
54	僖 [负] 羁馈飧，置璧焉。		《国语》__春秋战国
55	 [负] 羁言于曹伯曰：“夫晋公子在此，君之匹也，不亦礼焉？”		《国语》__春秋战国
56	景公游于寿宫，睹长年 [负] 薪者，而有饥色。		《晏子春秋》__春秋战国
57	王缢，申亥 [负] 王以归，而土埋之其室。		《国语》__春秋战国
58	夫吴民离矣，体有所倾，譬如群兽然，一个 [负] 矢，将百群皆奔，王其无方收也。		《国语》__春秋战国
59	上九，睽孤见豕 [负] 涂，载鬼一车，先张之弧，后说之弧，匪寇，婚媾。		《周易》__周
60	窃 [负] 而逃，遵海滨而处，终身讠斤然，乐而忘天下。”		《孟子》__春秋战国
61	六三， [负] 且乘，致寇至，贞吝。		《周易》__周
62	《象》曰：“ [负] 且乘”，亦可丑也。		《周易》__周
63	芑，是任是 [负] 。		《诗经》__周
64	或遇之山中， [负] 釜盖簦，问焉，曰：“请问介子推安在？”		《吕氏春秋》__春秋战国
65	孟子曰：“舜生于诸冯，迁于 [负] 夏，卒于鸣条，东夷之人也。		《孟子》__春秋战国
66	水不冰，是谓阴 [负] 地。		《逸周书》__春秋战国
67	昔沈犹有 [负] 刍之祸，从先生者七十人，未有与焉。”		《孟子》__春秋战国
68	谨庠序之教，申之以孝悌之义，颁白者不 [负] 戴于道路矣。		《孟子》__春秋战国
69	对曰：“公量小，私量大，以施于民，其与士交也，用财无筐箧之藏，国人 [负] 携其子而归之，若水之流下也。		《晏子春秋》__春秋战国
70	天子之位， [负] 斧依，南面立。		《逸周书》__春秋战国
71	陈良之徒陈相与其弟辛， [负] 耒耜而自宋之滕，曰：“闻君行圣人之政，是亦圣人也，愿为圣人氓。”		《孟子》__春秋战国
72	筑葵☆、晏、 [负] 夏、领釜丘，以御戎狄之地，所以禁暴于诸侯也；筑五鹿、中牟、盖与、牡丘，以卫诸夏之地，所以示权于中国也。		《国语》__春秋战国
73	万物之生， [负] 阴而抱阳，莫不有太极，莫		《周易》__周
74	其女子往辞晏子之家，托曰：“ [负] 郭之民贱妾，请有道于相国，不胜其欲，愿得充数乎下陈。”		《晏子春秋》__春秋战国
75	宾三退， [负] 序。		《仪礼》__春秋战国
76	摈者退， [负] 东塾而立。		《仪礼》__春秋战国
77	宰夫荐笾豆脯醢，宾升筵，摈者退 [负] 东塾。		《仪礼》__春秋战国
78	宾三退，反还 [负] 序。		《仪礼》__春秋战国
79	督万兮侍宴，周邵兮 [负] 刍。		《楚辞》__春秋战国
80	蹶有患害也，蛩蛩距虚必 [负] 而走。		《吕氏春秋》__春秋战国
81	宾自碑内听命，升自西阶，自左，南面受圭，退 [负] 右房而立。		《仪礼》__春秋战国
82	自下听命，自西阶升受， [负] 右房而立。		《仪礼》__春秋战国
83	晏子之晋，见反裘 [负] 刍息於涂者。		《吕氏春秋》__春秋战国
84	 [负] 其大母而弃之日鬼妻不可与居处。		《墨子》__春秋战国
85	 [负] 檐荷以丈尺兮，欲伸要而不可得。		《楚辞》__春秋战国
86	既骄美而伐武兮， [负] 左右之耿介。		《楚辞》__春秋战国
87	容毂必直，陈篆必正，施胶必厚，施筋必数，帱必 [负] 干。		《周礼》__春秋战国
88	天子衮冕， [负] 斧依。		《仪礼》__春秋战国
89	此无故，唯辕直且无桡也，是故辀欲颀典，辀深则折，浅则 [负] 。		《周礼》__春秋战国
90	王奔郧，钟建 [负] 季羋以従，由于徐苏而従。		《左传》__春秋战国
91	维角{足}之，欲宛而无 [负] 弦，引之如环，释之无失体。		《周礼》__春秋战国
92	属 [负] 兹，舍不即罪尔。		《公羊传》__春秋战国
93	钟建 [负] 我矣。”		《左传》__春秋战国
94	郑于是乎伐冯、滑、胥靡、 [负] 黍、狐人、阙外。		《左传》__春秋战国
95	佐食无事，则出户， [负] 依南面。		《仪礼》__春秋战国
96	群臣之子，敢不皆 [负] 羁绁以従？”		《左传》__春秋战国
97	六月，荀吴略东阳，使师伪籴 [负] 甲以息于昔阳之门外，遂袭鼓，灭之。		《左传》__春秋战国
98	司马命获者执旌以 [负] 侯，获者适侯，执旌 [负] 侯而俟。		《仪礼》__春秋战国
99	焉有虬龙、 [负] 熊以游？		《楚辞》__春秋战国
100	获者执旌许诺，声不绝，以旌 [负] 侯而俟。		《仪礼》__春秋战国
101	!何， [负] 也。		《周易》__周
102	获者许诺，以旌 [负] 侯，如初。		《仪礼》__春秋战国
103	何繁鸟萃棘， [负] 子肆情？		《楚辞》__春秋战国
104	获者 [负] 侯，北面拜受爵，司马西面拜送爵。		《仪礼》__春秋战国
105	获者 [负] 侯而俟。		《仪礼》__春秋战国
106	序则物当栋，堂则物当楣，命 [负] 侯者，由其位。		《仪礼》__春秋战国
107	且夫水之积也不厚，则其 [负] 大舟也无力。		《庄子》__春秋战国
108	风之积也不厚，则其 [负] 大翼也		《庄子》__春秋战国
109	若垂天之云，抟扶摇羊角而上者九万里，绝云气， [负] 青天，然后图南		《庄子》__春秋战国
110	祝 [负] 墉，南面，主人中庭。		《仪礼》__春秋战国
111	令少主以元贵靡不立而还，信无 [负] 于夷狄，中国之福也。		《汉书》__汉
112	许诺，不述命；还即席，西面坐；命龟，兴；授卜人龟， [负] 东扉。		《仪礼》__春秋战国
113	于是夫 [负] 妻戴，携子以入于海，终身不反也。		《庄子》__春秋战国
114	摈者玄端， [负] 东塾。		《仪礼》__春秋战国
115	朕发酒泉驴、橐驼 [负] 食，出玉门迎军。		《汉书》__汉
116	乃 [负] 石而自沈于庐水。		《庄子》__春秋战国
117	 [负] ，广出于适寸。		《仪礼》__春秋战国
118	于是广开上林，穿昆明池，营千门万户之宫，立神明通天之台，兴造甲乙之帐，落以随珠和璧，天子 [负] 黼依，袭翠被，冯玉几，而处其中。		《汉书》__汉
119	小臣有晨梦 [负] 公以登天，及日中， [负] 晋侯出诸厕，遂以为殉。		《左传》__春秋战国
120	曹人使公子 [负] 刍守，使公子欣时逆曹伯之丧。		《左传》__春秋战国
121	秋， [负] 刍杀其大子而自立也。		《左传》__春秋战国
122	车骑将军音藉槁请罪，商、立、根皆 [负] 斧质谢。		《汉书》__汉
