语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：责
2022/7/10 23:10:22

序号	语句	书名	朝代
1	吾闻之，申生甚好信而强，又失言于众矣，虽欲有退，众将 [责] 焉。		《国语》__春秋战国
2	有善于己，然后可以 [责] 人之善；无恶于己，然后可以正人之恶。		《大学中庸》__春秋战国
3	夫齐侯将施惠如出 [责] ，是以不果奉，而暇晋是皇，虽后之会，将在东矣。		《国语》__春秋战国
4	阿主之为，有过则主无以 [责] 之，则人主日侵，而人臣日得。		《吕氏春秋》__春秋战国
5	今乱而无 [责] ，则乱愈长矣。		《吕氏春秋》__春秋战国
6	故有职者安其职，不听其议；无职者 [责] 其实，以验其辞。		《吕氏春秋》__春秋战国
7	故有道之主，因而不为， [责] 而不诏，去想去意，静虚以待，不伐之言，不夺之事，督名审实，官使自司，以不知为道，以柰何为实。		《吕氏春秋》__春秋战国
8	人唱我和，人先我随，以其出为之入，以其言为之名，取其实以 [责] 其名，则说者不敢妄言，而人主之所执其要矣。		《吕氏春秋》__春秋战国
9	若尔三王是有丕子之 [责] 于天，以旦代某之身。		《尚书》__周
10	小子同未在位，诞无我 [责] 收，罔勖不及。		《尚书》__周
11	 [责] 之也。		《榖梁传》__春秋战国
12	令二轻臣也，令臣 [责] ，卬虽贤，固能乎？”		《吕氏春秋》__春秋战国
13	孟卬令秦得其所欲，秦亦令孟卬得其所欲， [责] 以偿矣，尚有何 [责] ？		《吕氏春秋》__春秋战国
14	魏虽强，犹不能 [责] 无 [责] ，又况於弱？		《吕氏春秋》__春秋战国
15	魏王之令乎孟卬为司徒，以弃其 [责] ，则拙也。		《吕氏春秋》__春秋战国
16	其于左右也，使其身必 [责] 其言，不使益辞。		《韩非子》__春秋战国
17	叔无孙曰：“矛非戟也，戟非矛也，亡戟得矛，岂亢 [责] 也哉？”		《吕氏春秋》__春秋战国
18	为人臣者陈而言，君以其言授之事，专以其事 [责] 其功。		《韩非子》__春秋战国
19	乃罪多，参在上，乃能 [责] 命于天？		《尚书》__周
20	圣王见王之致于兵也，故举国而 [责] 之于兵。		《商君书》__春秋战国
21	故君子 [责] 人则以人，自 [责] 则以义。		《吕氏春秋》__春秋战国
22	 [责] 人以人则易足，易足则得人；自 [责] 以义则难为非，难为非则行饰。		《吕氏春秋》__春秋战国
23	 [责] 人则以义，自 [责] 则以人。		《吕氏春秋》__春秋战国
24	 [责] 人以义 [责] 难瞻，难瞻则失亲；自 [责] 以人则易为，易为则行苟。		《吕氏春秋》__春秋战国
25	’ [责] 人斯无难，惟受 [责] 俾如流，是惟艰哉！		《尚书》__周
26	故群臣陈其言，君以其主授其事，事以 [责] 其功。		《韩非子》__春秋战国
27	故若简子者，能厚以理督 [责] 於其臣矣。		《吕氏春秋》__春秋战国
28	以理督 [责] 於其臣，则人主可与为善，而不可与为非；可与为直，而不可与为枉。		《吕氏春秋》__春秋战国
29	欲堙之 [责] ，非攻无以。		《吕氏春秋》__春秋战国
30	昔也往 [责] 於东邑，人可问也。”		《吕氏春秋》__春秋战国
31	是以圣人执左契，而不 [责] 於人。		《老子》__春秋战国
32	《韩非》曰：“省同异之言，以知朋党之分；偶参伍之验，以 [责] 陈言之实。”		《周易》__周
33	寡人岂 [责] 子之令太子必如寡人也哉？		《吕氏春秋》__春秋战国
34	苟从 [责] 者乡决州决故曰就庸一日而决，		《管子》__春秋战国
35	故明主之听也言者 [责] 之以其实，		《管子》__春秋战国
36	以为生既不 [责] 恩，复不名主，道乃能常大耳。“		《老子想尔注》__春秋战国
37	贫士之受 [责] 于大夫者几何人，		《管子》__春秋战国
38	 [责] 成人礼焉者，将 [责] 为人子、为人弟、为人臣、 为人少者之礼行焉。		《礼记》__春秋战国
39	将 [责] 四者之行于人，其礼可不重与？		《礼记》__春秋战国
40	有馀富无馀乘者 [责] 之卿诸候足其所不赂其游者 [责] 之令大夫，		《管子》__春秋战国
41	是故君有 [责] 于其臣，臣有 死于其言。		《礼记》__春秋战国
42	子曰：口惠而实不至，怨及其身，是故君子与其有诺 [责] 也，宁有已怨。		《礼记》__春秋战国
43	子曰：“躬自厚而薄 [责] 于人，则远怨矣。”		《论语》__春秋战国
44	公属百官，赋职任功，弃 [责] 薄敛，施舍分寡。		《国语》__春秋战国
45	晏子对曰：“事亲孝，无悔往行，事君忠，无悔往辞；和于兄弟，信于朋友，不谄过，不 [责] 得；言不相坐，行不相反；在上治民，足以尊君，在下莅修，足以变人，身无所咎，行无所创；可谓荣矣。”		《晏子春秋》__春秋战国
46	比至于国者，四下而趋，行哭而往，伏尸而号，曰：“子大夫日夜 [责] 寡人，不遗尺寸，寡人犹且淫☆而不收，怨罪重积于百姓。		《晏子春秋》__春秋战国
47	公说，使有司宽政，毁关去禁，薄敛已 [责] ，公疾愈。		《晏子春秋》__春秋战国
48	古者易子而教之，父子之间不 [责] 善。		《孟子》__春秋战国
