语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：质
2022/7/10 23:04:01

序号	语句	书名	朝代
1	桓公召而与之语，訾相其 [质] ，足以比成事，诚可立而授之。		《国语》__春秋战国
2	切以刀锯，琢以椎凿，皆裁物使成形 [质] 也。		《大学中庸》__春秋战国
3	君亲问焉，曰：“于子之乡，有居处好学、慈孝于父母、聪慧 [质] 仁、发闻于乡里者，有则以告。		《国语》__春秋战国
4	桓公又亲问焉，曰：“于子之属，有居处为义好学、慈孝于父母、聪慧 [质] 仁、发闻于乡里者，有则以告。		《国语》__春秋战国
5	贤不肖各反其 [质] ，行其情，不雕其素，蒙厚纯朴，以事其上。		《吕氏春秋》__春秋战国
6	赐女土地， [质] 之以牺牲，世世子孙无相害也。		《国语》__春秋战国
7	毋訾衣服成器，毋身 [质] 言语。		《礼记》__春秋战国
8	及前哲令德之人，所以为盲 [质] 也；及天之三辰，民所以瞻仰也；及地之五行，所以生殖也；禁九州名山川泽，所以出财用也。		《国语》__春秋战国
9	食亓父母妻子以为 [质] 。		《墨子》__春秋战国
10	曰：“今日置 [质] 为臣，其主安重；今日释玺辞官，其主安轻。		《吕氏春秋》__春秋战国
11	凡冒 [质] 长与手齐，杀三尺，自小敛以往用夷衾，夷衾 [质] 杀之，裁 犹冒也。		《礼记》__春秋战国
12	均如贵人之计，则秦必为天下兵 [质] 矣。		《韩非子》__春秋战国
13	今贱臣之愚计：使人使荆，重币用事之臣，明赵之所以欺秦者；与魏 [质] 以安其心，从韩而伐赵，赵虽与齐为一，不足患也。		《韩非子》__春秋战国
14	臣非非难言孔，所以难言者：言顺比滑泽，洋洋纚々然，则见以为华而不实；敦祗恭厚，鲠固慎完，则见以为掘而不伦；多言繁称，连类比物，则见以为虚而无用；总微说约，径省而不饰，则见以为刿而不辩；激急亲近，探知人情，则见以为谮为不让；闳大广博，妙远不测，则见以为夸而无用；家计小谈，以具数言，则见以为陋；言而近世，辞不悖逆，则见以为贪生而谀上；言而远俗，诡躁人间，则见以为诞；捷敏辩给，繁于文采，则见以为史；殊释文学，以 [质] 信言，则见以为鄙；时称诗书，道法往古，则见以为诵。		《韩非子》__春秋战国
15	张孟谈曰：“臣闻董子之治晋阳也，公宫令舍之堂，皆以炼铜为柱 [质] 。		《韩非子》__春秋战国
16	 [质] 虽柔暗，若能来致天下之明，则有庆誉而吉矣。		《周易》__周
