语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：贻
2022/7/10 23:03:16

序号	语句	书名	朝代
1	于后，公乃为诗以 [贻] 王，名之曰《鸱鸮》。		《尚书》__周
2	父母虽没，将为善，思 [贻] 父母令名，必果。		《礼记》__春秋战国
3	将为不善，思 [贻] 父母羞辱，必不 果。		《礼记》__春秋战国
4	有典有则， [贻] 厥子孙。		《尚书》__周
5	若生子，罔不在厥初生，自 [贻] 哲命。		《尚书》__周
6	视尔如荍， [贻] 我握椒。		《诗经》__周
7	唯是先王之宴礼，欲以 [贻] 女。		《国语》__春秋战国
8	《诗》云‘武王岂不事， [贻] 厥孙谋，以燕翼子’今君处佚怠，逆政害民有日矣，而犹出若言，不亦甚乎！”		《晏子春秋》__春秋战国
9	静女其娈， [贻] 我彤管。		《诗经》__周
10	匪女之为美，美人之 [贻] 。		《诗经》__周
11	玄鸟致 [贻] 女何喜，该秉季德，厥父是臧。		《楚辞》__春秋战国
12	惠子谓庄子曰：“魏王 [贻] 我大瓠之种，我树之成而实五石。		《庄子》__春秋战国
13	穆王思保位惟难，恐 [贻] 世羞，欲自警悟，作《史记》。		《逸周书》__春秋战国
14	玄贝， [贻] 贝。		《尔雅》__汉
15	 [贻] ，遗也。		《尔雅》__汉
16	巨滔天而泯夏兮，考E5DC愍以行谣，终保已而 [贻] 则兮，里上仁之所庐。		《汉书》__汉
17	毋 [贻] 盲者镜， 毋予躄者履，毋赏越人章甫，非其用也。		《淮南子》__汉
18	□正义斄作“邰”，音 [贻] 。		《史记》__汉
19	集解徐广曰：“娲，一作‘ [贻] ’。”		《史记》__汉
20	音 [贻] 。”		《史记》__汉
21	下音 [贻] 。		《史记》__汉
22	□正义音台，又音 [贻] 。		《史记》__汉
23	东土以集，周公归报成王，乃为诗 [贻] 王，命之曰鸱鸮。		《史记》__汉
24	今将载其约而效之者，以 [贻] 将来之同志焉。		《抱朴子》__魏晋六朝
25	吾今见存，汝又只立，何得过尔毁顿， [贻] 吾忧也？”		《北史》__魏晋六朝
26	年十七，周文闻其名，乃 [贻] 永书曰：“闻公有二子，曰陵、曰瑾，陵从横多武略，瑾雍容富文雅，可并遣入朝，孤欲委以文武之任。”		《北史》__魏晋六朝
27	今若益之以势，援之以兵，非唯侯景不为池中之物，亦恐朝廷 [贻] 笑将来也。”		《北史》__魏晋六朝
28	军出，武令悦说其城主杨贤，悦乃 [贻] 之书，贤于是遂降。		《北史》__魏晋六朝
29	至于初则东储不终，末乃衅成所忽，固本 [贻] 防，殆弗思乎。		《北史》__魏晋六朝
30	无令雕墙峻宇，复起于当今；俗使卑宫菲食，将 [贻] 于后世。		《北史》__魏晋六朝
31	故能不同不诱，而弭谤于群小；无毁无誉，而 [贻] 信于上帝。		《北史》__魏晋六朝
32	故知以多为贵，王者之礼，今可依用， [贻] 厥后昆。		《北史》__魏晋六朝
33	蕞尔之体，自 [贻] 兹患，天地神明，曷能济焉！		《抱朴子》__魏晋六朝
34	窃见咸阳、京兆，乃皇子皇孙，一德之亏，自 [贻] 悔戾；沈沦幽壤，缅焉弗收，岂是兴灭继绝之意？”		《北史》__魏晋六朝
35	普惠谓遣之将 [贻] 后患，上疏极言其不可。		《北史》__魏晋六朝
36	临三军犹兒戏，视人命如草芥；不遵成规，坐 [贻] 挠退。		《北史》__魏晋六朝
37	彭城刘逸人谓仲举曰：“君之才地，远近所知，久病在家，恐 [贻] 时论，具为武职，差若自安。”		《北史》__魏晋六朝
38	鲁书有作，鹿门 [贻] 鉴于臧孙；晋乘无隐，桃园取讥于赵孟。		《北史》__魏晋六朝
39	庶知为君之难，为臣不易， [贻] 之后昆，殷鉴斯在。”		《北史》__魏晋六朝
40	重以名将 [贻] 祸，忠臣显戮；始见浸溺之萌，俄观土崩之势。		《北史》__魏晋六朝
41	乃为诗以 [贻] 之曰：“六爻贞遁世，三辰光少微。		《北史》__魏晋六朝
42	令闻不著，丑声宣流，没有余败， [贻] 讥将来，始无可法，终无可纪，斯亦志士之耻也，安忍为之！		《抱朴子》__魏晋六朝
43	及神武疾笃，谓文襄曰：“芒山之战，不用元康言，方 [贻] 汝患，以此为恨，死不瞑目。		《北史》__魏晋六朝
44	何以 [贻] 范庶僚，示人轨物？”		《北史》__魏晋六朝
45	岂容虚追子氏放篇之浮说，徒损经纪雅诰之遗训，而欲以支离横义，指画妄图，仪刑宇宙而 [贻] 来叶者也？		《北史》__魏晋六朝
46	聿脩不受，与邢邵书云：“今日仰过，有异常行，瓜田李下，古人所慎，愿得此心，不 [贻] 厚责。”		《北史》__魏晋六朝
47	余岂敢仰均先进， [贻] 笑后昆？		《北史》__魏晋六朝
48	殆及余喘，薄言胸臆， [贻] 及行迈，传之州里，使夫将来俊哲，知余鄙志耳。		《北史》__魏晋六朝
49	始于秋季，及此玄冬，幽忧殷勤，屡 [贻] 深戒。		《北史》__魏晋六朝
50	七月，神武 [贻] 周文书，责以杀孝武之罪。		《北史》__魏晋六朝
51	是故搏击为侯，起不旋踵；懦弱 [贻] 咎，录用无时。		《北史》__魏晋六朝
52	载蹶而坠其 [贻] 宴，或蹲乃丧其贞吉。		《北史》__魏晋六朝
53	晏之诗云：“天下有道，主明臣直；虽休勿休，永 [贻] 世则。”		《北史》__魏晋六朝
54	又谓仆禄不足以代耕，位不登于执戟，干非其议，自 [贻] 悔咎。		《北史》__魏晋六朝
55	仆诚不敏，以 [贻] 吾子之羞，默默苟容，又非平生之意。		《北史》__魏晋六朝
56	愿以黔黎在念，社稷为心，勿拘小礼，自 [贻] 伊戚。		《北史》__魏晋六朝
57	文帝报书曰：“大隋天子 [贻] 书大突厥伊利俱卢设莫何沙钵略可汗：得书，知大有好心向此也。		《北史》__魏晋六朝
58	王罴时为雍州刺史，钦其善政， [贻] 书盛相称述。		《北史》__魏晋六朝
59	弁以为萧氏父子无大功于天下，既以逆取，不能顺守，必不能 [贻] 厥孙谋，保有南海。		《北史》__魏晋六朝
60	其余涉猎典章，闲集词翰，莫不縻以好爵，动 [贻] 赏眷。		《北史》__魏晋六朝
61	既属明时，须存謇谔，立当世之大诫，作将来之宪范，岂容曲顺人主，以爱亏刑；又使胁从之徒，横 [贻] 罪谴。		《北史》__魏晋六朝
62	河南尹丞张普惠谓为太俭， [贻] 书于冲叔整。		《北史》__魏晋六朝
63	陛下遵酌前王， [贻] 厥后矩，天下为公，亿兆己任。		《北史》__魏晋六朝
64	卿若杀身成名， [贻] 之竹素，何如甘彼刍菽，以辱君父。		《北史》__魏晋六朝
65	如曰不然，便须深加严警，不得信其诳诱，自 [贻] 后悔。”		《北史》__魏晋六朝
66	常思同升举直，以报明主之恩；尽忠竭力，不为 [贻] 厥之累。		《北史》__魏晋六朝
