语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：赤
2022/7/10 23:11:03

序号	语句	书名	朝代
1	厥土 [赤] 埴坟，草木渐包。		《尚书》__周
2	赏服大辂，龙旗九旒，渠门 [赤] ☆，诸侯称顺焉。		《国语》__春秋战国
3	大桡作甲子，黔如作虏首，容成作历，羲和作占日，尚仪作占月，后益作占岁，胡曹作衣，夷羿作弓，祝融作市，仪狄作酒，高元作室，虞姁作舟，伯益作井， [赤] 冀作臼，乘雅作驾，寒哀作御，王冰作服牛，史皇作图，巫彭作医，巫咸作筮。		《吕氏春秋》__春秋战国
4	 [赤] 旗 [赤] 神长七尺者七。		《墨子》__春秋战国
5	越玉五重，陈宝， [赤] 刀、大训、弘璧、琬琰、在西序。		《尚书》__周
6	九五，劓刖，困于 [赤] 绂，乃徐有说，利用祭祀。		《周易》__周
7	上下既伤，则 [赤] 绂无所用，而反为困矣。		《周易》__周
8	以丙丁杀 [赤] 龙于南方。		《墨子》__春秋战国
9	日臣尝卜于天，今吴民既罢，而大荒荐饥，市无 [赤] 米，而☆鹿空虚，其民必移就莆蠃于东海之滨。		《国语》__春秋战国
10	左军亦如之，皆 [赤] 裳、 [赤] ☆、丹甲、朱羽之☆，望之如火。		《国语》__春秋战国
11	牛夜鸣则<广酉>，羊泠毛而毳膻，狗 [赤] 股而躁躁，鸟キ色而沙鸣郁，豕望 视而交睫腥，马黑脊而般臂漏，雏尾不盈握，弗食，舒雁翠，鹄胖，舒凫翠， 鸡肝，雁肾，鸨奥，鹿胃。		《礼记》__春秋战国
12	有虞氏之旗，夏后氏之绥，殷之大白，周之大 [赤] 。		《礼记》__春秋战国
13	夏，臧孙许及晋侯盟于 [赤] 棘。		《榖梁传》__春秋战国
14	晋人执戎蛮子 [赤] 归于楚。		《榖梁传》__春秋战国
15	其剑长尺有咫，练钢 [赤] 刃， 用之切玉如切泥焉。		《列子》__春秋战国
16	命驾八骏之乘，右服骅 骝而左绿耳，右骖 [赤] 骥而左白{减木}，主车则造父为御，离离右；次车之乘，右 服渠黄而左逾轮，左骖盗骊而右山子，柏夭主车，参百为御，奔戎为右。		《列子》__春秋战国
17	窥 [赤] 肉而鸟鹊聚，狸处堂而众鼠散，衰绖陈而民知丧，竽瑟陈而民知乐，汤武修其行而天下从，桀纣慢其行而天下畔，岂待其言哉？		《吕氏春秋》__春秋战国
18	昔者武王伐有商，誅紂，斷其首，縣之 [赤] 旆。		《荀子》__春秋战国
19	子曰：“ [赤] 之适齐也，乘肥马，衣轻裘。		《论语》__春秋战国
20	乾为天，为圜，为君，为父，为玉，为金，为寒，为冰，为大 [赤] ，为良马，为老马，为瘠马，为驳		《周易》__周
