语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：走
2022/7/10 23:04:31

序号	语句	书名	朝代
1	“惟时羲和颠覆厥德，沈乱于酒，畔官离次，俶扰天纪，遐弃厥司，乃季秋月朔，辰弗集于房，瞽奏鼓，啬夫驰，庶人 [走] ，羲和尸厥官罔闻知，昏迷于天象，以干先王之诛，《政典》曰：‘先时者杀无赦，不及时者杀无赦。		《尚书》__周
2	论皆若此，故国残身危， [走] 而之谷，如卫。		《吕氏春秋》__春秋战国
3	人与骥俱 [走] ，则人不胜骥矣；居於车上而任骥，则骥不胜人矣。		《吕氏春秋》__春秋战国
4	人主好治人官之事，则是与骥俱 [走] 也，必多所不及矣。		《吕氏春秋》__春秋战国
5	道远难通，望大难 [走] ，困往多悔。		《国语》__春秋战国
6	困且多悔，不可以 [走] 望。		《国语》__春秋战国
7	夫狄近晋而不通，愚陋而多怨， [走] 之易达。		《国语》__春秋战国
8	后出同 [走] ，不免于罪。		《国语》__春秋战国
9	且夫偕出偕入难，聚居异情恶，不若 [走] 梁。		《国语》__春秋战国
10	虢公梦在庙，有神人面白毛虎爪，执钺立于西阿，公惧而 [走] 。		《国语》__春秋战国
11	若从君而 [走] 患，则不如违君以避难。		《国语》__春秋战国
12	小子 [走] 而不趋，举爵则坐祭立饮。		《礼记》__春秋战国
13	慎子曰：“今一兔 [走] ，百人逐之，非一兔足为百人分也，由未定。		《吕氏春秋》__春秋战国
14	失德灭名，流 [走] 死亡。		《国语》__春秋战国
15	无会而归，越闻章矣，民惧而 [走] ，远无正就。		《国语》__春秋战国
16	今无其他，而欲为尧、舜、许由，故惠王布冠而拘于鄄，齐威王几弗受；惠子易衣变冠，乘舆而 [走] ，几不出乎魏境。		《吕氏春秋》__春秋战国
17	白刃在前，斧锧在 后，而却 [走] 不能死也。		《韩非子》__春秋战国
18	荆王君臣亡 [走] ，东服于陈。		《韩非子》__春秋战国
19	虚处则惊，若居湿地，著而不去，以极 [走] ，则发矣。		《韩非子》__春秋战国
20	荆罪之，阳城君 [走] 。		《吕氏春秋》__春秋战国
