语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：辞
2022/7/10 22:55:14

序号	语句	书名	朝代
1	乃惟尔辟以尔多方大淫，图天之命屑有 [辞] 。		《尚书》__周
2	宁喜弑君，其以累上之 [辞] 言之何也？		《榖梁传》__春秋战国
3	铭，名其器以自警之 [辞] 也。		《大学中庸》__春秋战国
4	子曰以下，孔子说诗之 [辞] 。		《大学中庸》__春秋战国
5	于，叹美 [辞] 。		《大学中庸》__春秋战国
6	于戏，叹 [辞] 。		《大学中庸》__春秋战国
7	无情者不得尽其 [辞] 。		《大学中庸》__春秋战国
8	引夫子之言，而言圣人能使无实之人不敢尽其虚诞之 [辞] 。		《大学中庸》__春秋战国
9	蠢兹有苗，昏迷不恭，侮慢自贤，反道败德，君子在野，小人在位，民弃不保，天降之咎，肆予以尔众士，奉 [辞] 伐罪。		《尚书》__周
10	其言城之者，专 [辞] 也。		《榖梁传》__春秋战国
11	毋者，禁止之 [辞] 。		《大学中庸》__春秋战国
12	宫之奇谏曰：“晋国之使者，其 [辞] 卑而币重，必不便于虞。”		《榖梁传》__春秋战国
13	江人、黄人者，远国之 [辞] 也。		《榖梁传》__春秋战国
14	公子重耳出见使者，曰：“子惠顾亡人重耳，父生不得供备  扫之臣，死又不敢莅丧以重其罪，且辱大夫，敢 [辞] 。		《国语》__春秋战国
15	宾曰：子有旨酒嘉肴，某既赐矣，又重以乐，敢 [辞] 。		《礼记》__春秋战国
16	主人曰：枉矢哨壶， 不足 [辞] 也，敢固以请。		《礼记》__春秋战国
17	!《系 [辞] 》备矣。		《周易》__周
18	主人曰：枉矢哨壶， 不足 [辞] 也，敢固以请。		《礼记》__春秋战国
19	只，语助 [辞] 。		《大学中庸》__春秋战国
20	!《系 [辞] 》备矣。		《周易》__周
21	鲁令弟子 [辞] 曰：毋无，毋敖，毋亻背 立，毋逾言，亻背立逾言，有常爵。		《礼记》__春秋战国
22	薛令弟子 [辞] 曰：毋无，毋敖，毋亻背立， 毋逾言。		《礼记》__春秋战国
23	归，鲍国谓之曰：“子何 [辞] 苦成叔之邑，欲信让耶，抑知其不可乎？”		《国语》__春秋战国
24	或以此益之而不能 [辞] ，其吉可知。		《周易》__周
25	祈， 求也，求中以 [辞] 爵也。		《礼记》__春秋战国
26	求中以 [辞] 爵者， [辞] 养也。		《礼记》__春秋战国
27	闻始见君子者， [辞] 曰：“某固愿闻名于将命者。”		《礼记》__春秋战国
28	或者，众无定主之 [辞] 。		《周易》__周
29	始入而 [辞] ，曰“ [辞] 矣”。		《礼记》__春秋战国
30	齐孝公来伐鲁，臧文仲欲以 [辞] 告，病焉，问于展禽。		《国语》__春秋战国
