语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：达
2022/7/10 22:55:27

序号	语句	书名	朝代
1	浮于济、漯， [达] 于河。		《尚书》__周
2	浮于汶， [达] 于济。		《尚书》__周
3	浮于淮、泗， [达] 于河。		《尚书》__周
4	沿于江、海， [达] 于淮、泗。		《尚书》__周
5	浮于洛， [达] 于河。		《尚书》__周
6	荀息曰：“宫之奇之为人也， [达] 心而懦，又少长于君， [达] 心则其言略，懦则不能强谏，少长于君则君轻之。		《榖梁传》__春秋战国
7	必 [达] 于礼乐之原，以致五至， 而行三无，以横于天下，四方有败，必先知之。		《礼记》__春秋战国
8	 [达] 于上下，敬哉有土！”		《尚书》__周
9	夫狄近晋而不通，愚陋而多怨，走之易 [达] 。		《国语》__春秋战国
10	月正元日，舜格于文祖，询于四岳，辟四门，明四目， [达] 四聪。“		《尚书》__周
11	三子之能 [达] 名成功于天下也。		《墨子》__春秋战国
12	复与书铭，自天子 [达] 于士，其辞一也。		《礼记》__春秋战国
13	昔君文王、武王宣重光，奠丽陈教，则肄肄不违，用克 [达] 殷集大命。		《尚书》__周
14	吾请 [达] 王甬句东，吾与君为二君乎。”		《国语》__春秋战国
15	其 [达] 士，洁其居，美其服，饱其食，而摩厉之于义。		《国语》__春秋战国
16	不可损益穷 [达] 赏罚幸否。		《墨子》__春秋战国
17	察而以 [达] 理明义，则察为福矣；察而以饰非惑愚，则察为祸矣。		《吕氏春秋》__春秋战国
18	寡人其 [达] 王于甬句东，夫妇三百，唯王所安，以没王年。”		《国语》__春秋战国
19	夫三年之丧，天下之 [达] 丧也。		《礼记》__春秋战国
20	程功积事，推贤而进 [达] 之，不望其报。		《礼记》__春秋战国
21	大夫无秩膳，大夫七十而有阁，天子之阁，左 [达] 五，右 [达] 五，公侯伯于房中 五，大夫于阁三，士于坫一。		《礼记》__春秋战国
22	凡 五十养于乡，六十养于国，七十养于学， [达] 于诸侯。		《礼记》__春秋战国
23	山节藻，复庙重檐，刮楹 [达] 乡。		《礼记》__春秋战国
24	相怜之道，非唯情 也；勤能使逸，饥能使饱，寒能使温，穷能使 [达] 也。		《列子》__春秋战国
25	段干生闻之，曰：“端 木叔 [达] 人也，德过其祖矣。		《列子》__春秋战国
26	孟孙阳曰：“子不 [达] 夫子之心，吾请言之。		《列子》__春秋战国
27	卑，而二又居中，不至已甚，故其占为能过于巽，而丁宁烦悉其辞，以自道 [达] ，则可以吉而无咎，亦竭诚意以祭祀		《周易》__周
28	吾先君周公封於鲁，无山林溪谷之险，诸侯四面以 [达] 。		《吕氏春秋》__春秋战国
29	列子曰：“嚷吾 以汝为 [达] ，今汝之鄙至此乎。		《列子》__春秋战国
30	 [达] 乎分，仁爱之心识也，故能以必死见其义。		《吕氏春秋》__春秋战国
31	三曰： [达] 士者， [达] 乎死生之分， [达] 乎死生之分。		《吕氏春秋》__春秋战国
32	皆有所 [达] 也。		《吕氏春秋》__春秋战国
33	有所 [达] 则物弗能惑。		《吕氏春秋》__春秋战国
34	则禹 [达] 子死生之分、利害之经也。		《吕氏春秋》__春秋战国
35	天固有衰嗛废伏，有盛盈坌息；人亦有困穷屈匮，有充实 [达] 遂。		《吕氏春秋》__春秋战国
36	时其饥饱， [达] 其怒心。		《列子》__春秋战国
37	吾与若 玩其文也久矣，而未 [达] 其实，而固且道与。		《列子》__春秋战国
38	人之有技，冒疾以恶之；人之彦圣而违之，俾不 [达] 是不能容，以不能保我子孙黎民，亦曰殆哉！		《尚书》__周
39	 [达] 郁		《吕氏春秋》__春秋战国
40	主德不通，民欲不 [达] ，此国之郁也。		《吕氏春秋》__春秋战国
41	故先会鬼神魑魅，次 [达] 八方人民， 末聚禽兽虫蛾。		《列子》__春秋战国
42	明白四 [达] ，能无知乎。		《老子》__春秋战国
43	力 曰：“寿夭、穷 [达] 、贵贱、贫富，我力之所能也。”		《列子》__春秋战国
44	若是汝力之所能，柰何寿彼而夭此，穷圣 而 [达] 逆，贱贤而贵愚，贫善而富恶邪？”		《列子》__春秋战国
45	自寿自夭，自穷自 [达] ，自贵自贱，自富自贫，朕岂能识之哉？		《列子》__春秋战国
