语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：迁
2022/7/10 22:59:27

序号	语句	书名	朝代
1	十有二月，卫 [迁] 于帝丘。		《春秋》__周
2	夫神壹不远徙 [迁] ，若由是观之，其丹朱之神乎？”		《国语》__春秋战国
3	止者，必至于是而不 [迁] 之意。		《大学中庸》__春秋战国
4	言明明德、新民，皆当至于至善之地而不 [迁] 。		《大学中庸》__春秋战国
5	自契至于成汤八 [迁] ，汤始居亳，従先王居。		《尚书》__周
6	夏，六月，邢 [迁] 于夷仪。		《榖梁传》__春秋战国
7	 [迁] 者，犹得其国家以往者也。		《榖梁传》__春秋战国
8	卫未 [迁] 也。		《榖梁传》__春秋战国
9	其不言卫之 [迁] 焉何也？		《榖梁传》__春秋战国
10	君若惠顾社稷，不忘先君之好，辱收其逋 [迁] 裔胄而建立之，以主其祭祀，且镇抚其国家及其民人，虽四邻诸侯之闻之也，其谁不儆惧于君之威，而欣喜于君之德？		《国语》__春秋战国
11	何 [迁] 乎有苗？		《尚书》__周
12	《象》曰：风雷，益，君子以见善则 [迁] ，有过则改。		《周易》__周
13	 [迁] 善改过，益之大者，而其		《周易》__周
14	懋 [迁] 有无，化居。		《尚书》__周
15	六四，中行告公从，利用为依 [迁] 国。		《周易》__周
16	《传》曰：“周之东 [迁] ，晋、郑焉依。”		《周易》__周
17	盖古者 [迁] 国以益下，必有所依，然后能立。		《周易》__周
18	此爻又为 [迁] 		《周易》__周
19	惟周公左右先王，绥定厥家，毖殷顽民， [迁] 于洛邑，密迩王室，式化厥训。		《尚书》__周
20	少而习焉，其心安焉，不见异物而 [迁] 焉。		《国语》__春秋战国
21	少而习焉，其心安焉，不见矣物而 [迁] 焉。		《国语》__春秋战国
22	少而习焉，其心安焉，不见异物而 [迁] 焉。		《国语》__春秋战国
23	少而习焉，其心安焉，不见异物而 [迁] 焉。		《国语》__春秋战国
24	有五世而 [迁] 之宗，其继高祖者也。		《礼记》__春秋战国
25	是故，祖 [迁] 于上，		《礼记》__春秋战国
26	成周既成， [迁] 殷顽民，周公以王命诰，作《多士》。		《尚书》__周
27	尔小子乃兴，従尔 [迁] 。”		《尚书》__周
28	君夫人卒于路寝，大夫世妇卒于适寝，内子未命，则死于下室， [迁] 尸 于寝，士之妻皆死于寝。		《礼记》__春秋战国
29	含一床，袭一床， [迁] 尸于堂又一床，皆有枕席，君、大夫、士一也。		《礼记》__春秋战国
30	始死， [迁] 尸于床，无用敛衾，去死衣，小臣楔齿用角四，缀足用燕几， 君、大夫、士一也。		《礼记》__春秋战国
31	天节固然，唯谋不 [迁] 。”		《国语》__春秋战国
32	凡敛者袒， [迁] 尸者袭。		《礼记》__春秋战国
33	小臣铺席，商祝铺绞纟今衾衣， 士盥于盘，上士举 [迁] 尸于敛上。		《礼记》__春秋战国
34	 [迁] 尸、卒敛，宰告，主人降，北面于堂下，君抚之，主人 拜稽颡，君降、升主人冯之，命主妇冯之。		《礼记》__春秋战国
35	铺绞纟今、踊，铺衾、踊，铺衣、踊， [迁] 尸、踊，敛衣、踊，敛衾、踊， 敛绞纟今、踊。		《礼记》__春秋战国
36	虽然，彼近其国，有 [迁] ；我绝虑，无 [迁] 。		《国语》__春秋战国
37	明日， [迁] 军接☆，斩有罪者以徇，曰：“莫如此志行不果。”		《国语》__春秋战国
38	惟民生厚，因物有 [迁] 。		《尚书》__周
39	成王既践奄，将 [迁] 其君于蒲姑，周公告召公，作《将蒲姑》。		《尚书》__周
40	盘庚五 [迁] ，将治亳殷，民咨胥怨。		《尚书》__周
41	盘庚 [迁] 于殷，民不适有居，率吁众慼出，矢言曰：“我王来，即爰宅于兹，重我民，无尽刘。		《尚书》__周
42	盘庚既 [迁] ，奠厥攸居，乃正厥位，绥爰有众。		《尚书》__周
43	今我民用荡析离居，罔有定极，尔谓朕曷震动万民以 [迁] ？		《尚书》__周
44	盘庚作，惟涉河以民 [迁] 。		《尚书》__周
45	殷降大虐，先王不怀厥攸作，视民利用 [迁] 。		《尚书》__周
46	今予将试以汝 [迁] ，安定厥邦。		《尚书》__周
47	今予将试以汝 [迁] ，永建乃家。”		《尚书》__周
48	十有二月，卫 [迁] 于帝丘。		《榖梁传》__春秋战国
49	汤既胜夏，欲 [迁] 其社，不可。		《尚书》__周
50	仲丁 [迁] 于嚣，作《仲丁》。		《尚书》__周
51	然则下官之冀 [迁] 者皆曰：“多货，则上官可得而欲也。”		《商君书》__春秋战国
52	曰：“我不以货事上而求 [迁] 者，则如以狸饵鼠尔，必不冀矣；若以情事上而求 [迁] 者，则如引诸绝绳而求乘枉木也，愈不冀矣。		《商君书》__春秋战国
53	二者不可以得 [迁] ，则我焉得无下动众取货以事上而以求 [迁] 乎？”		《商君书》__春秋战国
54	戎王许诺，见其女乐而说之，设酒张饮，日以听乐，终几不 [迁] ，牛马半死。		《韩非子》__春秋战国
55	二年春，王正月，齐人 [迁] 阳。		《榖梁传》__春秋战国
56	桓公从而问之曰：“仲父家居有病，即不幸而不起此病，政安 [迁] 之？”		《韩非子》__春秋战国
57	许 [迁] 于容城。		《榖梁传》__春秋战国
58	 [迁] ，屡舞仙仙。		《诗经》__周
59	许 [迁] 于叶。		《榖梁传》__春秋战国
60	 [迁] 者，犹得其国家以往者也。		《榖梁传》__春秋战国
61	十有一月，蔡 [迁] 于州来。		《榖梁传》__春秋战国
62	员峤二山流于 北极，沈于大海，仙圣之播 [迁] 者巨亿计。		《列子》__春秋战国
63	以尔车来，以我贿 [迁] 。		《诗经》__周
64	惩忿窒欲以修身， [迁] 善改过以长善，困以自验其力，井以不变其所，然后能巽顺于理，		《周易》__周
65	《井》，居其所而 [迁] 。		《周易》__周
66	《易》之为书也，不可远，为道也，屡 [迁] 。		《周易》__周
67	变动以利言，吉凶以情 [迁] 。		《周易》__周
68	齐必变食，居必 [迁] 坐。		《论语》__春秋战国
69	谓尔 [迁] 于王都。		《诗经》__周
70	国无人者非朝 [迁] 之衰也，		《管子》__春秋战国
71	《谦》，尊而光，《复》，小而辨于物，《恒》，杂而不厌，《损》，先难而后易，《益》，长裕而不设，《困》，穷而通，《井》，居其所而 [迁] ，《巽》，称而隐。		《周易》__周
72	《易》之为书也不可远，为道也屡 [迁] ，变动不居，周流六虚，上下无常，刚柔相易，不可为典要，唯变所适。		《周易》__周
73	变动以利言，吉凶以情 [迁] 。		《周易》__周
74	既其女 [迁] 。		《诗经》__周
75	出自幽谷， [迁] 于乔木。		《诗经》__周
76	有百世不 [迁] 之宗，有五世则 [迁] 之宗。		《礼记》__春秋战国
77	百世不 [迁] 者，别子之后 也。		《礼记》__春秋战国
78	宗具继别子之后出者，百世不 [迁] 者也。		《礼记》__春秋战国
79	宗其继高祖之后者，五世则 [迁] 者也。		《礼记》__春秋战国
80	其妖孽有生如带，有鬼投其陴，有菟生雉，雉亦生鴳，有螟集其国，其音匈匈，国有游蛇西东，马牛乃言，犬彘乃连，有狼入於国，有人自天降，市有舞鸱，国有行飞，马有生角，雄鸡五足，有豕生而弥，鸡卵多毈，有社 [迁] 处，有豕生狗。		《吕氏春秋》__春秋战国
81	姓利相更，成而不 [迁] ，乃能摄固，保其土房。		《国语》__春秋战国
82	小臣铺席，商祝铺绞纟今衾，士盥于盘北，举 [迁] 尸于敛上。		《礼记》__春秋战国
83	王命傅御， [迁] 其私人。		《诗经》__周
84	杀之而不怨，利之而不庸，民日 [迁] 善而不知为之者。		《孟子》__春秋战国
85	且夫富，如布帛之有幅焉，为之制度，使无 [迁] 也，夫生厚而用利，于是乎正德以幅之，使无黜慢，谓之幅利，利过则为败，吾不敢贪多，所谓幅也。”		《晏子春秋》__春秋战国
86	进取于君，退得罪于士，身死而财 [迁] 于它人，是为宰藏也，智者不为也。		《晏子春秋》__春秋战国
87	君子以见善则 [迁] ，有过则改。		《周易》__周
88	六四，中行告公，従，利用为依 [迁] 国。		《周易》__周
89	夫德广远而有时节，是以远服而迩不 [迁] 。”		《国语》__春秋战国
90	孟子曰：“舜生于诸冯， [迁] 于负夏，卒于鸣条，东夷之人也。		《孟子》__春秋战国
91	今君实 [迁] ，臣何赖于鼓？”		《国语》__春秋战国
92	帝 [迁] 明德，串夷载路。		《诗经》__周
93	营之以物而不误，犯之以卒而不惧，置义而不可 [迁] ，临之货色而不过，曰果敢者也。		《逸周书》__春秋战国
94	若杀其兄父，系累其子弟，毁其宗庙， [迁] 其重器，如之何其可也？		《孟子》__春秋战国
95	骊姬曰：“重，无乃难 [迁] 乎？”		《国语》__春秋战国
96	优施曰：“知辱可辱，可辱 [迁] 重，若不知辱，亦必不知固秉常矣。		《国语》__春秋战国
97	若外殚善而内辱之，无不 [迁] 矣。		《国语》__春秋战国
98	虽欲无 [迁] ，其得之乎？”		《国语》__春秋战国
99	欲 [迁] 志而改操兮，心纷结其未离。		《楚辞》__春秋战国
100	行之三月，而荧惑 [迁] 。		《晏子春秋》__春秋战国
101	违郢都之旧闾兮，回湘、沅而远 [迁] 。		《楚辞》__春秋战国
102	道修远其难 [迁] 兮，伤余心之不能已。		《楚辞》__春秋战国
103	回邪辟而不能入兮，诚原藏而不可 [迁] 。		《楚辞》__春秋战国
104	’受命不 [迁] 为敬，敬顺所安为孝。		《国语》__春秋战国
105	吾闻出于幽谷 [迁] 于乔木者，未闻下乔木而入于幽谷者。		《孟子》__春秋战国
106	郑武、庄有大勋力于平、桓；我周之东 [迁] ，晋、郑是依，子颓之乱，又郑之繇定。		《国语》__春秋战国
107	去郢东 [迁] 余谁慕兮，		《楚辞》__春秋战国
108	肠愤悁而含怒兮，志 [迁] 蹇而左倾。		《楚辞》__春秋战国
