语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：通
2022/7/10 23:01:26

序号	语句	书名	朝代
1	此 [通] 下三章至“止于信”，旧本误在“没世不忘”之下。		《大学中庸》__春秋战国
2	天地睽而其事同也，男女睽而其志 [通] 也，万物睽而其事类也。		《周易》__周
3	此章旧本 [通] 下章，误在经文之下。		《大学中庸》__春秋战国
4	诸侯不得专封诸侯，虽 [通] 其仁以义而不与也。		《榖梁传》__春秋战国
5	故此章之指，必承上章而 [通] 考之，然后有以见其用力之始终，其序不可乱而功不可阙如此云。		《大学中庸》__春秋战国
6	 [通] 结上文。		《大学中庸》__春秋战国
7	道远难 [通] ，望大难走，困往多悔。		《国语》__春秋战国
8	夫狄近晋而不 [通] ，愚陋而多怨，走之易达。		《国语》__春秋战国
9	夫说以智 [通] ，而实以过悗；誉以高贤，而充以卑下；赞以洁白，而随以污德；任以公法，而处以贪枉；用以勇敢，而堙以罢怯。		《吕氏春秋》__春秋战国
10	以 [通] 四方之利凡为舟车之道。		《墨子》__春秋战国
11	不 [通] 可以窜恶，多怨可与共忧。		《国语》__春秋战国
12	足以朽骸堀穴深不 [通] 于泉。		《墨子》__春秋战国
13	 [通] 于四方而天下诸候。		《墨子》__春秋战国
14	尚、上 [通] 。		《周易》__周
15	人之有技，媢疾以恶之，人之彦圣，而违之俾不 [通] ，寔不能容，以不能保我子孙黎民，亦曰殆哉。”		《大学中庸》__春秋战国
16	今日必 [通] ，无逆命矣”明日，有司复命，公诘之。		《国语》__春秋战国
17	凡冠带之国，舟车之所 [通] ，不用象、译、狄鞮，方三千里。		《吕氏春秋》__春秋战国
18	周鼎著象，为其理之 [通] 也。		《吕氏春秋》__春秋战国
19	理 [通] ，君道也。		《吕氏春秋》__春秋战国
20	人之有技，媢疾以恶之，人之彦圣，而违之俾不 [通] ，寔不能容，以不能保我子孙黎民，亦曰		《大学中庸》__春秋战国
21	 [通] 意后对说在不知其谁谓也。		《墨子》__春秋战国
22	天子之宰， [通] 于四海。		《榖梁传》__春秋战国
23	阙为深沟， [通] 于商、鲁之间，北属之沂，西属之济，以会晋公午于黄池。		《国语》__春秋战国
24	亦 [通] 。		《周易》__周
25	则所革不信不 [通] ，而反有悔矣。		《周易》__周
26	王乃之坛列，鼓而行之，至于军，斩有罪者以徇，曰：“莫如此以环   [通] 相问也。”		《国语》__春秋战国
27	笃行而不倦；幽居而不淫，上 [通] 而不困。		《礼记》__春秋战国
28	精有精乃 [通] 於天。		《吕氏春秋》__春秋战国
29	乃 [通] 於天，水木石之性，皆可动也，又况於有血气者乎？		《吕氏春秋》__春秋战国
30	外内不共井，不共氵浴，不 [通] 寝席，不 [通] 乞假。		《礼记》__春秋战国
31	男女不 [通]  衣裳，内言不出，外言不入。		《礼记》__春秋战国
32	其曰复， [通] 王命也。		《榖梁传》__春秋战国
33	二曰：君子之自行也，动必缘义，行必诚义，俗虽谓之穷， [通] 也。		《吕氏春秋》__春秋战国
34	行不诚义，动不缘义，俗虽谓之 [通] ，穷也。		《吕氏春秋》__春秋战国
35	然则君子之穷 [通] ，有异乎俗者也。		《吕氏春秋》__春秋战国
36	天子之宰， [通] 于四海。		《榖梁传》__春秋战国
