语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：逸
2023/1/20 16:07:23

序号	语句	书名	朝代
1	有夏诞厥 [逸] ，不肯慼言于民，乃大淫昏，不克终日劝于帝之迪，乃尔攸闻。		《尚书》__周
2	乃惟尔商后王 [逸] 厥 [逸] ，图厥政不蠲烝，天惟降时丧。		《尚书》__周
3	尔乃惟 [逸] 惟颇，大远王命，则惟尔多方探天之威，我则致天之罚，离逖尔土。”		《尚书》__周
4	天吏 [逸] 德，烈于猛火。		《尚书》__周
5	罔游于 [逸] ，罔淫于乐。		《尚书》__周
6	无教 [逸] 欲，有邦兢兢业业，一日二日万几。		《尚书》__周
7	故曰以滕、费则劳，以邹、鲁则 [逸] ，以宋、郑则犹倍日而驰也，以齐、楚则举而加纲旃而已矣。		《吕氏春秋》__春秋战国
8	我闻曰：上帝引 [逸] ，有夏不适 [逸] ；则惟帝降格，向于时夏。		《尚书》__周
9	夫民劳则思，思则善心生； [逸] 则淫，淫则忘善，忘善则恶心生。		《国语》__春秋战国
10	沃土之民不材， [逸] 也。		《国语》__春秋战国
11	尔乃自介用 [逸] ，兹乃允惟王正事之臣。		《尚书》__周
12	自成汤咸至于帝乙，成王畏相惟御事，厥棐有恭，不敢自暇自 [逸] ，矧曰其敢崇饮？		《尚书》__周
13	惟荒腆于酒，不惟自息乃 [逸] ，厥心疾很，不克畏死。		《尚书》__周
14	故天降丧于殷，罔爱于殷，惟 [逸] 。		《尚书》__周
15	明日徙舍，至于儿，斩有罪者以徇，曰：“莫如此淫 [逸] 不可禁也。”		《国语》__春秋战国
16	王用丕钦；罔有 [逸] 言，民用丕变。		《尚书》__周
17	予若观火，予亦拙谋作，乃 [逸] 。		《尚书》__周
18	相时憸民，犹胥顾于箴言，其发有 [逸] 口，矧予制乃短长之命！		《尚书》__周
19	’古我先王暨乃祖乃父胥及 [逸] 勤，予敢动用非罚？		《尚书》__周
20	曰：“可在乐生，可在 [逸] 身。		《列子》__春秋战国
21	故善乐生 者不窭，善 [逸] 身者不殖。”		《列子》__春秋战国
22	相怜之道，非唯情 也；勤能使 [逸] ，饥能使饱，寒能使温，穷能使达也。		《列子》__春秋战国
23	夫耳之所欲闻者音声，而不得听，谓 之阏聪；目之所欲见者美色，而不得视，谓之阏明；鼻之所欲向者椒兰，而不得 嗅，谓之阏颤；口之所欲道者是非，而不得言，谓之阏智；体之所欲安者美厚， 而不得从，谓之阏适；意之所为者放 [逸] ，而不得行，谓之阏性。		《列子》__春秋战国
24	夫善治外者，物未必治，而身交苦；善治内者，物未必乱，而性交  [逸] 。		《列子》__春秋战国
25	桀藉累世之资，居南面之尊， 智足以距群下，威足以震海内；恣耳目之所误，穷意虑之所为，熙熙然从至于死： 此天民之 [逸] 荡者也。		《列子》__春秋战国
26	其在受德，[B139]为羞刑暴德之人，同于厥邦；乃惟庶习 [逸] 德之人，同于厥政。		《尚书》__周
27	农 [逸] ，则良田不荒；商劳，则去来赍送之礼，无通于百县。		《商君书》__春秋战国
28	王命作册 [逸] 祝册，惟告周公其后。		《尚书》__周
29	王命周公后，作册 [逸] 诰，在十有二月。		《尚书》__周
30	周书·无 [逸] 		《尚书》__周
31	周公作《无 [逸] 》。		《尚书》__周
32	君子所，其无 [逸] 。		《尚书》__周
33	先知稼穑之艰难，乃 [逸] ，则知小人之依。		《尚书》__周
34	相小人，厥父母勤劳稼穑，厥子乃不知稼穑之艰难，乃 [逸] 乃谚。		《尚书》__周
35	自时厥后立王，生则 [逸] ，生则 [逸] ，不知稼穑之艰难，不闻小人之劳，惟耽乐之従。		《尚书》__周
36	继自今嗣王，则其无淫于观、于 [逸] 、于游、于田，以万民惟正之供。		《尚书》__周
37	神圣知其如此，故其所教训者无所遗  [逸] 焉。		《列子》__春秋战国
38	作德，心 [逸] 日休；作伪，心劳日拙。		《尚书》__周
39	往尽乃心，无康好 [逸] ，乃其乂民。		《尚书》__周
40	魏文侯师卜子夏，友田子方，礼段干木，国治身 [逸] 。		《吕氏春秋》__春秋战国
41	巫马期问其故於宓子，宓子曰：“我之谓任人，子之谓任力；任力者故劳，任人者故 [逸] 。”		《吕氏春秋》__春秋战国
42	 [逸] 四肢，全耳目，平心气，而百官以治，义矣，任其数而已矣。		《吕氏春秋》__春秋战国
43	设，举酬 [逸]  [逸] 。		《诗经》__周
44	夜梦为仆， 苦 [逸] 之复，数之常也。		《列子》__春秋战国
45	兴灭国，继绝世，举 [逸] 民，天下之民归心焉。		《论语》__春秋战国
46	昔先圣王之为苑囿园池也，足以观望劳形而已矣；其为宫室台榭也，足以辟燥湿而已矣；其为舆马衣裘也，足以 [逸] 身暖骸而已矣；其为饮食酏醴也，足以适味充虚而已矣；其为声色音乐也，足以安性自娱而已矣。		《吕氏春秋》__春秋战国
47	民莫不 [逸] ，我独不敢休。		《诗经》__周
48	天命不彻，我不敢效我友自 [逸] 。		《诗经》__周
49	故其治民劳者，其舞 行缀远；其治民 [逸] 者，其舞行缀短。		《礼记》__春秋战国
50	寒、温、劳、 [逸] 、饥、饱，此六者非适也。		《吕氏春秋》__春秋战国
51	人之情：欲寿而恶夭，欲安而恶危，欲荣而恶辱，欲 [逸] 而恶劳。		《吕氏春秋》__春秋战国
52	乃左并辔，右援☆而鼓之，马 [逸] 不能止，三军从之。		《国语》__春秋战国
53	 [逸] 民：伯夷、叔齐、虞仲、夷 [逸] 、硃张、柳下惠、少连。		《论语》__春秋战国
54	谓“虞仲、夷 [逸] ，隐居放言，身中清，废中权。		《论语》__春秋战国
55	故兴王赏谏臣， [逸] 王罚之。		《国语》__春秋战国
56	天下之民，且死者也而生，且辱者也而荣，且苦者也而 [逸] 。		《吕氏春秋》__春秋战国
57	善学者，师 [逸] 而功倍，又从而庸之。		《礼记》__春秋战国
58	“齐桓、晋文，皆非嗣也，还轸诸侯，不敢淫 [逸] ，心类德音，以德有国。		《国语》__春秋战国
59	桓、文皆然，君不度忧于二令君，而欲自 [逸] 也，无乃不可乎？		《国语》__春秋战国
60	今大夫老，而又不自安恬 [逸] ，而处以念恶，出则罪吾众，挠乱百度，以妖孽吴国。		《国语》__春秋战国
61	夫固知君王之盖威以好胜也，故婉约其辞，以从 [逸] 王志，使淫乐于诸夏之国，以自伤也。		《国语》__春秋战国
62	夫阖庐口不贪嘉味，耳不乐 [逸] 声，目不淫于色，升不怀于安，朝夕勤志，恤民之羸，闻一善若惊，得一士若赏，有过必悛，有不善必惧，是故得民以济其志。		《国语》__春秋战国
63	为弧服者方戮在路，夫妇哀其夜号也，而取之以 [逸] ，逃于褒。		《国语》__春秋战国
64	有优无匮，有 [逸] 无罢。		《国语》__春秋战国
65	景公曰：“吾闻相贤者国治，臣忠者主 [逸] 。		《晏子春秋》__春秋战国
66	晏子曰：“婴闻古之贤君饱而知人之饥，温而知人之寒， [逸] 而知人之劳。		《晏子春秋》__春秋战国
67	饱食、暖衣、 [逸] 居而无教，则近于禽兽。		《孟子》__春秋战国
68	麒麟奔於九皋兮，熊罴群而 [逸] 囿。		《楚辞》__春秋战国
69	孔子行道而息，马 [逸] ，食人之稼，野人取其马。		《吕氏春秋》__春秋战国
70	夫三军之所寻，将蛮、夷、戎、狄之骄 [逸] 不虔，于是乎致武。		《国语》__春秋战国
71	国之不臧，则惟余一人，是有 [逸] 罚。		《国语》__春秋战国
72	形穆穆以浸远兮，离人群而遁 [逸] 。		《楚辞》__春秋战国
73	既而不可及，缓追 [逸] 贼，亲亲之道也。		《公羊传》__春秋战国
74	执而戮之， [逸] ，奔郤。		《左传》__春秋战国
75	左并辔，右援枹而鼓，马 [逸] 不能止，师従之。		《左传》__春秋战国
76	乃 [逸] 楚囚。		《左传》__春秋战国
77	天戒若曰，去贵近 [逸] 游不正之臣，将害忠良。		《汉书》__汉
78	良司臣而 [逸] 之，托诸季武子，武子置诸卞。		《左传》__春秋战国
79	周衰官失，孔子陈后王之法，曰：“谨权量，审法度，修废官，举 [逸] 民，四方之政行矣。”		《汉书》__汉
80	晋人缓之， [逸] 。		《左传》__春秋战国
81	今予维笃滪尔，予史、太史违我，黡视尔靖疑，胥敬，请其斯一话，敢 [逸] 僭予，则上帝之明命，予尔拜，拜□百姓，越尔庶义、庶刑，予维及西土，我乃其来，即刑乃，敬之哉！		《逸周书》__春秋战国
82	尹 [逸] 策曰：“殷末孙受德，迷先成汤之明，侮灭神祗不祀，昏暴商邑百姓，其章显闻于昊天上帝。”		《逸周书》__春秋战国
83	）而不合，舌举而不下，乃 [逸] 而走。		《庄子》__春秋战国
84	不谷即位，于今五年，师徒不出，人其以不谷为自 [逸] ，而忘先君之业矣。		《左传》__春秋战国
85	蜩不鸣，贵臣放 [逸] 。		《逸周书》__春秋战国
86	欢接狎以离别兮，宵寤梦之芒芒，忽迁化而不反兮，魄放 [逸] 以飞扬。		《汉书》__汉
87	奔 [逸] 绝尘，而回瞠若乎后矣！”		《庄子》__春秋战国
88	亦驰也，夫子言道，回亦言道也；及奔 [逸] 绝尘而回瞠若乎后者，夫子		《庄子》__春秋战国
89	 [逸] 、愆，过也。		《尔雅》__汉
90	’行归者而 [逸] 楚囚，楚师宵溃。		《左传》__春秋战国
91	今B16F羌欲为敦煌、酒泉寇，宜饬兵马，练战士，以须其至，坐得致敌之术，以 [逸] 击劳，取胜之道也。		《汉书》__汉
