语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：逾
2022/7/10 23:03:40

序号	语句	书名	朝代
1	浮于江、沱、潜、汉， [逾] 于洛，至于南河。		《尚书》__周
2	厥贡璆、铁、银、镂、砮磬、熊、罴、狐、狸、织皮，西倾因桓是来，浮于潜， [逾] 于沔，入于渭，乱于河。		《尚书》__周
3	导岍及岐，至于荆山， [逾] 于河；壶口、雷首至于太岳；厎柱、析城至于王屋；太行、恒山至于碣石，入于海。		《尚书》__周
4	遂南征伐楚，济汝， [逾] 方城，望汶山，使贡丝于周而反。		《国语》__春秋战国
5	县车束马， [逾] 太行与辟耳之☆拘夏，西服流沙、西吴。		《国语》__春秋战国
6	能捕得谋反卖城 [逾] 城敌者一人。		《墨子》__春秋战国
7	鲁令弟子辞曰：毋无，毋敖，毋亻背 立，毋 [逾] 言，亻背立 [逾] 言，有常爵。		《礼记》__春秋战国
8	薛令弟子辞曰：毋无，毋敖，毋亻背立， 毋 [逾] 言。		《礼记》__春秋战国
9	未 [逾] 于世而民可移也。		《墨子》__春秋战国
10	未 [逾] 于世而民可移也。		《墨子》__春秋战国
11	故工、史书世，宗、祝书昭穆，犹恐其 [逾] 也。		《国语》__春秋战国
12	今将先明而后祖，自玄王以及主癸莫如汤，自稷以及王季莫如文、武，商、周之蒸也，未尝跻汤与文、武，为不 [逾] 也。		《国语》__春秋战国
13	尊长于己 [逾] 等，不敢问其年。		《礼记》__春秋战国
14	康子往焉，☆门与之言，皆不 [逾] 阈。		《国语》__春秋战国
15	无敢寇攘， [逾] 垣墙，窃马牛，诱臣妾，汝则有常刑！		《尚书》__周
16	于是哆然外齐侯也，不正其 [逾] 国而执也。		《榖梁传》__春秋战国
17	在后之侗，敬迓天威，嗣守文、武大训，无敢昏 [逾] 。		《尚书》__周
18	妇人既嫁不 [逾] 竟， [逾] 竟非正也。		《榖梁传》__春秋战国
19	今是大鸟兽，则失丧其群匹，越月 [逾] 时焉，则必反巡，过其故乡，翔回焉， 鸣号焉，商躅焉，踟蹰焉，然后乃能去之。		《礼记》__春秋战国
20	妇人既嫁不 [逾] 竟。		《榖梁传》__春秋战国
21	拔邯郸，筦山东河间，引军而去，西攻修武， [逾] 是 羊肠，降上党。		《韩非子》__春秋战国
22	其于勇力之士也，军旅之功无 [逾] 赏，邑斗之勇无赦罪，不使群臣行私财。		《韩非子》__春秋战国
23	妇人既嫁不 [逾] 竟，杞伯姬来求妇，非正也。		《榖梁传》__春秋战国
24	舍未 [逾] 年，其曰君何也？		《榖梁传》__春秋战国
25	既戊午，师 [逾] 孟津。		《尚书》__周
26	送女 [逾] 竟，非礼也。		《榖梁传》__春秋战国
27	我心之忧，日月 [逾] 迈，若弗云来。		《尚书》__周
28	贵贱不相 [逾] ，愚智提衡而立，治之至也。		《韩非子》__春秋战国
29	 [逾] 年不言即位，是有故公也；言即位，是无故公也。		《榖梁传》__春秋战国
30	 [逾] 年即位，厉也，于厉之中又有义焉。		《榖梁传》__春秋战国
31	「仲尼將為司寇，沈猶氏不敢朝飲其羊，公慎氏出其妻， 慎潰氏 [逾] 境而徙，魯之粥牛馬者不豫賈，修正以待之也。		《荀子》__春秋战国
32	夫人之义不 [逾] 君也，为贤者崇也。		《榖梁传》__春秋战国
33	其地，未 [逾] 竟也。		《榖梁传》__春秋战国
34	鸲鹆不 [逾] 济，貉 [逾] 汶则死矣。		《列子》__春秋战国
35	命驾八骏之乘，右服骅 骝而左绿耳，右骖赤骥而左白{减木}，主车则造父为御，离离右；次车之乘，右 服渠黄而左 [逾] 轮，左骖盗骊而右山子，柏夭主车，参百为御，奔戎为右。		《列子》__春秋战国
36	将仲子兮，无 [逾] 我里，无折我树杞。		《诗经》__周
37	将仲子兮，无 [逾] 我墙，无折我树桑。		《诗经》__周
38	将仲子兮，无 [逾] 我园，无折我树檀。		《诗经》__周
39	君臣父子夫妇六者当位，则下不 [逾] 节而上不苟为矣，少不悍辟而长不简慢矣。		《吕氏春秋》__春秋战国
40	向 氏大喜，喻其为盗之言，而不喻其为盗之道，遂 [逾] 垣凿室，手目所及，亡不探也。		《列子》__春秋战国
41	故雖備家必 [逾] 日然後能殯，三日而成服。		《荀子》__春秋战国
42	子夏曰：“大德不 [逾] 闲，小德出入可也。”		《论语》__春秋战国
43	他人之贤者，丘陵也，犹可 [逾] 也；仲尼，日月也，无得而 [逾] 焉。		《论语》__春秋战国
44	大为之坊，民犹 [逾] 之。		《礼记》__春秋战国
45	终 [逾] 绝险，曾是不意。		《诗经》__周
46	刑罰不怒罪，爵賞不 [逾] 德，崐分然各以其誠通。		《荀子》__春秋战国
47	亂世則不然∶刑罰怒罪，爵賞 [逾] 德，以族論罪，以世舉賢。		《荀子》__春秋战国
48	寢不 [逾] 廟，宴衣不 [逾] 祭服，禮也。		《荀子》__春秋战国
49	子曰：“吾十有五而志于学，三十而立，四十而不惑，五十而知天命，六十而耳顺，七十而从心所欲，不 [逾] 矩。”		《论语》__春秋战国
50	數仞之墻而民不 [逾] 也，百仞之山而豎子馮而游焉，陵遲故也。		《荀子》__春秋战国
51	今之世陵遲已久矣，而能使民勿 [逾] 乎！		《荀子》__春秋战国
52	对曰：“信于君心，则美恶不 [逾] ，信于名，则上下不干。		《国语》__春秋战国
53	聞之曰∶『無越 [逾] 不見士。』		《荀子》__春秋战国
54	人人皆以我為越 [逾] 好士，然故士至，士至而後見物，物然後知其是非之所在。		《荀子》__春秋战国
55	谦，尊而光，卑而不可 [逾] ，君子之终也。		《周易》__周
56	人能充无欲害人之心，而仁不可胜用也；人能充无穿 [逾] 之心，而义不可胜用也；人能充无受尔汝之实，无所往而不为义也。		《孟子》__春秋战国
57	士未可以言而言，是以言餂之也；可以言而不言，是以不言餂之也，是皆穿 [逾] 之类也。”		《孟子》__春秋战国
58	君授玉卑，故跪以下之，且吾闻之，大者不 [逾] 闲，小者出入可也。”		《晏子春秋》__春秋战国
59	使内勿服， [逾] 月，而国莫之服。		《晏子春秋》__春秋战国
60	初，献公使寺人勃☆伐公于蒲城，文公 [逾] 垣，勃☆斩其☆。		《国语》__春秋战国
61	 [逾] 东家墙而搂其处子，则得妻；不搂，则不得妻，则将搂之乎？”		《孟子》__春秋战国
62	妇人非三年之丧，不 [逾] 封而吊。		《礼记》__春秋战国
63	不修方城之内， [逾] 诸夏而图东国，三岁于沮、汾以服吴、越。		《国语》__春秋战国
64	孟子闻之，曰：“礼，朝廷不历位而相与言，不 [逾] 阶而相揖也。		《孟子》__春秋战国
65	晏子对曰：“为君，厚藉敛而托之为民，进谗谀而托之用贤，远公正而托之不顺，君行此三者则危；为臣，比周以求进， [逾] 职业，防下隐利而求多，从君，不陈过而求亲，人臣行此三者则废。		《晏子春秋》__春秋战国
66	对曰：“为君节养其余以顾民，则君尊而民安；为臣忠信而无 [逾] 职业，则事治而身荣。”		《晏子春秋》__春秋战国
67	臣闻之，琴瑟尚宫，锺尚羽，石尚角，匏竹利制，大不 [逾] 宫，细不过羽。		《国语》__春秋战国
68	金石以动之，丝竹以行之，诗以道之，歌以咏之，匏以宣之，瓦以赞之，革木以节之，物得其常曰乐极，极之所集曰声，声应相保曰和，细大不 [逾] 曰平。		《国语》__春秋战国
69	曰：“国君进贤，如不得已，将使卑 [逾] 尊，疏 [逾] 戚，可不慎与？		《孟子》__春秋战国
70	夫宫室不崇，器无彤镂，俭也；身耸除洁，外内齐给，敬也；宴好享赐，不 [逾] 其上，让也；宾之礼事，放上而动，咨也。		《国语》__春秋战国
71	一曰富贵者观其有礼施，贫贱者观其有德守，嬖宠者观其不骄奢，隐约观其不慑惧，其少者观其恭敬好学而能悌，其壮者观其连接务行而胜私，其老者观其思慎，强其所不足而不 [逾] 。		《逸周书》__春秋战国
72	为六军则不可易，北取代，东迫齐，令张孟谈 [逾] 城潜行，与魏桓、韩康期而击智伯，断其头以为觞，遂定三家，岂非用赏罚当邪？		《吕氏春秋》__春秋战国
73	’去邠， [逾] 梁山，邑于岐山之下居焉。		《孟子》__春秋战国
74	礼义由贤者出；而孟子之后丧 [逾] 前丧。		《孟子》__春秋战国
75	若燕秦齐晋，山处陆居，岂能 [逾] 五湖九江越十七厄以有吴哉？		《吕氏春秋》__春秋战国
76	曰：“或告寡人曰，‘孟子之后丧 [逾] 前丧’，是以不往见也。”		《孟子》__春秋战国
77	曰：“何哉，君所谓 [逾] 者？		《孟子》__春秋战国
78	曰：“非所谓 [逾] 也，贫富不同也。”		《孟子》__春秋战国
79	齐大旱 [逾] 时，景公召群臣问曰：“天不雨久矣，民且有饥色。		《晏子春秋》__春秋战国
80	不待父母之命、媒妁之言，钻穴隙相窥， [逾] 墙相从，则父母国人皆践之。		《孟子》__春秋战国
81	段干木 [逾] 垣而避之，泄柳闭门而不纳，是皆已甚；迫，斯可以见矣。		《孟子》__春秋战国
82	 [逾] 陇堆兮渡漠，过桂车兮合黎。		《楚辞》__春秋战国
83	有一妇人 [逾] 垣入，至公所。		《吕氏春秋》__春秋战国
84	大智之用，固难 [逾] 也。		《吕氏春秋》__春秋战国
85	众踥蹀而日进兮，美超远而 [逾] 迈。		《楚辞》__春秋战国
