语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：道
2022/7/12 22:07:48

序号	语句	书名	朝代
1	于时南北诗集，卢思 [道] 有《从军行》，江总持有《杂曲文》，皆纯七言，似唐人歌行之体矣。		《钝吟杂录》__清
2	姑娘忙拦他 [道] ∶“算了，够酸的了！”		《儿女英雄》__清
3	那姑娘 [道] ∶“这也有个原故。		《儿女英雄》__清
4	十三妹 [道] ∶“你先慢讲这些闲话。		《儿女英雄》__清
5	十三妹 [道] ∶“你听我说。		《儿女英雄》__清
6	姑娘 [道] ∶“你是个纨＝膏梁，这也无怪你不知。		《儿女英雄》__清
7	只见那十三妹指着他向张老夫妻并张金凤 [道] ∶“你三位可别打量这位安公子合我是亲是故，我合他也是水米无交，今日才见。		《儿女英雄》__清
8	十三妹一把按住，问他 [道] ∶“你这又作甚么？		《儿女英雄》__清
9	安公子 [道] ∶“我要寻着那两个骡夫，把这大胆的狗男女碎尸万段，消我胸中之恨！”		《儿女英雄》__清
10	十三妹 [道] ∶“这桩事不劳费心，方才那位大师傅不曾取你的心肝的时候，二师傅已就把他两个的心肝取了去了。		《儿女英雄》__清
11	说着，回头又向安公子 [道] ∶“俗语说的∶‘救火须救灭，救人须救彻。		《儿女英雄》__清
12	安公子听了，吃惊 [道] ∶“姑娘，你此话怎讲？”		《儿女英雄》__清
13	十三妹 [道] ∶“你也晓得后悔？		《儿女英雄》__清
14	不想走到岔 [道] 口的山前，遇见两个人在那里说话，我骑着驴儿从旁经过，只听得一个 [道] ∶‘咱们有本事硬把他被套里的那二三千银子搬运过来，还不领他的情呢！		《儿女英雄》__清
15	安公子便问 [道] ∶“究竟是两个甚么人呢？”		《儿女英雄》__清
16	十三妹笑 [道] ∶“好叫你得知，就是你感激不尽的那两个骡夫。”		《儿女英雄》__清
17	此时把个姑娘怄得冒火，合他嚷 [道] ∶“是怎么下不来？		《儿女英雄》__清
18	这才向安公子 [道] ∶“我们方才作的这桩事，说的这段话，你都听明白了不曾？”		《儿女英雄》__清
19	安公子 [道] ∶“听明白了。”		《儿女英雄》__清
20	因指着张老夫妻二位向他 [道] ∶“你看，这二位老人家可是一介平民，你可是个贵家公子，他们就不应同你一处坐，何况叫你同他叙礼。		《儿女英雄》__清
21	若此刻先对张金凤讲一番，回来又向安公子说一遍，又恐听书的 [道] 是重絮。		《儿女英雄》__清
22	张金凤听得明白，心里诧异 [道] ∶“这里怎生的有个甚么‘安公子’？		《儿女英雄》__清
23	姑娘见他不答应，又连叫 [道] ∶“安公子， 睡着了？		《儿女英雄》__清
24	姑娘 [道] ∶“怎么又会下不来炕了呢？”		《儿女英雄》__清
25	听他 [道] ∶“一身的钮襻子被那和尚撕了个稀烂，敞胸开怀，赤身露体，走到人前，成何体面！”		《儿女英雄》__清
26	姑娘 [道] ∶“这又奇了，你方才不是这个样儿见的我么？		《儿女英雄》__清
27	只听他 [道] ∶“有理，有理！”		《儿女英雄》__清
28	那姑娘 [道] ∶“幸而你明白是我救你，不然，大约你有三条命也没了！		《儿女英雄》__清
29	他听了这话，想了一想 [道] ∶“姑娘，你这称呼，是九十的‘十’字，还是金石的‘石’字？”		《儿女英雄》__清
30	十三妹 [道] ∶“这随你，算那个字都使得。”		《儿女英雄》__清
31	张金凤听了，忙站起来福了一福， [道] ∶“原来是位千金小姐！		《儿女英雄》__清
32	那姑娘笑 [道] ∶“你这话更可不必。		《儿女英雄》__清
33	那姑娘又指张金凤向他 [道] ∶“这里还有个人儿呢。		《儿女英雄》__清
34	他一眼看见了那把酒壶，就发起恨来 [道] ∶“咦，这就是方才那贼秃灌我的那毒药酒！		《儿女英雄》__清
35	一时张老擦净了桌子，那姑娘便把张老同公子让在西首春凳、张老婆儿让在东首春凳坐下， 他才回头向张金凤 [道] ∶ “妹子，你方才问我的姓名、家乡、住处，还说怎的就晓得你在这里遭这场大难，前来搭救，不是这话吗？		《儿女英雄》__清
36	姑娘答 [道] ∶“差也不多。”		《儿女英雄》__清
37	那姑娘 [道] ∶“我这个人虽是个多事的人，但事凡那下坡走马、顺风使船，以至买好名儿、 戴高帽儿的那些营生， 我都不会作。		《儿女英雄》__清
38	说着，把脸一沉，手一指，指着安公子 [道] ∶“我可是特来救安公子你来了！		《儿女英雄》__清
39	安公子听了，连忙站起来 [道] ∶“姑娘，人非草木。		《儿女英雄》__清
