语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：遗
2022/7/10 23:03:12

序号	语句	书名	朝代
1	死必 [遗] 爱，死民之思，不亦可乎？”		《国语》__春秋战国
2	鲁鄙人 [遗] 宋元王闭，元王号令於国，有巧者皆来解闭。		《吕氏春秋》__春秋战国
3	匠师庆言于公曰：“臣闻圣王公之先封者， [遗] 后之人法，使无限于恶。		《国语》__春秋战国
4	天降威，用宁王 [遗] 我大宝龟，绍天明。		《尚书》__周
5	予造天役， [遗] 大投艰于朕身，越予冲人，不卬自恤。		《尚书》__周
6	王若曰：“尔殷 [遗] 多士，弗吊旻天，大降丧于殷，我有周佑命，将天明威，致王罚，敕殷命终于帝。		《尚书》__周
7	’今吴稻蟹不 [遗] 种，子将助天为虐，不忌其不祥乎？”		《国语》__春秋战国
8	又一年，王召范蠡而问焉，曰：“吾与子谋吴，子曰‘未可也’，今其稻蟹不 [遗] 种，其可乎？”		《国语》__春秋战国
9	而 [遗] 十金于子墨子曰。		《墨子》__春秋战国
10	今闻先王之 [遗] 而不为。		《墨子》__春秋战国
11	惟新陟王毕协赏罚，戡定厥功，用敷 [遗] 后人休。		《尚书》__周
12	故 [遗] 贤去知，治之数也。		《商君书》__春秋战国
13	惟予小子嗣守文、武、成、康 [遗] 绪，亦惟先正之臣，克左右乱四方。		《尚书》__周
14	君其出令，令民自 [遗] 三年之食，有馀粟者入之仓； [遗] 三年之用，有馀钱者入之府； [遗] 有奇人者使治城郭之缮。”		《韩非子》__春秋战国
15	强国之民，父 [遗] 其子，兄 [遗] 其弟，妻 [遗] 其夫，皆曰：“不得，无返！”		《商君书》__春秋战国
16	不 [遗] 时也。		《榖梁传》__春秋战国
17	’今商王受惟妇言是用，昏弃厥肆祀弗答，昏弃厥 [遗] 王父母弟不迪，乃惟四方之多罪逋逃，是崇是长，是信是使，是以为大夫卿士。		《尚书》__周
18	惟受罔有悛心，乃夷居，弗事上帝神祗， [遗] 厥先宗庙弗祀。		《尚书》__周
19	圣人取童智而 [遗] 童状，众人近童状而疏 童智。		《列子》__春秋战国
20	神圣知其如此，故其所教训者无所 [遗]  逸焉。		《列子》__春秋战国
21	9.持而盈之不如其己；揣而锐之不可长保；金玉满堂莫之能守；富贵而骄，自 [遗] 		《老子》__春秋战国
22	飞鸟 [遗] 之音，不宜上，宜下，大吉。		《周易》__周
23	上，故能致飞鸟 [遗] 音之应，则宜下而大吉，亦不可大事之类也。		《周易》__周
24	有飞鸟之象焉，“飞鸟 [遗] 之		《周易》__周
25	飞鸟 [遗] 音，不宜上，宜下”，故其象		《周易》__周
26	众人皆有馀，而我独若 [遗] 。		《老子》__春秋战国
27	彼有不获稚，此有不敛穧，彼有 [遗] 秉，此有滞穗，伊寡妇之利。		《诗经》__周
28	郑子阳即令官 [遗] 之粟。		《列子》__春秋战国
29	子列子入，其妻望之而拊心曰：“妾闻为有道者之妻子，皆 得佚乐，今有饥色，君过而 [遗] 先生食。		《列子》__春秋战国
30	以人之言而 [遗] 我粟，至其罪我也，又且以人之言，此吾所 以不受也。”		《列子》__春秋战国
31	范围天地之化而不过，曲成万物而不 [遗] ，通		《周易》__周
32	若皋之所观，天机也，得其精而忘其粗，在其内而忘其外； 见其所见，不见其所不见；视其所视，而 [遗] 其所不视。		《列子》__春秋战国
33	!会，谓理之所聚而不可 [遗] 处。		《周易》__周
34	宋人有游于道，得人 [遗] 契者，归而藏之，密数其齿。		《列子》__春秋战国
35	富贵而骄，自 [遗] 咎。”		《老子想尔注》__春秋战国
36	刑鬼侯之女而取其环，截涉者胫而视其髓，杀梅伯而 [遗] 文王其醢，不适也。		《吕氏春秋》__春秋战国
37	秦缪公 [遗] 之女乐二八与良宰焉。		《吕氏春秋》__春秋战国
38	内史廖对曰： “戎人不达於五音与五味，君不若 [遗] 之。”		《吕氏春秋》__春秋战国
39	缪公以女乐二八人与良宰 [遗] 之。		《吕氏春秋》__春秋战国
40	故雍门之人至今善歌哭，放娥之 [遗] 声。”		《列子》__春秋战国
41	纪昌 [遗] 一矢；既发，飞卫以棘刺之端扌干之，而无差焉。		《列子》__春秋战国
42	众人皆有馀，我独若 [遗] 。”		《老子想尔注》__春秋战国
43	完子行，田成子泣而 [遗] 之。		《吕氏春秋》__春秋战国
44	俄而 [遗] 其所藏之处，遂以为梦焉。		《列子》__春秋战国
45	纷纷乎若乱丝 [遗] 遣乎若有所从治，		《管子》__春秋战国
46	天子者，与天地参，故德配天地，兼利万物，与日月并明，明照四海而不 [遗]  微小。		《礼记》__春秋战国
47	父母既没，慎行其身，不 [遗] 父母恶名，可谓能终矣。		《礼记》__春秋战国
48	虞夏殷周，天下之盛王也，未有 [遗] 年者。		《礼记》__春秋战国
49	居乡以齿，而老穷不 [遗] ，强不犯弱，众不暴寡， 而弟达乎州巷矣。		《礼记》__春秋战国
50	是故，乡里有齿，而老穷不 [遗] ，强不犯弱，众不暴寡，此由大学 来者也。		《礼记》__春秋战国
51	将安将乐，弃予如 [遗] 。		《诗经》__周
52	荆人有 [遗] 弓者，而不肯索，曰：“荆人 [遗] 之，荆人得之，又何索焉？”		《吕氏春秋》__春秋战国
53	可事者事不可事者食如言而狐 [遗] ，		《管子》__春秋战国
54	使者致币，颜阖对曰：“恐听缪而 [遗] 使者罪，不若审之。”		《吕氏春秋》__春秋战国
55	《诗》云：‘彼有 [遗] 秉，此有不敛齐， 伊寡妇之利。		《礼记》__春秋战国
56	不慭 [遗] 一老，俾守我王。		《诗经》__周
57	范围天地之化而不过，曲成万物而不 [遗] ，通乎昼夜之道而知，故神无方而《易》无体。		《周易》__周
58	 [遗] 理释义，以要不可必，而欲人之尊之也，不亦难乎？		《吕氏春秋》__春秋战国
59	清庙之瑟，朱弦而疏越， 一倡而三叹，有 [遗] 音者矣。		《礼记》__春秋战国
60	大飨之礼，尚玄酒而俎腥鱼，大羹不和，有 [遗] 味者矣。		《礼记》__春秋战国
61	君子笃于亲，则民兴于仁；故旧不 [遗] ，则民不偷。”		《论语》__春秋战国
62	莫肯下 [遗] ，式居娄骄。		《诗经》__周
63	故商者，五帝之 [遗] 声也。		《礼记》__春秋战国
64	肆直而慈爱，商之 [遗] 声也，商人识之，故谓之《商》。		《礼记》__春秋战国
65	齐 者，三代之 [遗] 声也，齐人识之，故谓之齐，明乎商之音者，临事而屡断；明乎齐 之音者，见利而让。		《礼记》__春秋战国
66	少选，发而视之，燕 [遗] 二卵，北飞，遂不反。		《吕氏春秋》__春秋战国
67	是故，君子兴敬为亲，舍敬，是 [遗] 亲也。		《礼记》__春秋战国
68	九二，包荒，用冯河，不遐 [遗] 。		《周易》__周
69	晏子使人分仓粟府金而 [遗] 之，辞金受粟。		《晏子春秋》__春秋战国
70	和子曰：“先君有 [遗] 令曰：‘无攻越。		《吕氏春秋》__春秋战国
71	敬持民矣，安有 [遗] 道！		《晏子春秋》__春秋战国
72	叔向问晏子曰：“世乱不遵道，上辟不用义；正行则民 [遗] ，曲行则道废。		《晏子春秋》__春秋战国
73	若礼兄弟，晋、郑之亲，王之 [遗] 命，可谓兄弟。		《国语》__春秋战国
