语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：鄙
2022/5/12 15:47:03

序号	语句	书名	朝代
1	高厚帅师伐我北 [鄙] ，围防。		《春秋》__周
2	二十有五年春，齐崔杼帅师伐我北 [鄙] 。		《榖梁传》__春秋战国
3	骊姬曰：“以皋落狄之朝夕苛我边 [鄙] ，使无日以牧田野，君之仓廪固不实，又恐削封疆。		《国语》__春秋战国
4	且夫胜狄，诸侯惊惧，吾边 [鄙] 不儆，仓廪盈，四邻服，封疆信，君得其赖，又知可否，其利多矣。		《国语》__春秋战国
5	桓公曰：“伍 [鄙] 若何？”		《国语》__春秋战国
6	尧、舜之臣不独义，汤、禹之臣不独忠，得其数也；桀、纣之臣不独 [鄙] ，幽、厉之臣不独辟，失其理也。		《吕氏春秋》__春秋战国
7	反 [鄙] 我周邦，今蠢今翼。		《尚书》__周
8	分已定，人虽 [鄙] ，不争。”		《吕氏春秋》__春秋战国
9	管子对曰：“昔者，圣王之治天下也，参其国而伍其 [鄙] ，定民之居，成民之事，陵为之终，而慎用其六柄焉。”		《国语》__春秋战国
10	夫吴之边 [鄙] 远者，罢而未至，吴王将耻不战，必不须至之会也，而以中国之师与我战。		《国语》__春秋战国
11	齐人侵我西 [鄙] 。		《榖梁传》__春秋战国
12	夏，齐人伐我北 [鄙] 。		《榖梁传》__春秋战国
13	否，音 [鄙] 。		《周易》__周
14	边 [鄙] 残，国固守，鼓铎之声于耳，而乃用臣斯之计，晚矣，且夫韩之兵于天下可知也，今又背强秦。		《韩非子》__春秋战国
15	会葬之礼于 [鄙] 上。		《榖梁传》__春秋战国
16	臣非非难言孔，所以难言者：言顺比滑泽，洋洋纚々然，则见以为华而不实；敦祗恭厚，鲠固慎完，则见以为掘而不伦；多言繁称，连类比物，则见以为虚而无用；总微说约，径省而不饰，则见以为刿而不辩；激急亲近，探知人情，则见以为谮为不让；闳大广博，妙远不测，则见以为夸而无用；家计小谈，以具数言，则见以为陋；言而近世，辞不悖逆，则见以为贪生而谀上；言而远俗，诡躁人间，则见以为诞；捷敏辩给，繁于文采，则见以为史；殊释文学，以质信言，则见以为 [鄙] ；时称诗书，道法往古，则见以为诵。		《韩非子》__春秋战国
17	狄侵我西 [鄙] 。		《榖梁传》__春秋战国
18	且 若以治国之能夸物，欲以说辞乱我之心，荣禄喜我之意，不亦 [鄙] 而可怜哉！		《列子》__春秋战国
19	邾人伐我南 [鄙] 。		《榖梁传》__春秋战国
20	秋，齐人侵我西 [鄙] 。		《榖梁传》__春秋战国
21	其曰 [鄙] ，远之也，其远之何也？		《榖梁传》__春秋战国
22	齐侯侵我西 [鄙] ，遂伐曹，入其郛。		《榖梁传》__春秋战国
23	齐侯伐我西 [鄙] 。		《榖梁传》__春秋战国
24	列子曰：“嚷吾 以汝为达，今汝之 [鄙] 至此乎。		《列子》__春秋战国
25	子华使其侠客以 智 [鄙] 相攻，疆弱相凌。		《列子》__春秋战国
26	还反，华元言於宋昭公曰：“往不假道，来不假道，是以宋为野 [鄙] 也。		《吕氏春秋》__春秋战国
27	物之以能 [鄙] 相笼，皆犹此也。		《列子》__春秋战国
28	众人皆有以，而我独顽且 [鄙] 。		《老子》__春秋战国
29	齐国夏帅师伐我西 [鄙] 。		《榖梁传》__春秋战国
30	夏，齐国夏帅师伐我西 [鄙] 。		《榖梁传》__春秋战国
31	古之善相马者，寒风是相口齿，麻朝相颊，子女厉相目，卫忌相髭，许 [鄙] 相尻，投伐褐相胸胁，管青相膹吻，陈悲相股脚，秦牙相前，赞君相後。		《吕氏春秋》__春秋战国
32	二年春，齐侯伐我北 [鄙] 。		《榖梁传》__春秋战国
33	 [鄙] 夫反是∶好其實不恤其文，是以終身不免埤污傭俗。		《荀子》__春秋战国
34	败卫师于新筑，侵我北 [鄙] ，敖郤献子，齐有以取之也。		《榖梁传》__春秋战国
35	引师而还，未至，而有伐其北 [鄙] 者矣。		《列子》__春秋战国
36	 [鄙] 夫反是∶比周而譽俞少， [鄙] 爭而名俞辱，煩勞以求安利，其身俞危。		《荀子》__春秋战国
37	国贫而 [鄙] 富宜美于朝市国国富而 [鄙] 贫莫尽如市，		《管子》__春秋战国
