语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：释
2022/7/10 23:12:55

序号	语句	书名	朝代
1	王若曰：“诰告尔多方，非天庸 [释] 有夏，非天庸 [释] 有殷。		《尚书》__周
2	《彖》曰：明入地中，明夷，以卦象 [释] 卦名。		《周易》__周
3	!以卦德 [释] 卦义。		《周易》__周
4	以六五一爻之义 [释] 卦辞。		《周易》__周
5	里克谏曰：“臣闻皋落氏将战，君其 [释] 申生也！”		《国语》__春秋战国
6	虽欲爱君，惑不 [释] 也，今夫以君为纣，若纣有良子，而先丧纣，无章其恶而厚其败。		《国语》__春秋战国
7	彼得政而行其欲，得其所索，乃其 [释] 君。		《国语》__春秋战国
8	熟读详味，久当见之，今不尽 [释] 也。		《大学中庸》__春秋战国
9	以卦体九五、六二， [释] 利女		《周易》__周
10	 [释] 明明德。		《大学中庸》__春秋战国
11	 [释] 新民。		《大学中庸》__春秋战国
12	!以卦象 [释] 		《周易》__周
13	!以卦德、卦变、卦体 [释] 		《周易》__周
14	引诗而 [释] 之，以明明明德者之止于至善。		《大学中庸》__春秋战国
15	念兹在兹， [释] 兹在兹，名言兹在兹，允出兹在兹，惟帝念功。”		《尚书》__周
16	 [释] 止于至善。		《大学中庸》__春秋战国
17	 [释] 本末。		《大学中庸》__春秋战国
18	右传之五章，盖 [释] 格物、致知之义，而今亡矣。		《大学中庸》__春秋战国
19	说弧，疑稍 [释] 也。		《周易》__周
20	遇雨则吉，疑尽 [释] 而睽合也。		《周易》__周
21	 [释] 诚意。		《大学中庸》__春秋战国
22	!以卦德 [释] 卦名		《周易》__周
23	 [释] 正心修身。		《大学中庸》__春秋战国
24	以卦变、卦体 [释] 卦辞，而赞其时用之大也。		《周易》__周
25	及为行书者 [释] 守事而治私家事。		《墨子》__春秋战国
26	 [释] 修身齐家。		《大学中庸》__春秋战国
27	以卦德 [释] 卦名义。“		《周易》__周
28	此引书而 [释] 之，又明立教之本不假强为，在识其端而推广之耳。		《大学中庸》__春秋战国
29	以卦变 [释] 卦辞。		《周易》__周
30	居二年，骊姬使奄楚以环 [释] 言。		《国语》__春秋战国
31	请宾曰：顺投为入，比投不 [释] ，胜饮不胜者，正爵既行，请为胜者立马，一 马从二马，三马既立，请庆多马。		《礼记》__春秋战国
32	 [释] 齐家治国。		《大学中庸》__春秋战国
33	有入者，则司射坐而 [释] 一焉。		《礼记》__春秋战国
34	去而罪 [释] ，必归于君，是怨君也。		《国语》__春秋战国
35	’若罪不 [释] ，去而必重。		《国语》__春秋战国
36	今晋侯不量齐德之丰否，不度诸侯之势， [释] 其闭修，而轻于行道，失其心矣。		《国语》__春秋战国
37	!以卦体 [释] 卦名义。		《周易》__周
38	此 [释] 卦辞。		《周易》__周
39	!以卦体 [释] 卦名		《周易》__周
40	以卦体、卦象 [释] 卦辞。		《周易》__周
41	此谓以下， [释] 献子之言也。		《大学中庸》__春秋战国
42	 [释] 治国平天下。		《大学中庸》__春秋战国
43	’君今来讨弊邑之罪，其亦使听从而 [释] 之，必不泯其社稷；岂其贪壤地，而弃先王之命？		《国语》__春秋战国
44	! [释] 卦名义，而赞其德。“		《周易》__周
45	 [释] 父兄与子弟，非疏之也；任庖人钓者与仇人仆虏，非阿之也。		《吕氏春秋》__春秋战国
46	 [释] 明明德。		《大学中庸》__春秋战国
47	 [释] 新民。		《大学中庸》__春秋战国
48	!此 [释] 卦辞。		《周易》__周
49	 [释] 止于至善。		《大学中庸》__春秋战国
50	 [释] 本末。		《大学中庸》__春秋战国
51	右传之五章，盖 [释] 格物、致知之义，而今亡矣。		《大学中庸》__春秋战国
52	 [释] 诚意。		《大学中庸》__春秋战国
53	 [释] 正心修身。		《大学中庸》__春秋战国
54	 [释] 修身齐家。		《大学中庸》__春秋战国
55	 [释] 齐家治国。		《大学中庸》__春秋战国
56	 [释] 卦名。“		《周易》__周
57	 [释] 卦辞。		《周易》__周
58	曰：“今日置质为臣，其主安重；今日 [释] 玺辞官，其主安轻。		《吕氏春秋》__春秋战国
59	 [释] 治国平天下。		《大学中庸》__春秋战国
60	!以卦德、卦体 [释] 卦名义。“		《周易》__周
61	 [释] 卦辞。		《周易》__周
62	《彖》曰：柔以时升，以卦变 [释] 卦名。		《周易》__周
63	以卦德、卦体 [释] 卦辞。“		《周易》__周
64	当室者死，三年 [释] 其政；支子死，三月 [释] 其政。		《国语》__春秋战国
65	以卦体 [释] 卦名。		《周易》__周
66	!以卦德、卦体 [释] 卦辞。		《周易》__周
67	!以卦象 [释] 卦名义。“		《周易》__周
68	以卦体 [释] 卦辞。“		《周易》__周
69	大夫 之丧，将大敛，既铺绞纟今衾衣，君至、主人迎，先入门右，巫止于门外，君 [释]  菜，祝先入升堂，君即位于序端，卿大夫即位于堂廉楹西、北面东上，主人房外 南面，主妇尸西东面。		《礼记》__春秋战国
70	见马首，先入门右，巫止于门外，祝代之先， 君 [释] 菜于门内。		《礼记》__春秋战国
71	又曰：“天不可信，我道惟宁王德延，天不庸 [释] 于文王受命。”		《尚书》__周
72	以卦象 [释] 卦名义，大略与《睽》相似，然		《周易》__周
73	!以卦德 [释] 卦辞。		《周易》__周
74	 [释] 宋公。		《榖梁传》__春秋战国
75	外 [释] 不志，此其志何也？		《榖梁传》__春秋战国
76	不言楚，不与楚专 [释] 也。		《榖梁传》__春秋战国
77	故先王焉为之立中制节，一使足以成文理，则 [释] 之矣。		《礼记》__春秋战国
78	今多爵而久复，是 [释] 秦之所以强，而为三晋之所以弱也。”		《商君书》__春秋战国
79	!以卦体二象 [释] 卦名义，因极其大而言之。		《周易》__周
80	夫 [释] 权衡而断轻重，废尺寸而意长短，虽察，商贾不用，为其不必也。		《商君书》__春秋战国
81	 [释] 卦辞。		《周易》__周
82	今 [释] 赵之患，而坏内臣之韩，则天下明赵氏之计矣。		《韩非子》__春秋战国
83	今使臣不通，则韩之信未可知也，夫秦必 [释] 赵之患而移兵于韩，愿陛下幸复察图之，而赐臣报决。		《韩非子》__春秋战国
84	使虎 [释] 其爪牙而使狗用之，则虎反服于狗矣。		《韩非子》__春秋战国
85	今君人者 [释] 其刑德而使臣用之，则君反制于臣矣。		《韩非子》__春秋战国
86	不正其 [释] 殡而主乎战也。		《榖梁传》__春秋战国
87	欲濡肉，则 [释] 而煎之以醢， 欲干肉，则捶而食之。		《礼记》__春秋战国
88	王 [释] 冕，反丧服。		《尚书》__周
89	太子不肯自 [释] ，曰：“君非丽姬，居不安，食不甘。”		《吕氏春秋》__春秋战国
90	若虞机张，往省括于度则 [释] 。		《尚书》__周
91	此 [释] 卦名。		《周易》__周
92	此 [释] 卦辞。		《周易》__周
93	此其所以然者， [释] 法制而任名誉也。		《商君书》__春秋战国
94	地非不大也，民非不众也，甲兵财用非不多也；战不胜，守不固，此无法之所生也， [释] 权衡而操轻重者。		《商君书》__春秋战国
95	以卦变 [释] 利贞之意。		《周易》__周
96	今世主皆轻 [释] 重罚严诛，行爱惠，而欲霸王之功，亦不可几也。		《韩非子》__春秋战国
97	臣非非难言孔，所以难言者：言顺比滑泽，洋洋纚々然，则见以为华而不实；敦祗恭厚，鲠固慎完，则见以为掘而不伦；多言繁称，连类比物，则见以为虚而无用；总微说约，径省而不饰，则见以为刿而不辩；激急亲近，探知人情，则见以为谮为不让；闳大广博，妙远不测，则见以为夸而无用；家计小谈，以具数言，则见以为陋；言而近世，辞不悖逆，则见以为贪生而谀上；言而远俗，诡躁人间，则见以为诞；捷敏辩给，繁于文采，则见以为史；殊 [释] 文学，以质信言，则见以为鄙；时称诗书，道法往古，则见以为诵。		《韩非子》__春秋战国
98	而今夫世俗治者，莫不 [释] 法度而任辩慧，后功力而进仁义，民故不务耕战。		《商君书》__春秋战国
99	民 [释] 实事而诵虚词，则力少而非多。		《商君书》__春秋战国
100	彼言说之势，愚智同学之，士学于言说之人，则民 [释] 实事而诵虚词。		《商君书》__春秋战国
101	 [释] 卦名义也。		《周易》__周
102	又以卦体 [释] 卦辞。		《周易》__周
103	以卦德 [释] 卦名义。“		《周易》__周
104	 [释] 卦辞。		《周易》__周
105	’君 [释] 此计者。		《韩非子》__春秋战国
106	子 [释] 勿忧，勿出于口。”		《韩非子》__春秋战国
107	 [释] 箕子囚，封比干墓，式商容闾。		《尚书》__周
108	德 [释] 卦辞。		《周易》__周
109	君乃 [释] 戈趣驾而归。		《韩非子》__春秋战国
110	《彖》曰：重巽以申命， [释] 卦义也。		《周易》__周
111	以卦体 [释] 卦辞。		《周易》__周
112	心 凝形 [释] 骨肉都融；不觉形之所倚，足之所履，随风东西，犹木叶干壳。		《列子》__春秋战国
113	! [释] 卦名义。		《周易》__周
114	!以卦体 [释] 卦辞，而极言之。		《周易》__周
115	夏后启曰：“以为可为，故为之，为之，天下弗能禁矣；以为不可为，故 [释] 之， [释] 之，天下弗能使矣。”		《吕氏春秋》__春秋战国
116	!以卦变 [释] 卦辞。		《周易》__周
117	故 [释] 宋而攻郑。		《吕氏春秋》__春秋战国
118	其国乱弱矣，又皆 [释] 国法而私其外，则是负薪而救火也，乱弱甚矣！		《韩非子》__春秋战国
119	以誉为赏，以毁为罚也，则好赏恶罚之人， [释] 公行，行私术，比周以相为也。		《韩非子》__春秋战国
120	以卦体 [释] 卦辞。“		《周易》__周
121	!以卦体、卦德 [释] 卦名义。		《周易》__周
122	以卦体 [释] 卦名义与其辞。		《周易》__周
123	川；犹兮若畏四邻；俨兮其若容；涣兮若冰之将 [释] ；敦兮其若朴；旷兮其若谷；混		《老子》__春秋战国
124	春居问於宣王曰：“荆王 [释] 先王之礼乐，而乐为轻，敢问荆国为有主乎？”		《吕氏春秋》__春秋战国
125	鲁归之，齐鲍叔牙郊迎， [释] 其囚。		《列子》__春秋战国
126	此章 [释] 卦爻辞之通例。		《周易》__周
127	凡人伦，以十际为安者也， [释] 十际则与麋鹿虎狼无以异，多勇者则为制耳矣。		《吕氏春秋》__春秋战国
128	! [释] 《中孚》九二爻义。		《周易》__周
