语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：里
2022/11/6 15:38:48

序号	语句	书名	朝代
1	自从我祖父手 [里] 就了武职，便讲究些兵法阵图，练习各般武备，因此我父亲得了家学真传。		《儿女英雄》__清
2	这驴儿日行五百 [里] ，但遇着歹人，或者异怪物事，他便咆哮不止，真真是个神物。		《儿女英雄》__清
3	他就寻个缝子，参了一本，将我父亲革职拿问，下在监 [里] 。		《儿女英雄》__清
4	我自己却奉了母亲，避到此地五十 [里] 地开外的一个地方，投奔一家英雄。		《儿女英雄》__清
5	如今真人面前讲不得假话，我在店 [里] 听了姑娘你那番话，始终半信半疑。		《儿女英雄》__清
6	说着，向怀 [里] 掏出那封信来，递给公子。		《儿女英雄》__清
7	这也罢了，只是你又怎的会走到这庙 [里] 来？		《儿女英雄》__清
8	我本来的意思，原是得了那骡夫口 [里] 一个信息，要擎这注现成银子。		《儿女英雄》__清
9	’我明明听得那骡夫说不肯给你送这封信去请褚一官；况且那褚一官我也略晓得些消息，便去请他，他三五天 [里] 也来不了；到了他的娘子，你就等到一百年，也未必来的了。		《儿女英雄》__清
10	那骡夫、店家又两下 [里] 一齐在旁撺掇，是我一时慌乱，就匆匆而走。		《儿女英雄》__清
11	不想走到岔道口的山前，遇见两个人在那 [里] 说话，我骑着驴儿从旁经过，只听得一个道∶‘咱们有本事硬把他被套 [里] 的那二三千银子搬运过来，还不领他的情呢！		《儿女英雄》__清
12	他见那姑娘催得紧急，便蹲在那排插的角落 [里] ，把裤子拧干，拉起衬衣裳的夹袄来擦了擦手，跳下炕来。		《儿女英雄》__清
13	这个当儿，张才夫妻两个因方才险些儿性命不保，此时忽然的骨肉团圆，惊喜交加，匆忙 [里] 并不曾听得那姑娘叫“安公子”三个字。		《儿女英雄》__清
14	那老婆儿也是拉着两只袖子呀拜的拜个不住，口 [里] 说道∶“阿弥陀佛！		《儿女英雄》__清
15	话下要问我的住处，说来却离此不远，也不过在四五十 [里] 之外，却是个上不在天下不着地的地方儿。”		《儿女英雄》__清
16	安公子听了，说∶“这等，难道姑娘你在云端 [里] 住不曾？”		《儿女英雄》__清
17	公子说∶“那有个在云端 [里] 住的理呢？”		《儿女英雄》__清
18	我们作庄稼的，到了青苗在地的时候，那一夜不到地 [里] 守庄稼去，谁见有个鬼哪？”		《儿女英雄》__清
19	如本地用，有现成的县城 [里] 字号票子；远路用，有现成的黄金，带着岂不简便些？		《儿女英雄》__清
20	说着，搀着张姑娘到东 [里] 间，替他四处一找，一时也找不出个撒尿的家伙来；一眼看见那和尚的洗脸盆在盆架儿上放着， [里] 头还有半盆洗脸水，十三妹姑娘连忙拿到房门口儿，泼在院子 [里] 。		《儿女英雄》__清
21	因低头看了一看，见那脸盆 [里] 张姑娘的一泡尿不差甚么就装满了。		《儿女英雄》__清
22	他便伸手端起来，也泼在院子 [里] ，重新拿进房来小解。		《儿女英雄》__清
23	大沙锅 [里] 的饭因坐在膛罐口上，还是热腾腾的，笼屉 [里] 又盖着一屉馒头。		《儿女英雄》__清
24	姑娘道∶“我从晌午起，闹到这时候儿了，这如今便再有这等的五六十 [里] 地，我还赶得来，就再有那等的三二十和尚，我也送的了，但是我从吃早饭后到此时，水米没沾唇，我可饿不起了。		《儿女英雄》__清
25	姑娘道∶“不用买，我方才到厨房 [里] ，见那 [里] 煮的现成的肉，现成的饭，想来是那班和尚的夜消儿，咱们何不替他吃了，也算一场功德。”		《儿女英雄》__清
26	说着，趁着月色，老两口儿连忙到厨房 [里] 去整顿。		《儿女英雄》__清
27	问了半天，怎奈那十三妹只管一长短的问，那张金凤只有口 [里] 勉强支应的分儿，却紧皱双眉，一句话也说不出来。		《儿女英雄》__清
28	安公子说∶“姑娘，你若在店 [里] 就把那骡夫要谋我资财害我性命的话，直捷了当的告诉了我，岂不省了你一番大事？”		《儿女英雄》__清
29	那月色照得如同白昼，我便探身往山涧下一望，也不得些情形，只得顺着牲口的脚踪找了回来，见那牲口脚踪儿踹的散乱，直奔了这庙 [里] 来。		《儿女英雄》__清
30	我便下了牲口，拴在树上，一纵身上了山门，往庙 [里] 一望，只见正殿院落漆黑，只有那东西两院盾得见灯火。		《儿女英雄》__清
31	见那东配殿 [里] 堆着些粮食，就先把牲口寄顿在那屋 [里] 。		《儿女英雄》__清
32	你听这姑娘的话，就怪不得他方才把庙 [里] 走了个遍，就是不曾到东配殿了。		《儿女英雄》__清
33	至于这座庙 [里] 和尚的行径，我早已晓得。		《儿女英雄》__清
34	方才在店 [里] 的时候，你不说你令尊太爷的官项须得五千余金才能无事么？		《儿女英雄》__清
35	‘千 [里] 搭长棚，没个不散的筵席’，你我‘将军不下马，各自奔前程’，恕我失陪。”		《儿女英雄》__清
