语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：钱
2022/7/10 23:13:17

序号	语句	书名	朝代
1	若以粟米 [钱] 金布帛他财物免出者。		《墨子》__春秋战国
2	其农贫而商富——故其食贱者 [钱] 重，食贱则农贫， [钱] 重则商富；末事不禁，则技巧之人利，而游食者众之谓也。		《商君书》__春秋战国
3	今臣之所言，民无一日之繇，官无数 [钱] 之费，其弱晋强秦，有过三战之胜，而王犹以为不可，则臣愚不能知已。		《商君书》__春秋战国
4	故曰：赞茅、岐周之粟，以赏天下之人，不人得一升；以其 [钱] 赏天下之人，不人得一 [钱] 。		《商君书》__春秋战国
5	城郭不治，仓无积粟，府无储 [钱] ，库无甲兵，邑无守具。		《韩非子》__春秋战国
6	君其出令，令民自遗三年之食，有馀粟者入之仓；遗三年之用，有馀 [钱] 者入之府；遗有奇人者使治城郭之缮。”		《韩非子》__春秋战国
7	君夕出令，明日，仓不容粟，府无积 [钱] 。		《韩非子》__春秋战国
8	 [钱] 粟已足，甲兵有馀。		《韩非子》__春秋战国
9	虞氏者，梁之富人也，家充殷盛， [钱] 帛无量，财货无訾。		《列子》__春秋战国
10	管子曰请栈台之 [钱] 散诸城阳鹿台之布散诸济阴，		《管子》__春秋战国
11	管子即令桓公与民通轻重藏谷什之六令左司马伯公将白徒而铸 [钱] 于庄山，		《管子》__春秋战国
12	莱莒之籴三百七十齐粜十 [钱] ，		《管子》__春秋战国
13	今齐西之粟釜百泉则二十也齐东之粟釜十泉则二 [钱] 也请以令籍人三十泉得以五谷菽粟决其籍若此则齐西出三头而决其籍齐东出三釜而决其籍，		《管子》__春秋战国
14	鲁梁之人籴十面齐粜十 [钱] ，		《管子》__春秋战国
15	命我众人：庤乃 [钱] 镈，奄观铚艾。		《诗经》__周
16	武王於是复盘庚之政，发巨桥之粟，赋鹿台之 [钱] ，以示民无私。		《吕氏春秋》__春秋战国
17	乃复赐之脯二束，与 [钱] 百，而遂去之。		《吕氏春秋》__春秋战国
18	石三十，为 [钱] 千三百五十，除社闾尝新、春秋之祠，用 [钱] 三百，余千五十。		《汉书》__汉
19	京师之 [钱] 累百巨万，贯朽而不可校。		《汉书》__汉
20	宣帝即位，用吏多选贤良，百姓安土，岁数丰穰，谷至石五 [钱] ，农人少利。		《汉书》__汉
21	商辅政四岁，病乞骸骨，天子悯之，更以为大将军，益封二千户，赐 [钱] 百万。		《汉书》__汉
22	太后所至属县，辄施恩惠，赐民 [钱] 、帛、牛、酒，岁以为常。		《汉书》__汉
23	后会更五铢 [钱] 白金起，民为奸，京师尤甚，乃以纵为右内史，王温舒为中尉。		《汉书》__汉
24	温舒匿其吏华成，及人有变告温舒受员骑 [钱] ，它奸利事，罪至族，自杀。		《汉书》__汉
25	富人亡财者皆怨，出 [钱] 求延年罪。		《汉书》__汉
26	初，大司农取民牛车三万两为僦，载沙便桥下，送致方上，车直千 [钱] ，延年上簿诈增僦直车二千，凡六千万，盗取其半。		《汉书》__汉
27	赐诸侯王、公主、列侯黄金，吏二千石以下 [钱] 、帛，各有差。		《汉书》__汉
28	以三辅、太常、郡国公田及苑可省者振业贫民，訾不满千 [钱] 者赋贷种、食。		《汉书》__汉
29	九月，关东郡国十一大水，饥，或人相食，转旁郡 [钱] 、谷以相救。		《汉书》__汉
30	赐御史大夫爵关内侯，中二千石右庶长，天下当为父后者爵一级，列侯 [钱] 各二十万，五大夫十万。		《汉书》__汉
31	顺成侯有姊君姁，赐 [钱] 二百万，奴婢第宅以充实焉。		《汉书》__汉
32	仲卿载B07A始共求媪，媪惶急，将翁须归，曰：“兒居君家，非受一 [钱] 也，奈何欲予它人？”		《汉书》__汉
33	媪与B07A始还求 [钱] 用，随逐至中山卢奴，见翁须与歌舞等比五人同处，媪与翁须共宿。		《汉书》__汉
34	明日，B07A始留视翁须，媪还求 [钱] ，欲随至邯郸。		《汉书》__汉
35	媪归，粜买未具，B07A始来归曰：“翁须已去，我无 [钱] 用随也。”		《汉书》__汉
36	孝元皇帝奉承大业，温恭少欲，都内 [钱] 四十万万，水衡 [钱] 二十五万万，少府 [钱] 十八万万。		《汉书》__汉
