语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：问
2022/11/6 8:34:29

序号	语句	书名	朝代
1	方才 [问] 得一家，乃是县前许秀才的女儿，年纪十六岁。		《初刻拍案惊奇》__元明
2	先开口 [问] 金声道：		《初刻拍案惊奇》__元明
3	又 [问] 道：“既如此，不该又与韩生了。”		《初刻拍案惊奇》__元明
4	又 [问] 道：“那婚约可是你的亲笔？”		《初刻拍案惊奇》__元明
5	又 [问] 道：“那上边写道：‘自幼不曾许聘何人’，却怎么说？”		《初刻拍案惊奇》__元明
6	又 [问] 道：“你与程元结亲，却是几年几月几日？”		《初刻拍案惊奇》__元明
7	又 [问] 道：“原媒何在？”		《初刻拍案惊奇》__元明
8	太守冷笑了一声，又 [问] 道：“你何年何月何日与他结姻的？”		《初刻拍案惊奇》__元明
9	又 [问] 道：“既是台州人，如何晓得徽州事体？”		《初刻拍案惊奇》__元明
10	明知这事无可宽客，也轻轻放过，明知这事有些尴尬，也将来草草 [问] 成。		《初刻拍案惊奇》__元明
11	至于扳诬冤枉的，却又六 [问] 三推，千般锻炼。		《初刻拍案惊奇》__元明
12	知县看了状子， [问] 了来历，见是人命盗情重事，即时批准。		《初刻拍案惊奇》__元明
13	知县 [问] 蒋氏道：“你如何告道是他？”		《初刻拍案惊奇》__元明
14	知县便叫地邻来 [问] 他道：“那王甲与李乙果有仇否？”		《初刻拍案惊奇》__元明
15	老人道：“令尊之事亲口供招，知县又是新到任的，自手 [问] 成。		《初刻拍案惊奇》__元明
16	徐公吃了一惊， [问] 其缘故。		《初刻拍案惊奇》__元明
17	王生 [问] 了缘故，便对那客人道：“如此价钱也好卖了，如何只管在我家门首喧嚷？		《初刻拍案惊奇》__元明
18	唬得王生面如土色，只得再 [问] 缘由。		《初刻拍案惊奇》__元明
19	老爷若不信时，只须唤那四邻八舍到来， [问] 去年某月日间，果然曾打死人否？		《初刻拍案惊奇》__元明
20	先叫刘氏起来 [问] ，刘氏便将丈夫争价误殴，船家撑尸得财，家人怀恨出首的事，从头至尾，一一分剖。		《初刻拍案惊奇》__元明
21	知县又叫吕大起来 [问] ，吕大也将被殴始未，卖绢根由，一一说了。		《初刻拍案惊奇》__元明
22	身死之后，难道湖州再没有个骨肉亲戚，见是久出不归，也该有人来 [问] 个消息。		《初刻拍案惊奇》__元明
23	知县录了口语，喝退胡阿虎，便叫周四上前来 [问] 。		《初刻拍案惊奇》__元明
24	偶然 [问] 起缘由，始知被殴详细。		《初刻拍案惊奇》__元明
25	只见适间同在座上 [问] 命的一个千户，也姓李，邀总管入茶坊坐下，说道：“适间闻公与算命的所说之话，小子有一件疑心，敢 [问] 个明白。”		《初刻拍案惊奇》__元明
26	坐定了，千户道：“小可归家 [问] 明，此婢果是宅上出来的。”		《初刻拍案惊奇》__元明
27	刘员外 [问] 知缘故，叫张郎劝他，怎当得刘九儿不识风色，指着大都子“千绝户，万绝户”的骂道：“我有儿子，是请得钱，干你这绝户的甚事？”		《初刻拍案惊奇》__元明
