语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：闻
2022/11/4 21:58:36

序号	语句	书名	朝代
1	余尚及 [闻] 前辈有歌绝句者，三十年来亦绝矣。		《钝吟杂录》__清
2	那一宗银子原是你与哥子合借的，你一时没有， [闻] 得你哥子近来甚有生意，就央你与我讨一讨。”		《风流悟》__清
3	世高缘景致佳甚，盘桓良久，忽 [闻] 有人娇语道：“美哉，少年。”		《风流悟》__清
4	世高 [闻] 之，因而四顾，忽见池塘之左台榭之东，绿阴中小楼内有一小娇娥，倾城国色，在那里遮遮掩掩的偷看。		《风流悟》__清
5	秀英 [闻] 言，细细说明前事，父亲只是不信。		《风流悟》__清
6	我 [闻] 得主人家要卖屋，故来相求经帐，学做个中人，怎么认错起来？”		《风流悟》__清
7	弄生道：“ [闻] 得南园二郎庙，烧香的女客，两日盛得紧，我们同去看看何如？”		《风流悟》__清
8	弄生道：“ [闻] 他还要到西山烧观音香，你如今将一二两银子，也定只船再去看他，或他有些意思，便好算计。”		《风流悟》__清
9	又隔了一日，只见许弄生笑嘻嘻奔来道：“我为你费尽心血， [闻] 得他病虽好些，还不提起到西山去。		《风流悟》__清
10	只见上面的出语写的是∶“请旨革职拿问， 带罪赔修，俟该参员果否能于限内照数赔缴，如式修齐， 再行奏 [闻] 请旨。		《儿女英雄》__清
11	春云道：“不必相 [闻] 他。”		《风流悟》__清
12	安公子见他问的奇怪，连忙答说；“无所 [闻] 。		《儿女英雄》__清
13	孟瑚道：“前日 [闻] 得有个实山王家住在此？”		《风流悟》__清
14	周老爷 [闻] 言，感谢不尽，回来就通知了陶子尧，商量仇、魏二人应送若干。		《官场现形》__清
15	窗下私情事，床中怎不 [闻] 。		《风流悟》__清
16	说着，便把他梦中所 [闻] 所见，云端里的情节，详细告诉了那毕生一遍。		《儿女英雄》__清
17	风雨潇潇江上村，绿林豪客夜知 [闻] 。		《风流悟》__清
18	第六十七回 见土仪颦卿思故里  [闻] 秘事凤姐讯家童		《红楼梦(上)》__清
19	莫拿我笑笑道：“老蔡，前日我 [闻] 得桃源县里，失了库银，想是老兄得了甜头么？”		《风流悟》__清
20	不曾半点 [闻] 春信，却怪千花连夜开。		《风流悟》__清
21	第一○八回 强欢笑蘅芜庆生辰 死缠绵潇湘 [闻] 鬼哭		《红楼梦(上)》__清
22	果然这样，那点苏合丸、 [闻] 通关散、熏草纸、打醋炭这些方法都用不着，倘然遇着个背了气的人，只敲打一阵铜旋子就好了。		《儿女英雄》__清
23	空空道人看了一回，晓得这石头有些来历，遂向石头说道：“石兄，你这一段故事，据你自己说来，有些趣味，故镌写在此，意欲 [闻] 世传奇。		《红楼梦(上)》__清
24	只 [闻] 得那蔡拐子吃得醉了，天色又冷，夫妻两个睡得鼻息如雷。		《风流悟》__清
25	竟不如我这半世亲见亲 [闻] 的几个女子，虽不敢说强似前代书中所有之人，但观其事迹原委，亦可消愁破闷；至于几首歪诗，也可以喷饭供酒。		《红楼梦(上)》__清
26	因见上面大旨不过谈情，亦只是实录其事，绝无伤时诲淫之病，方从头至尾抄写回来， [闻] 世传奇。		《红楼梦(上)》__清
27	那道人道：“果是好笑，从来不 [闻] 有‘还泪’之说。		《红楼梦(上)》__清
28	士隐因说道：“适 [闻] 仙师所谈因果，实人世罕 [闻] 者，但弟子愚拙，不能洞悉明白。		《红楼梦(上)》__清
29	若蒙大开痴顽，备细一 [闻] ，弟子洗耳谛听，稍能警省，亦可免沉沦之苦了。”		《红楼梦(上)》__清
30	捕人见了，吃了一惊道：“ [闻] 得莫拿我是个积贼，果然弄我们离了本地，倒在这里作孽。”		《风流悟》__清
31	禁子道：“ [闻] 说缺了一二千哩。”		《风流悟》__清
