语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：除
2022/7/10 22:55:04

序号	语句	书名	朝代
1	大侵之礼，君食不兼味，台榭不涂，弛侯，廷道不 [除] ，百官布而不制，鬼神祷而不祀，此大侵之礼也。		《榖梁传》__春秋战国
2	或曰：卦凡四阴， [除] 六五君位，余三阴，即三狐		《周易》__周
3	 [除] ☆以应外谓之忠，定身以行事谓之信。		《国语》__春秋战国
4	今君施其所恶于人，☆不 [除] 矣；以贿灭亲，身不定矣。		《国语》__春秋战国
5	具舟 [除] 隧，不共有法。”		《国语》__春秋战国
6	故治天下之要，存乎 [除] 奸； [除] 奸之要，存乎治官；治官之要，存乎治道；治道之要，存乎知性命。		《吕氏春秋》__春秋战国
7	帝喾能序三辰以固民，尧能单均刑法以仪民，舜勤民事而野死，鲧障洪水而殛死，禹能以德修鲧之功，契为司徒而民辑，冥勤其官而水死，汤以宽治民而 [除] 其邪，稷勤百谷而山死，文王以文昭，武王去民之秽。		《国语》__春秋战国
8	“令夫农，群萃而州处，察其四时，权节其用，耒、耜、☆、芟，及寒，击☆ [除] 田，以待时耕；及耕，深改良而疾☆之，以待时雨。		《国语》__春秋战国
9	妇当丧而出，则 [除] 之。		《礼记》__春秋战国
10	《象》曰：泽上于地，萃，君子以 [除] 戎器，戒不虞。		《周易》__周
11	! [除] 者，修而聚之之谓。		《周易》__周
12	唯主丧者不 [除] ，其余以麻终月数者， [除] 丧则已。		《礼记》__春秋战国
13	同男女之功， [除] 民之害，以避天殃。		《国语》__春秋战国
14	则 [除] 之，远葬者比反哭者皆冠，及郊而后免反哭。		《礼记》__春秋战国
15	 [除] 殇之丧者，其祭也必玄。		《礼记》__春秋战国
16	 [除] 成丧者，其祭也，朝服缟冠。		《礼记》__春秋战国
17	徐弱曰：“若夫子之言，弱请先死以 [除] 路。”		《吕氏春秋》__春秋战国
18	古之君民者，仁义以治之，爱利以安之，忠信以导之，务 [除] 其灾，思致其福。		《吕氏春秋》__春秋战国
19	君子知夫不全不粹之不足以為美也，故誦數以貫之， 思索以通之，為其人以處之， [除] 其害者以持養之。		《荀子》__春秋战国
20	树德务滋， [除] 恶务本，肆予小子诞以尔众士，殄歼乃仇。		《尚书》__周
21	抚民以宽， [除] 其邪虐，功加于时，德垂后裔。		《尚书》__周
22	上世之王者众矣，而事皆不同，其当世之急，忧民之利， [除] 民之害同。		《吕氏春秋》__春秋战国
23	如是則天下之害 [除] ，仁人之事畢，聖王之跡著矣。		《荀子》__春秋战国
24	朝甚 [除] ，田甚		《老子》__春秋战国
25	今我不乐，日月其 [除] 。		《诗经》__周
26	離居不相待則窮，群居而無分則爭；窮者患也，爭者禍也，救患 [除] 禍，則莫若明分使群矣。		《荀子》__春秋战国
27	命有司 [除] 庙筵几，而荐之曰：“自孤之闻夷吾之言也，目益明，耳益聪。		《吕氏春秋》__春秋战国
28	湯武者，修其道，行其義，興天下同利， [除] 天下同害，天下歸之。		《荀子》__春秋战国
29	大 [除] 中也。		《老子想尔注》__春秋战国
