语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：陵
2022/7/10 23:08:25

序号	语句	书名	朝代
1	甲戌，齐国书帅师及吴战于艾 [陵] ，齐师败绩，获齐国书。		《春秋》__周
2	及周之衰，贤圣之君不作，学校之政不修，教化 [陵] 夷，风俗颓败，时则有若孔子之圣，而不得君师之位以行其政教，于是独取先王之法，诵而传之以诏后世。		《大学中庸》__春秋战国
3	拯，之 [陵] 反。		《周易》__周
4	善使延 [陵] 季子，故进之也。		《榖梁传》__春秋战国
5	延 [陵] 季子之贤，尊君也。		《榖梁传》__春秋战国
6	管子对曰：“相地而衰征，则民不移；政不旅旧，则民不偷；山泽各致其时，则民不苟；陆阜 [陵] ☆井田畴均，则民不憾；无夺民时，则百姓富；牺牲不略，则牛羊遂。”		《国语》__春秋战国
7	四岳，汤汤洪水方割，荡荡怀山襄 [陵] ，浩浩滔天。		《尚书》__周
8	禹曰：“洪水滔天，浩浩怀山襄 [陵] ，下民昏垫。		《尚书》__周
9	及周之衰，贤圣之君不作，学校之政不修，教化 [陵] 夷，风俗颓败，时则有若孔子之圣，		《大学中庸》__春秋战国
10	以荡 [陵] 德，实悖天道。		《尚书》__周
11	管子对曰：“昔者，圣王之治天下也，参其国而伍其鄙，定民之居，成民之事， [陵] 为之终，而慎用其六柄焉。”		《国语》__春秋战国
12	十有四年春，诸侯城缘 [陵] 。		《榖梁传》__春秋战国
13	夫差不贳不忍，被甲带剑，挺铍  铎，遵汶伐博，簦笠相望于艾 [陵] 。		《国语》__春秋战国
14	六二，震来，厉，亿丧贝，跻于九 [陵] ，勿逐，七日得。		《周易》__周
15	又当丧其货贝，而升于九 [陵] 之上。		《周易》__周
16	具象中，但九 [陵] 、七日之象，则未详耳。		《周易》__周
17	夫世愚学之人比有术之士也，犹蚁垤之比大 [陵] 也，其相去远矣。		《韩非子》__春秋战国
18	故其治国也，正明法，陈严刑，将以救群生之乱，去天下之祸，使强不 [陵] 弱，众不暴寡，耆老得遂，幼孤得长，边境不侵，群臣相关，父子相保，而无死亡系虏之患，此亦功之至厚者也。		《韩非子》__春秋战国
19	古有伯夷叔齐者，武王让以天下而弗受，二人饿死首阳之 [陵] 。		《韩非子》__春秋战国
20	九五，鸿渐于 [陵] ，妇三岁不孕，终莫之胜，吉。		《周易》__周
21	 [陵] ，高阜也。		《周易》__周
22	乃召延 [陵] 生，令将车骑先至晋阳，君因从之。		《韩非子》__春秋战国
