语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：青
2022/7/10 23:15:52

序号	语句	书名	朝代
1	厥土 [青] 黎，厥田惟下上，厥赋下中，三错。		《尚书》__周
2	具父母大父母，衣纯以缋；具父母，衣纯以 [青] 。		《礼记》__春秋战国
3	禹曰：“若何而治 [青] 北，化九阳、奇怪之所际？		《吕氏春秋》__春秋战国
4	 [青] 旗 [青] 神长八尺者八。		《墨子》__春秋战国
5	 [青] 、取之於藍，而 [青] 於藍；冰、水為之，而寒於水。		《荀子》__春秋战国
6	古之善相马者，寒风是相口齿，麻朝相颊，子女厉相目，卫忌相髭，许鄙相尻，投伐褐相胸胁，管 [青] 相膹吻，陈悲相股脚，秦牙相前，赞君相後。		《吕氏春秋》__春秋战国
7	○ [青] 蝇		《诗经》__周
8	营营 [青] 蝇，止于樊。		《诗经》__周
9	营营 [青] 蝇，止于棘。		《诗经》__周
10	营营 [青] 蝇，止于榛。		《诗经》__周
11	禹东至榑木之地，日出九津， [青] 羌之野，攒树之所，扌昬天之山，鸟谷、 [青] 丘之乡，黑齿之国；南至交址、孙朴续樠之国，丹粟漆树沸水漂漂九阳之山，羽人、裸民之处，不死之乡；西至三危之国，巫山之下，饮露吸气之民，积金之山，其肱、一臂、三面之乡；北至人正之国，夏海之穷，衡山之上，太戎之国，夸父之野，禺强之所，积水、积石之山。		《吕氏春秋》__春秋战国
12	南海則有羽翮、齒革、曾 [青] 、丹干焉，然而中國得而財之。		《荀子》__春秋战国
13	薛谭学讴于秦 [青] ，未穷 [青] 之技，自谓尽之；遂辞归。		《列子》__春秋战国
14	秦 [青] 弗止。		《列子》__春秋战国
15	秦 [青] 顾谓其友 曰：“昔韩娥东之齐，匮粮，过雍门，鬻歌假食。		《列子》__春秋战国
16	偃师大慑，立剖散倡者以示王，皆傅会革、木、胶、漆、 白、黑、丹、 [青] 之所为。		《列子》__春秋战国
17	汝汉水之右衢黄金一策也江阳之珠一策也秦明山之曾 [青] 一策也，		《管子》__春秋战国
