语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：静
2022/7/10 23:06:28

序号	语句	书名	朝代
1	尔乃迪屡不 [静] ，尔心未爱。		《尚书》__周
2	知止而后有定，定而后能 [静] ， [静] 而后能安，安而后能虑，虑而后能得。		《大学中庸》__春秋战国
3	 [静] ，谓心不妄动。		《大学中庸》__春秋战国
4	至知不几， [静] 乃明几也。		《吕氏春秋》__春秋战国
5	二曰：得道者必 [静] ， [静] 者无知，知乃无知，可以言君道也。		《吕氏春秋》__春秋战国
6	有准不以平，有绳不以正，天之大 [静] 。		《吕氏春秋》__春秋战国
7	既 [静] 而又宁，可以为天下正。		《吕氏春秋》__春秋战国
8	是宜动者 [静] ，宜 [静] 者动也。		《吕氏春秋》__春秋战国
9	凡耳之闻也藉於 [静] ，目之见也藉於昭，心之知也藉於理。		《吕氏春秋》__春秋战国
10	无言无思， [静] 以待时，时至而应，心暇者胜。		《吕氏春秋》__春秋战国
11	为则扰矣，因则 [静] 矣。		《吕氏春秋》__春秋战国
12	 [静] 言庸违，象恭滔天。”		《尚书》__周
13	故有道之主，因而不为，责而不诏，去想去意， [静] 虚以待，不伐之言，不夺之事，督名审实，官使自司，以不知为道，以柰何为实。		《吕氏春秋》__春秋战国
14	知止而后有定，定而后能 [静] ， [静] 而后能		《大学中庸》__春秋战国
15	即命曰：‘有大艰于西土，西土人亦不 [静] ，越兹蠢。		《尚书》__周
16	’尔庶邦君越庶士、御事罔不反曰：‘艰大，民不 [静] ，亦惟在王宫邦君室。		《尚书》__周
17	 [静] 夜闻鼓声而所以阉客之气也。		《墨子》__春秋战国
18	从礼而 [静] ，是昭吾子也。”		《国语》__春秋战国
19	一阴始生， [静] 正则吉，往进则凶。		《周易》__周
20	然阴阳迭胜，时运之常，若能含晦章美， [静] 以制之，则可以		《周易》__周
21	今有人於此，无礼慢易而求敬，阿党不公而求令，烦号数变而求 [静] ，暴戾贪得而求定，虽黄帝犹若困。		《吕氏春秋》__春秋战国
22	龟筮共违于人，用 [静] 吉，用作凶。		《尚书》__周
23	儒有澡身而浴德，陈言而伏， [静] 而正之，上弗知也，粗而翘之，又不急为也； 不临深而为高，不加少而为多，世治不轻，世乱不沮；同弗与，异弗非也。		《礼记》__春秋战国
