语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：项
2023/1/20 15:20:39

序号	语句	书名	朝代
1	夏，灭 [项] 。		《榖梁传》__春秋战国
2	 [项] ，国也，不可灭而灭之乎？		《榖梁传》__春秋战国
3	桓公知 [项] 之可灭也，而不知己之不可以灭也。		《榖梁传》__春秋战国
4	蚌，步 [项] 反。		《周易》__周
5	驾彼四牡，四牡 [项] 领。		《诗经》__周
6	又为刚武之人，得志而肆暴之象，如秦政、 [项] 籍，岂能久也。		《周易》__周
7	缁布冠，缺 [项] ，青组缨，属于缺；缁纚，广终幅，长六尺。		《仪礼》__春秋战国
8	宾右手执 [项] ，左手执前，进容，乃祝，坐如初，乃冠，兴，复位。		《仪礼》__春秋战国
9	宾盥、正纚如初，降二等，受皮弁，右执 [项] ，左执前，进、祝、加之如初，复位。		《仪礼》__春秋战国
10	 [项] 羽起，封建孙安为济北王。		《汉书》__汉
11	夏，灭 [项] 。		《公羊传》__春秋战国
12	王召养由基，与之两矢，使射吕锜，中 [项] ，伏弢。		《左传》__春秋战国
13	及高祖诛 [项] 籍，即天子位，因御服其玺，世世传受，号曰汉传国玺，以孺子未立，玺臧长乐宫。		《汉书》__汉
14	反于宋，见庄子，曰：“夫处穷闾厄巷，困窘织屦，槁 [项] 黄馘者		《庄子》__春秋战国
15	 [项] 羽救巨鹿，枉矢西流。		《汉书》__汉
16	物莫直于矢，今蛇行不能直而枉者，执矢者亦不正，以象 [项] 羽执政乱也。		《汉书》__汉
17	是时， [项] 羽为楚王，而汉已定三秦，与相距荥阳。		《汉书》__汉
18	二年，东击 [项] 籍而还入关，问：“故秦时上帝祠何帝也？”		《汉书》__汉
19	是时，汉方与 [项] 羽相距，中国罢于兵革，以故冒顿得自强，控弦之士三十余万。		《汉书》__汉
20	若乃徒步豪桀，非有陈胜、 [项] 梁之群也；匈奴、夷狄，非有冒顿、郅支之伦也。		《汉书》__汉
21	忠臣，社稷之卫，鲁以季友治乱，楚以子玉轻重，魏以无忌折冲， [项] 以范增存亡。		《汉书》__汉
22	及高皇帝诛 [项] 籍，引兵围鲁，鲁中诸儒尚讲诵习礼，弦歌之音不绝，岂非圣人遗化好学之国哉？		《汉书》__汉
