语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：顺
2022/7/10 23:06:32

序号	语句	书名	朝代
1	《象》曰：六二之吉， [顺] 以则也。		《周易》__周
2	《象》曰：六二之吉， [顺] 以巽也。		《周易》__周
3	《象》曰：“富家，大吉”， [顺] 在位也。		《周易》__周
4	赏服大辂，龙旗九旒，渠门赤☆，诸侯称 [顺] 焉。		《国语》__春秋战国
5	夫固国者，在亲众而善邻，在因民而 [顺] 之。		《国语》__春秋战国
6	请宾曰： [顺] 投为入，比投不释，胜饮不胜者，正爵既行，请为胜者立马，一 马从二马，三马既立，请庆多马。		《礼记》__春秋战国
7	若此则能 [顺] 其天，意气得游乎寂寞之宇矣，形性得安乎自然之所矣。		《吕氏春秋》__春秋战国
8	夫宗有司之言 [顺] 矣，僖又未有明焉。		《国语》__春秋战国
9	犯 [顺] 不祥，以逆训民亦不祥，易神之班亦不祥，不明而跻之亦不祥，犯鬼道二，犯人道二，能无殃乎？”		《国语》__春秋战国
10	对曰：“君作而 [顺] 则故之，逆则亦书其逆也。		《国语》__春秋战国
11	坤 [顺] 兑		《周易》__周
12	 [顺] 以说，刚中而应，故聚也。		《周易》__周
13	用大牲吉，利有攸往”， [顺] 天命也。		《周易》__周
14	卦自《解》来，柔上居四，内巽外 [顺] ，九二刚中而		《周易》__周
15	巽而 [顺] ，刚中而应，是以大亨。		《周易》__周
16	王肃本“ [顺] ”作“慎”。		《周易》__周
17	《象》曰：“王用亨于岐山”， [顺] 事也。		《周易》__周
18	以 [顺] 而升，登祭于山之象。		《周易》__周
19	四封之外，敌国之制，立断之事，因阴阳之恒， [顺] 天地之常，柔而不屈，强而不刚，德虐之行，因以为常；死生因天地之刑，天因人，圣人因天；人自生之，天地形之，圣人因而成之。		《国语》__春秋战国
20	夫儒浩居而自 [顺] 者也。		《墨子》__春秋战国
21	凡陈之道，设右以为牝，益左以为牡，蚤晏无失，必 [顺] 天道，周旋无究。		《国语》__春秋战国
22	夫诸侯无二君，而周无二王，君若无卑天子，以干其不祥，而曰吴公，孤敢不 [顺] 从君命长弟！		《国语》__春秋战国
23	尔有嘉谋嘉猷，则入告尔后于内，尔乃 [顺] 之于外，曰：‘斯谋斯猷，惟我后之德。		《尚书》__周
24	牛， [顺] 物。		《周易》__周
25	臣闻之曰：“以乱攻治者亡，以邪 攻正者亡，以逆攻 [顺] 者亡。”		《韩非子》__春秋战国
26	在大人则自新新民之极， [顺] 天应		《周易》__周
27	小人革面”， [顺] 以从君也。		《周易》__周
28	下巽，巽也，上离为目，而五为耳，又内巽 [顺] 而外聪明之象。		《周易》__周
29	武王逆取而贵 [顺] ；争天下而上让；其取之以力，持之以义。		《商君书》__春秋战国
30	秦王饮食不甘，游观不乐，意专在图赵，使臣斯来言， [顺] 得身见，因急与陛下有计也。		《韩非子》__春秋战国
31	郼、岐之广也，万国之 [顺] 也，从此生矣。		《吕氏春秋》__春秋战国
32	虚素以公，小民皆之，其之敌而不知其所以然，此之谓 [顺] 天。		《吕氏春秋》__春秋战国
33	予弗狎于弗 [顺] ，营于桐宫，密迩先王其训，无俾世迷。		《尚书》__周
34	凡奸臣皆欲 [顺] 人主之心以取亲幸之势者也。		《韩非子》__春秋战国
35	圣人为法国者，必逆于世，而 [顺] 于道德。		《韩非子》__春秋战国
36	臣非非难言孔，所以难言者：言 [顺] 比滑泽，洋洋纚々然，则见以为华而不实；敦祗恭厚，鲠固慎完，则见以为掘而不伦；多言繁称，连类比物，则见以为虚而无用；总微说约，径省而不饰，则见以为刿而不辩；激急亲近，探知人情，则见以为谮为不让；闳大广博，妙远不测，则见以为夸而无用；家计小谈，以具数言，则见以为陋；言而近世，辞不悖逆，则见以为贪生而谀上；言而远俗，诡躁人间，则见以为诞；捷敏辩给，繁于文采，则见以为史；殊释文学，以质信言，则见以为鄙；时称诗书，道法往古，则见以为诵。		《韩非子》__春秋战国
37	利用御寇， [顺] 相保也。		《周易》__周
