语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：顾
2022/7/10 22:56:32

序号	语句	书名	朝代
1	天惟求尔多方，大动以威，开厥 [顾] 天；惟尔多方，罔堪 [顾] 之。		《尚书》__周
2	 [顾] 其为书犹颇放失，是以忘其固陋，采而辑之，闲亦窃附己意，补其阙略，以俟后之君子。		《大学中庸》__春秋战国
3	大甲曰：“ [顾] 諟天之明命。”		《大学中庸》__春秋战国
4	 [顾] ，谓常目在之也。		《大学中庸》__春秋战国
5	白之 [顾] 益黑，求之愈不得者，其此义邪！		《吕氏春秋》__春秋战国
6	 [顾] 其为书犹颇放失，是		《大学中庸》__春秋战国
7	大甲曰：“ [顾] 諟天之明命。”		《大学中庸》__春秋战国
8	诞淫厥泆，罔 [顾] 于天显民祗，惟时上帝不保，降若兹大丧。		《尚书》__周
9	周书· [顾] 命		《尚书》__周
10	成王将崩，命召公、毕公率诸侯相康王，作《 [顾] 命》。		《尚书》__周
11	对曰：“子以死为 [顾] 可以见人乎？”		《吕氏春秋》__春秋战国
12	孤以下密迩于天子，无所逃罪，讯让日至，曰：昔吴伯父不失，春秋必率诸侯以 [顾] 在余一人。		《国语》__春秋战国
13	盖井不泉而泥，则人所不食，而禽鸟亦莫之 [顾] 也。		《周易》__周
14	王孙雒进， [顾] 揖诸大夫曰：“危事不可以为安，死事不可以为生，则无为贵智矣。		《国语》__春秋战国
15	义厚亲不称行而 [顾] 行。		《墨子》__春秋战国
16	相时憸民，犹胥 [顾] 于箴言，其发有逸口，矧予制乃短长之命！		《尚书》__周
17	，恐惧惊 [顾] 之貌。		《周易》__周
18	今予一二伯父尚胥暨 [顾] ，绥尔先公之臣服于先王。		《尚书》__周
19	惟嗣王不惠于阿衡，伊尹作书曰：“先王 [顾] 諟天之明命，以承上下神祗。		《尚书》__周
20	愚人不知， [顾] 以为暴。		《韩非子》__春秋战国
21	二曰 [顾] 小利，则大利之残也。		《韩非子》__春秋战国
22	奚谓 [顾] 小利？		《韩非子》__春秋战国
23	故曰： [顾] 小利，则大利之残也。		《韩非子》__春秋战国
24	管夷吾 [顾] 谓鲍叔黄子曰：“生死之道，吾二人进之矣。”		《列子》__春秋战国
25	孟孙阳因 [顾] 与其徒说他事。		《列子》__春秋战国
26	 [顾] 谓其妻曰：‘负日之 暄，人莫知者；以献吾君，将有重赏。		《列子》__春秋战国
27	君亟定变法之虑，殆无 [顾] 天下之议之也。		《商君书》__春秋战国
28	 [顾] 见商丘开年老力弱，面目黎黑，衣冠不检，莫不眲之。		《列子》__春秋战国
29	孔子 [顾] 谓弟子曰：“用志不分，乃凝于神。		《列子》__春秋战国
30	今休：王不敢后，用 [顾] 畏于民碞；王来绍上帝，自服于土中。		《尚书》__周
31	 [顾] 反，过而弗辞。		《吕氏春秋》__春秋战国
32	丕则敏德，用康乃心， [顾] 乃德，远乃猷，裕乃以；民宁，不汝瑕殄。”		《尚书》__周
33	公雪涕而 [顾] 晏子曰：“寡人今日之游悲，孔与据皆从寡 人而泣，子之独笑，何也？”		《列子》__春秋战国
34	曰：“ [顾] 若影，则知之。”		《列子》__春秋战国
35	列子 [顾] 而观影：形枉则影曲，形直则 影正。		《列子》__春秋战国
36	然 [顾] 视其妻，亦有招之者矣。		《列子》__春秋战国
37	谓他人父，亦莫我 [顾] ！		《诗经》__周
38	隰朋之言奚 [顾] ？”		《列子》__春秋战国
39	秦青 [顾] 谓其友 曰：“昔韩娥东之齐，匮粮，过雍门，鬻歌假食。		《列子》__春秋战国
40	因 [顾] 而命管子曰：“夷吾佐予！”		《吕氏春秋》__春秋战国
41	三岁贯女，莫我肯 [顾] 。		《诗经》__周
42	使獐疾走，马弗及至，己而得者，其时 [顾] 也。		《吕氏春秋》__春秋战国
43	尹文先生揖而进 之于室，屏左右而与之言曰：“昔老聃之徂西也， [顾] 而告予曰：有生之气，有形 之状，尽幻也。		《列子》__春秋战国
44	不 [顾] 言因也因也者非吾所 [顾] 故无 [顾] 也，		《管子》__春秋战国
45	 [顾] 谓颜回纪之。		《列子》__春秋战国
46	子列子适卫，食于道，从者见百岁髑髅，攓蓬而指， [顾] 谓弟子百丰曰：“ 唯予与彼知而未尝生未尝死也。		《列子》__春秋战国
47	 [顾] 谓弟子曰：“彼叟可与言者，试往讯之！”		《列子》__春秋战国
48	巨者可与远举 [顾] 忧者可与致道，		《管子》__春秋战国
49	温恭朝夕，执事有恪， [顾] 予烝尝，汤孙之将。		《诗经》__周
50	 [顾] 视子列子，形神不相偶，而 不可与群。		《列子》__春秋战国
51	 [顾] 予烝尝，汤孙之将。		《诗经》__周
52	九有有截，韦 [顾] 既伐，昆吾夏桀。		《诗经》__周
53	观析  [顾] 其徒而笑曰：“为若舞，彼来者奚若？”		《列子》__春秋战国
54	是故，上 有大泽，则惠必及下， [顾] 上先下后耳，非上积重而下有冻馁之民也。		《礼记》__春秋战国
55	抚我畜我，长我育我， [顾] 我复我，出入腹我。		《诗经》__周
56	眷言 [顾] 之，潸焉出涕。		《诗经》__周
57	念彼共人，眷眷怀 [顾] ！		《诗经》__周
58	屡 [顾] 尔仆，不输尔载。		《诗经》__周
59	《大甲》早：“ [顾] 讠是天之明命。”		《礼记》__春秋战国
60	叶公之 [顾] 命曰：毋以小谋败大作，毋以嬖御人疾庄后，毋以嬖御士疾庄士、大夫 卿士。		《礼记》__春秋战国
61	宁适不来，微我弗 [顾] 。		《诗经》__周
62	郑将 [顾] 楚，楚将 [顾] 夷，莫有斗心，不可失也。”		《国语》__春秋战国
63	 [顾] 瞻周道，中心怛兮。		《诗经》__周
64	 [顾] 瞻周道，中心吊兮。		《诗经》__周
65	维彼忍心，是 [顾] 是复。		《诗经》__周
66	晏子对曰：“婴闻之，盖 [顾] 人而後衣食者，不以贪昧为非；盖 [顾] 人而後行者，不以邪僻为累。		《晏子春秋》__春秋战国
67	大命近止，靡瞻靡 [顾] 。		《诗经》__周
68	韩侯 [顾] 之，烂其盈门。		《诗经》__周
69	景公出田，寒，故以为浑，犹 [顾] 而问晏子曰：“若人之众，则有孔子焉乎？”		《晏子春秋》__春秋战国
70	怀弗听，曰：“吾思父，不能 [顾] 矣。”		《国语》__春秋战国
71	庸德之行，庸言之谨；有所不足，不敢不勉，有 余不敢尽；言 [顾] 行，行 [顾] 言，君子胡不忄造忄造尔！”		《礼记》__春秋战国
72	 [顾] 臣愿有请于君：由君之意，自乐之心，推而与百姓同之，则何☆之有！		《晏子春秋》__春秋战国
73	景公登箐室而望，见人有断雍门之☆者，公令吏拘之， [顾] 谓晏子趣诛之。		《晏子春秋》__春秋战国
74	昔者吾有訾☆也，吾朝夕 [顾] 焉，以相晋国，且为吾家，今吾观女也，专则不能，谋则无与也，将若之何？”		《国语》__春秋战国
75	己姓昆吾、苏、 [顾] 、温、董，董姓☆夷、豢龙，则夏灭之矣。		《国语》__春秋战国
76	卒之东郭墦间，之祭者，乞其余；不足，又 [顾] 而之他，此其为餍足之道也。		《孟子》__春秋战国
77	王立于沼上， [顾] 鸿雁麋鹿，曰：“贤者亦乐此乎？”		《孟子》__春秋战国
78	有歌，纣作北里，幽厉之声， [顾] 夫淫以鄙而偕亡，君奚轻变夫故哉？”		《晏子春秋》__春秋战国
79	乃眷西 [顾] ，此维与宅。		《诗经》__周
80	宁不我 [顾] 。		《诗经》__周
81	终风且暴， [顾] 我则笑，谑浪笑敖，中心是悼。		《诗经》__周
82	对曰：“为君节养其余以 [顾] 民，则君尊而民安；为臣忠信而无逾职业，则事治而身荣。”		《晏子春秋》__春秋战国
83	曰：“其母居伊水之上，孕，梦有神告之曰：‘臼出水而东走，毋 [顾] ！		《吕氏春秋》__春秋战国
84	’明日，视臼出水，告其邻，东走十里而 [顾] ，其邑尽为水，身因化为空桑。		《吕氏春秋》__春秋战国
85	王 [顾] 左右而言他。		《孟子》__春秋战国
86	屏言而弗 [顾] ，自顺而弗让，非是而强之，曰妒诬者也。		《逸周书》__春秋战国
87	进恶兮九旬，退 [顾] 兮彭务。		《楚辞》__春秋战国
88	思念郢路兮，还 [顾] 睠々。		《楚辞》__春秋战国
89	留思北 [顾] 涕渐渐兮，折锐摧矜凝氾滥兮，		《楚辞》__春秋战国
90	声嗷嗷以寂寥兮， [顾] 仆夫之憔悴。		《楚辞》__春秋战国
91	曾哀忄妻欷心离离兮，还 [顾] 高丘泣如氵丽兮。		《楚辞》__春秋战国
92	船人怒，而以楫虓其头， [顾] 不知其孟贲也。		《吕氏春秋》__春秋战国
93	晏子独笑于旁，公刷涕而 [顾] 晏子曰：“寡人今日游悲，孔与据皆从寡人而涕泣，子之独笑，何也？”		《晏子春秋》__春秋战国
94	心蛩蛩而怀 [顾] 兮，魂眷眷而独逝。		《楚辞》__春秋战国
95	 [顾] 瞻郢路终不返兮。		《楚辞》__春秋战国
96	歌终， [顾] 而流涕，张躬而舞。		《晏子春秋》__春秋战国
97	逢流星兮问路， [顾] 我指兮从左。		《楚辞》__春秋战国
98	乌鹊惊兮哑哑，余 [顾] 兮怊怊。		《楚辞》__春秋战国
99	 [顾] 章华兮太息，志恋恋兮依依。		《楚辞》__春秋战国
100	日暾暾其西舍兮，阳焱焱而复 [顾] 。		《楚辞》__春秋战国
101	非其义也，非其道也，禄之以天下，弗 [顾] 也；系马千驷，弗视也。		《孟子》__春秋战国
102	还 [顾] 世俗兮，坏败罔罗。		《楚辞》__春秋战国
103	临渊兮汪洋， [顾] 林兮忽荒。		《楚辞》__春秋战国
104	 [顾] 列孛兮缥缥，观幽云兮陈浮。		《楚辞》__春秋战国
105	乘日月兮上征， [顾] 游心兮鄗酆。		《楚辞》__春秋战国
106	 [顾] 屈节以从流兮，心巩巩而不夷。		《楚辞》__春秋战国
107	南荣囗惧然 [顾] 		《庄子》__春秋战国
108	狂 [顾] 南行，聊以娱心兮。		《楚辞》__春秋战国
109	过夏首而西浮兮， [顾] 龙门而不见。		《楚辞》__春秋战国
110	庄子送葬，过惠子之墓， [顾] 谓从者曰：“郢人垩慢其鼻端若蝇翼，		《庄子》__春秋战国
111	王 [顾] 谓其友		《庄子》__春秋战国
112	周 [顾] 视车辙，中有鲋鱼焉。		《庄子》__春秋战国
113	长太息兮将上，心低佪兮 [顾] 怀。		《楚辞》__春秋战国
114	瞻前而 [顾] 後兮，相观民之计极。		《楚辞》__春秋战国
115	君若 [顾] 报周室，施及寡人，以奖天衷，君之惠也。		《左传》__春秋战国
116	仆夫悲余马怀兮，蜷局 [顾] 而不行。		《楚辞》__春秋战国
117	遇故乡而一 [顾] 兮，泣歔欷而霑衿。		《楚辞》__春秋战国
118	仆夫怀余心悲兮，边马 [顾] 而不行。		《楚辞》__春秋战国
119	猛逐之， [顾] 而无继，伪颠。		《左传》__春秋战国
120	厥利维何，而 [顾] 菟在腹？		《楚辞》__春秋战国
121	叔孙使梁其踁待于门内，曰：“余左 [顾] 而欬，乃杀之。		《左传》__春秋战国
122	右 [顾] 而笑，乃止。”		《左传》__春秋战国
123	大子羞之，谓戏阳速曰：“従我而朝少君，少君见我，我 [顾] ，乃杀之。”		《左传》__春秋战国
124	夫人见大子，大子三 [顾] ，速不进。		《左传》__春秋战国
125	所不足，不敢不勉，有余不敢尽；言 [顾] 行，行 [顾] 言，君子胡不慥慥尔！”		《大学中庸》__春秋战国
126	则不敢 [顾] 辞，遂出。		《仪礼》__春秋战国
127	’今吾子疆理诸侯，而曰‘尽东其亩’而已，唯吾子戎车是利，无 [顾] 土宜，其无乃非先王之命也乎？		《左传》__春秋战国
128	苑子之御曰：“视下 [顾] 。”		《左传》__春秋战国
129	天之穿之，日夜无降，人则 [顾] 塞其		《庄子》__春秋战国
130	 [顾] 而执涛涂。		《公羊传》__春秋战国
131	失时不雨，民且狼 [顾] ；岁恶不入，请卖爵、子。		《汉书》__汉
132	’寡君不敢 [顾] 昏姻，畏君之威，而受命于吏。		《左传》__春秋战国
133	陈不违晦，在陈而嚣，合而加嚣，各 [顾] 其后，莫有斗心。		《左传》__春秋战国
134	其御屡 [顾] ，不在马，可及也。”		《左传》__春秋战国
135	舜既见，太后知其为莽求玺，怒骂之曰：“而属父子宗族蒙汉家力，富贵累世，既无以报，受人孤寄，乘便利时，夺取其国，不复 [顾] 恩义。		《汉书》__汉
136	失期内 [顾] ，以道恶为解，失尊尊之序，是四过也。		《汉书》__汉
137	延年免冠顿首阁下，良久，母乃见之，因数责延年：“幸得备郡守，专治千里，不闻仁爱教化，有以全安愚民， [顾] 乘刑罚多刑杀人，欲以立威，岂为民父母意哉！”		《汉书》__汉
138	遂适西阶前，东面右 [顾] ，命有司纳射器，射器皆入。		《仪礼》__春秋战国
139	至于泽畔，方将杖囗（上“奴”下“手”音ｙｕ２）而引其船， [顾] 见		《庄子》__春秋战国
140	莫之 [顾] 而进之，谓之佞；希意道言，谓之谄；不择是非而言，谓之谀		《庄子》__春秋战国
141	楚潘党逐之，及荧泽，见六麋，射一麋以 [顾] 献曰：“子有军事，兽人无乃不给于鲜，敢献于従者。”		《左传》__春秋战国
142	手挠 [顾] 指，四方		《庄子》__春秋战国
143	 [顾] 曰：“吾不如大国之数奔也。”		《左传》__春秋战国
144	逢大夫与其二子乘，谓其二子无 [顾] 。		《左传》__春秋战国
145	 [顾] 曰：“赵傁在后。”		《左传》__春秋战国
146	故《 [顾] 命》曰“惟四月哉生霸，王有疾不豫，甲子，王乃洮B047水”，作《 [顾] 命》。		《汉书》__汉
147	指 [顾] 取象，然后阴阳万物靡不条鬯该成。		《汉书》__汉
148	卑辞而不听，□财而无枝，计战而□足，近告而无 [顾] ，告过而不悔，请服而不得，然后绝好于闭门，循险近，说外援以天命，无为是定亡矣。		《逸周书》__春秋战国
149	王若曰：“告尔伊旧何父□□□□几耿肃执，乃殷之旧官人序文□□□□，及太史比、小史昔，及百官里居献民□□□来尹师之敬诸戒疾听朕言，用胥生蠲尹王曰：嗟尔众，予言，若敢 [顾] 天命，予来致上帝之威命，明罚。		《逸周书》__春秋战国
150	维天建殷，厥征天民，名三百六十夫，弗 [顾] ，亦不宾灭。		《逸周书》__春秋战国
151	我南望过于三途，北望过于有岳，鄙 [顾] 瞻过于河宛，瞻于伊洛。		《逸周书》__春秋战国
152	 [顾] 曰：“为私誓。”		《左传》__春秋战国
153	赵盾 [顾] 曰：“君之獒不若臣之獒也！”		《公羊传》__春秋战国
154	赵盾 [顾] 曰：“吾何以得此于子？”		《公羊传》__春秋战国
155	大言曰：“臣常往来海中，见安期、羡门之属， [顾] 以臣为贱，不信臣。		《汉书》__汉
156	孔子 [顾] 谓弟		《庄子》__春秋战国
157	呜呼，惟尔天子嗣文武业，惟尔执政小子同先王之臣昏行□ [顾] 道，王不若，专利作威，佐乱进祸，民将弗堪。		《逸周书》__春秋战国
158	貜父，善 [顾] 。		《尔雅》__汉
159	夫力耕桑以求衣食，筑城郭以自备，故其民急则不习战攻，缓则罢于作业，嗟土室之人， [顾] 无喋喋占占，冠固何当！”		《汉书》__汉
160	自是之后，汉使欲辩论者，中行说辄曰：“汉使毋多言， [顾] 汉所输匈奴缯絮米F93F，令其量中，必善美而已，何以言为乎？		《汉书》__汉
161	安曰：“逐麋之狗，当 [顾] 菟邪！		《汉书》__汉
162	又曰‘乃眷西 [顾] ，此维予宅，’言天以文王之都为居也。		《汉书》__汉
163	岁余，博平君薨，谥曰思成夫人，诏徙思成侯合葬奉明 [顾] 成庙南，置园邑长丞，罢涿郡思成园。		《汉书》__汉
164	既过幸于非位兮，窃庶几乎嘉时，每寤寐而累息兮，申佩离以自思，陈女图以镜监兮， [顾] 女史而问诗。		《汉书》__汉
165	 [顾] 左右兮和颜，酌羽觞兮销忧。		《汉书》__汉
166	粱（梁）王出， [顾] 危。”		《纵横家书》__春秋战国
167	太子议欲谢，少傅阎崇以为：“《春秋》不以父命废王父命，为人后之礼不得 [顾] 私亲，不当谢。”		《汉书》__汉
168	顷之，成帝母王太后欲令傅太后、丁BCA7十日一至太子家，成帝曰：“太子丞正统，当共养陛下，不得复 [顾] 私亲。”		《汉书》__汉
169	高后兒子畜之，笑曰：“ [顾] 乃父知田耳，若生而为王子，安知田乎？”		《汉书》__汉
170	以平帝为成帝后，不得 [顾] 私亲，帝母及外家卫氏皆留中山，不得至京师。		《汉书》__汉
171	法使天下公得 [顾] 租铸铜锡为钱，敢杂以铅铁为它巧者，其罪黥。		《汉书》__汉
172	闵公矜此妇人，妒其言， [顾] 曰：“此虏也！		《公羊传》__春秋战国
173	管子 [顾] 曰：“君许诺。”		《公羊传》__春秋战国
174	 [顾] 自以为身残处秽，动而见尤，欲益反损，是以抑郁而无谁语。		《汉书》__汉
175	夫人情莫不贪生恶死，念亲戚， [顾] 妻子，至激于义理者不然，乃有不得已也。		《汉书》__汉
176	申公时已八十余，老，对曰：“为治者不在多言， [顾] 力行何如耳。”		《汉书》__汉
177	及父子并为将军，有椒房中宫之重，皇后亲安女，光乃其外祖，而 [顾] 专制朝事，繇是与光争权。		《汉书》__汉
178	 [顾] 由无求于世而已矣。		《法言》__汉
179	王得书喜说，报博书曰：“子高乃幸左 [顾] 存恤，发心恻隐，显至诚，纳以嘉谋，语以至事，虽亦不敏，敢不谕意！		《汉书》__汉
180	相如 [顾] 召御史书曰：“秦王为赵王击缶也。”		《风俗通义》__汉
181	上以太子奉大宗后，不得 [顾] 私亲，乃立楚思王子景为定陶王，奉共王后。		《汉书》__汉
182	时掖庭令张贺尝事戾太子，思 [顾] 旧恩，哀曾孙，奉养甚谨，以私钱供给教书。		《汉书》__汉
183	令去， [顾] 谓宾客：“平舆老夫，何欲召陵令哉！		《风俗通义》__汉
184	邑曰：“百万之师，所过当灭，今属此城，喋血而进，前歌后舞， [顾] 不快邪！”		《汉书》__汉
185	汉直 [顾] 见其家，怪其如此。		《风俗通义》__汉
186	邻国望我，欢若亲戚，芬若椒兰， [顾] 视其上，犹焚灼仇雠。		《汉书》__汉
187	大者，有 [顾] 之辞也，于无禾及无麦也。		《榖梁传》__春秋战国
188	太后笑曰:“ [顾] 汝父知田耳，若生而为王者子，安知田乎？”		《风俗通义》__汉
189	谨按汝南南顿张助于田中种禾，见李核，意欲持去， [顾] 见空桑中有土，因殖种，以余浆溉灌。		《风俗通义》__汉
190	郴还厅事，思惟良久， [顾] 见悬弩，必是也。		《风俗通义》__汉
191	规 [顾] 弟，私也；离局，奸也；诱巧，诈也；畏舟，慢也。		《风俗通义》__汉
192	然世人亦多浅薄，在者无之，亡者无 [顾] 覆之施，饥寒缓急，视之若遗。		《风俗通义》__汉
193	孺子所以经三千里越度山川而亲至者，非徒徇於己， [顾] 义报乎。		《风俗通义》__汉
194	而 [顾] 私恩，傲很自遂，若宫车晏驾，何以过兹。		《风俗通义》__汉
195	孔子食於施氏，未尝不饱，何有同生之家而 [顾] 钱者哉！		《风俗通义》__汉
196	於是周乘 [顾] 谓左右：“诸君欲行，周乘当止者，莫逮郎君，尽其哀恻。”		《风俗通义》__汉
197	晋年十五， [顾] 而问曰：“吾闻大师能知人年之短长也。”		《风俗通义》__汉
198	逐利不耳，虑非 [顾] 行也，今其甚者杀父兄矣。		《汉书》__汉
199	若夫庆赏以劝善，刑罚以惩恶，先王执此之政，坚如金石，行此之令，信如四时，据此之公，无私如天地耳，岂 [顾] 不用哉？		《汉书》__汉
200	 [顾] 行而忘利，守节而仗义，故可以托不御之权，可以寄六尺之孤。		《汉书》__汉
201	此之不为，而 [顾] 彼之久行，故曰可为长叹息者此也。		《汉书》__汉
202	吴、濮有衅，楚之执事岂其 [顾] 盟？		《左传》__春秋战国
203	今萧何未有汗马之劳，徒持文墨议论，不战， [顾] 居臣等上，何也？”		《汉书》__汉
204	 [顾] 而见人，黑而上偻，深目而豭喙。		《左传》__春秋战国
205	孝文皇帝居霸陵，北临厕，意凄怆悲怀， [顾] 谓群臣曰：“嗟乎！		《汉书》__汉
