语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：饯
2022/7/10 23:05:38

序号	语句	书名	朝代
1	寅 [饯] 纳日，平秩西成。		《尚书》__周
2	 [饯] 于郊衢， 抚节悲歌，声振林木，响遏行云。		《列子》__春秋战国
3	申伯信迈，王 [饯] 于郿。		《诗经》__周
4	显父 [饯] 之，清酒百壶。		《诗经》__周
5	靖公享之，俭而敬，宾礼赠 [饯] ，视其上而从之，燕无私，送不过郊，语说《昊天有成命》。		《国语》__春秋战国
6	出宿于，饮 [饯] 于祢。		《诗经》__周
7	出宿于干，饮 [饯] 于言。		《诗经》__周
8	既毕，宾、飨、赠、 [饯] 如公命侯伯之礼，而加之以宴好。		《国语》__春秋战国
9	夏四月，郑六卿 [饯] 宣子于郊。		《左传》__春秋战国
10	献毕，未彻，乃 [饯] 。		《仪礼》__春秋战国
11	无尸，则不 [饯] 。		《仪礼》__春秋战国
12	帅郊、要、 [饯] 之甲，以逐刘子。		《左传》__春秋战国
13	季文子 [饯] 之，私焉，曰：“大国制义以为盟主，是以诸侯怀德畏讨，无有贰心。		《左传》__春秋战国
14	羞、 [饯] 、迪、烝，进也。		《尔雅》__汉
15	因赐治庙者司徒、大司空 [饯] 客千万，侍中、中常侍以下皆封。		《汉书》__汉
16	从兄让为汾州刺史，周帝 [饯] 于都门外。		《北史》__魏晋六朝
17	一云魏之郊境，总有三亭，皆祖 [饯] 之处。		《史记》__汉
18	与期三亭之南，盖送 [饯] 已毕，无人处。		《史记》__汉
19	二月乙已，上 [饯] 梁主于霸上。		《北史》__魏晋六朝
20	十一月丁卯，车驾 [饯] 师。		《北史》__魏晋六朝
21	澹将反命，为启于陈主曰：“敬奉弘慈，曲垂 [饯] 送。”		《北史》__魏晋六朝
22	徽以 [饯] 送为重，敬奉为轻，却其启而不奏。		《北史》__魏晋六朝
23	壬辰，还鄴，魏帝 [饯] 于乾脯山，执手而别。		《北史》__魏晋六朝
24	辛酉，大将军尔硃荣还晋阳，帝 [饯] 于邙阴。		《北史》__魏晋六朝
25	及发，帝亲 [饯] 之，命百寮赋诗赠昶。		《北史》__魏晋六朝
26	明帝幸明堂以 [饯] 之。		《北史》__魏晋六朝
27	公清如水，请酌一杯水奉 [饯] 。”		《北史》__魏晋六朝
28	乙亥，帝幸明堂， [饯] 宝夤等。		《北史》__魏晋六朝
29	亲故祖 [饯] 于张方桥，显度执酒曰：“显智性轻躁，好去就，覆败吾家，其此人也！”		《北史》__魏晋六朝
30	梁武帝许之，亲 [饯] 于南苑。		《北史》__魏晋六朝
31	转前将军、荆州刺史，郡人恋仰，倾境 [饯] 送。		《北史》__魏晋六朝
32	将还， [饯] 送者五十余人，别于渭北。		《北史》__魏晋六朝
33	出为使持节、开府、冀州刺史，孝文 [饯] 于南郊。		《北史》__魏晋六朝
34	帝亲 [饯] 于郊，诫曰：“刑狱之理，先哲所难。		《北史》__魏晋六朝
35	百寮 [饯] 之，犹群公之祖二疏也。		《北史》__魏晋六朝
36	始昭之守临海，陆倕 [饯] 之，宾主俱欢，日昏不反，映以昭年高，不可连夜极乐，乃自往迎候，同乘而归，兄弟并已斑白，时人美而服焉。		《梁书》__魏晋六朝
37	将之州，孝文 [饯] 于西郊乐阳殿，以御白羽扇赐之。		《北史》__魏晋六朝
38	周文 [饯] 于青泥谷。		《北史》__魏晋六朝
39	时中庶子谢嘏出守建安，于宣猷堂宴 [饯] ，并召时才赋诗，同用十五剧韵，恺诗先就，其辞又美。		《梁书》__魏晋六朝
40	帝 [饯] 桢于华林都亭，诏并赋诗。		《北史》__魏晋六朝
41	始镇鄴，知友才学之士袁翻、李琰之、李神俊、王诵兄弟、裴敬宪等咸 [饯] 于河梁，赋诗告别。		《北史》__魏晋六朝
42	又今月十日，御 [饯] 梁州刺史臣珍国，宴私既洽，群臣并已谒退，时诏留侍中臣昂等十人，访以政道。		《梁书》__魏晋六朝
43	定都洛邑，休从驾幸鄴，命休率从驾文武迎家于平城，帝亲 [饯] 休于漳水之北。		《北史》__魏晋六朝
44	群公百寮 [饯] 于城西张方桥，行路观者莫不称叹。		《北史》__魏晋六朝
45	车驾幸白下，临 [饯] 谓庆之曰：“江、淮兵劲，其锋难当，卿可以策制之，不宜决战。”		《梁书》__魏晋六朝
46	皇太子出 [饯] 新亭，执粲手曰：“与卿不为久别。”		《梁书》__魏晋六朝
47	景 [饯] 仲礼于后渚，敬礼密谓仲礼曰：“景今来会，敬礼抱之，兄拔佩刀，便可斫杀，敬礼死亦无所恨。”		《梁书》__魏晋六朝
48	六年，高祖于文德殿 [饯] 广州刺史元景隆，诏群臣赋诗，同用五十韵，规援笔立奏，其文又美。		《梁书》__魏晋六朝
49	时魏中山王元略还北，高祖 [饯] 于武德殿，赋诗三十韵，限三刻成。		《梁书》__魏晋六朝
50	十八年，入朝，奏岭南地图，赐以良马杂物，加统四州，令还任所，遣光禄少卿柳謇之 [饯] 于灞上。		《北史》__魏晋六朝
51	久之，除安成王中记室，当出随府，皇太子以旧恩，特降 [饯] 宴，赐诗曰：“孙生陟阳道，吴子朝歌县。		《梁书》__魏晋六朝
52	及出师，车驾临 [饯] ，倾朝祖送。		《北史》__魏晋六朝
53	高祖 [饯] 于新亭，谓曰：“卿衣锦还乡，朕无西顾之忧矣。”		《梁书》__魏晋六朝
54	 [饯] 送昌门，把腕别曰：“何时能还？”		《三国志》__魏晋六朝
55	今当远别，因见贶 [饯] ，可一饮宴。”		《三国志》__魏晋六朝
56	及东归，车驾幸冶亭 [饯] 送。		《宋书》__魏晋六朝
57	吴遣使张温来聘，百官皆往 [饯] 焉。		《三国志》__魏晋六朝
58	峻与胤至石头，因 [饯] 之，领从者百许人入据营。		《三国志》__魏晋六朝
59	陛下接遇殷勤，累加荣宠，骠骑、扬州，旬月移授，恩秩频加，复赐徐、兗，仰屈皇储，远相 [饯] 送。		《宋书》__魏晋六朝
60	辞事东归，高祖 [饯] 之戏马台，百僚咸赋诗以述其美。		《宋书》__魏晋六朝
61	 [饯] 离不以币，赠言重琳球。		《宋书》__魏晋六朝
62	馆陶令诸葛原迁新兴太守，辂往祖 [饯] 之，宾客并会。		《三国志》__魏晋六朝
63	景春与辂有荣辱之分，因辂 [饯] 之，大有高谭之客。		《三国志》__魏晋六朝
64	夕饮 [饯] 以俶装，旦出宿而言辞。		《宋书》__魏晋六朝
65	青 [饯] 之于郊，乃抚节悲歌，声震林木，响遏行云。		《宋书》__魏晋六朝
66	又以饰冠冕四彩缫，紫衣红裳，乘象辂，小会宴飨， [饯] 送诸侯，临轩会王公。		《宋书》__魏晋六朝
67	五侯相 [饯] 送，高会集新丰。		《昭明文选》__魏晋六朝
68	别易会难，古人所重；江南 [饯] 送，下泣言离。		《颜氏家训》__魏晋六朝
69	又曰：薛谈学讴於秦青，辞归，青 [饯] 於郊衢，抚节悲歌，声振林木，响遏行云。		《昭明文选》__魏晋六朝
70	王粲《赠杨德祖诗》云：“我君 [饯] 之，其乐洩々。”		《颜氏家训》__魏晋六朝
71	秋日凄且厉，百卉具已腓，爰以履霜节，登高 [饯] 将归。		《陶渊明集》__魏晋六朝
72	饮 [饯] 觞莫举，出宿归无期。		《昭明文选》__魏晋六朝
