语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：首
2023/1/20 15:18:58

序号	语句	书名	朝代
1	九三，明夷于南狩，得其大 [首] ，不可疾贞。		《周易》__周
2	右传之 [首] 章。		《大学中庸》__春秋战国
3	导岍及岐，至于荆山，逾于河；壶口、雷 [首] 至于太岳；厎柱、析城至于王屋；太行、恒山至于碣石，入于海。		《尚书》__周
4	诚其意者，自修之 [首] 也。		《大学中庸》__春秋战国
5	命弦者曰：请奏《狸 [首] 》，间若一。		《礼记》__春秋战国
6	其节，天子以《驺虞》为节，诸侯以《狸 [首] 》为节，卿大夫以《采》 为节，士以《采繁》为节。		《礼记》__春秋战国
7	《驺虞》者，乐官备也；《狸 [首] 》者，乐会时也。		《礼记》__春秋战国
8	大桡作甲子，黔如作虏 [首] ，容成作历，羲和作占日，尚仪作占月，后益作占岁，胡曹作衣，夷羿作弓，祝融作市，仪狄作酒，高元作室，虞姁作舟，伯益作井，赤冀作臼，乘雅作驾，寒哀作御，王冰作服牛，史皇作图，巫彭作医，巫咸作筮。		《吕氏春秋》__春秋战国
9	侍坐于君子，君子欠伸，运笏，泽剑 [首] ，还屦，问日蚤莫，虽请退可也。		《礼记》__春秋战国
10	右传之 [首] 章。		《大学中庸》__春秋战国
11	羞 [首] 者，进喙祭耳。		《礼记》__春秋战国
12	脱衣就功， [首] 戴茅蒲，身衣☆☆沾体途足，暴其发肤，尽其四支之敏，以从事于田野。		《国语》__春秋战国
13	公及齐侯、宋公、陈侯、卫侯、郑伯、许男、曹伯会王世子于 [首] 戴。		《榖梁传》__春秋战国
14	秋，八月，诸侯盟于 [首] 戴。		《榖梁传》__春秋战国
15	尊王世子于 [首] 戴，乃所以尊天王之命也。		《榖梁传》__春秋战国
16	朝服虽敝，必加于上，弁冕虽旧，必加于 [首] ，周室虽衰，必先诸侯。		《榖梁传》__春秋战国
17	寝东 [首] 于北牖下。		《礼记》__春秋战国
18	见马 [首] ，先入门右，巫止于门外，祝代之先， 君释菜于门内。		《礼记》__春秋战国
19	夫人吊于大夫士，主人出迎于门外，见马 [首] ，先入门右。		《礼记》__春秋战国
20	与 [首] 之人也异人之体非一貌者也。		《墨子》__春秋战国
21	不食雏鳖，狼去肠，狗去肾，狸去正脊，兔去尻，狐去 [首] ，豚去脑，鱼去乙， 鳖去丑。		《礼记》__春秋战国
22	适子庶子见于外寝，抚其 [首] 咳而名之，礼帅初，无辞。		《礼记》__春秋战国
23	由 命士以上及大夫之子，旬而见，冢子未食而见，必执其右手，适子庶子已食而见， 必循其 [首] 。		《礼记》__春秋战国
24	殷人白马， 黑 [首] ，周人黄马，蕃鬣。		《礼记》__春秋战国
25	有虞氏祭 [首] ，夏后氏祭心，殷祭肝，周祭肺。		《礼记》__春秋战国
26	古有伯夷叔齐者，武王让以天下而弗受，二人饿死 [首] 阳之陵。		《韩非子》__春秋战国
27	伯夷叔齐实以孤竹君让，而终亡其国，饿死于 [首] 阳之山。		《列子》__春秋战国
28	叔孙得臣，最善射者也，射其目，身横九亩，断其 [首] 而载之，眉见于轼。		《榖梁传》__春秋战国
29	其战也，五人来簿为伍，一人羽而轻其四人，能人得一 [首] 则复。		《商君书》__春秋战国
