语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：黑
2022/7/10 23:13:41

序号	语句	书名	朝代
1	厥土 [黑] 坟，厥草惟繇，厥木惟条。		《尚书》__周
2	白之顾益 [黑] ，求之愈不得者，其此义邪！		《吕氏春秋》__春秋战国
3	则以此不人不知白 [黑] 之辩矣。		《墨子》__春秋战国
4	 [黑] 旗 [黑] 神长六尺者六。		《墨子》__春秋战国
5	目不失其明，而见白 [黑] 之殊。		《吕氏春秋》__春秋战国
6	以王癸僚 [黑] 龙于北方。		《墨子》__春秋战国
7	帝以今日杀 [黑] 龙于北方。		《墨子》__春秋战国
8	右军亦如之，皆玄裳、玄旗、 [黑] 甲、乌羽之☆，望之如墨。		《国语》__春秋战国
9	牛夜鸣则<广酉>，羊泠毛而毳膻，狗赤股而躁躁，鸟キ色而沙鸣郁，豕望 视而交睫腥，马 [黑] 脊而般臂漏，雏尾不盈握，弗食，舒雁翠，鹄胖，舒凫翠， 鸡肝，雁肾，鸨奥，鹿胃。		《礼记》__春秋战国
10	夏后氏骆马， [黑] 鬣。		《礼记》__春秋战国
11	殷人白马，  [黑] 首，周人黄马，蕃鬣。		《礼记》__春秋战国
12	夏后氏，牲尚 [黑] ，殷白牡，周も刚。		《礼记》__春秋战国
13	顾见商丘开年老力弱，面目黎 [黑] ，衣冠不检，莫不眲之。		《列子》__春秋战国
14	蓬生麻中，不扶而直；白沙在涅，與之俱 [黑] 。		《荀子》__春秋战国
15	颜色黎 [黑] ，步不相过，窍气不通，以中帝心。		《吕氏春秋》__春秋战国
16	其 [黑] ，为天下式。		《老子》__春秋战国
17	目辨白 [黑] 美惡，耳辨聲音清濁，口辨酸咸甘苦，鼻辨芬芳腥臊，骨體膚理辨寒暑疾養，是又人之所常生而有也，是無待而然者也，是禹桀之所同也。		《荀子》__春秋战国
18	来方禋祀，以其骍 [黑] ，与其黍稷。		《诗经》__周
19	家无故 [黑] 牛生白犊，以问孔子。		《列子》__春秋战国
20	十年春，卫侯之弟 [黑] 背帅师侵郑。		《榖梁传》__春秋战国
21	修百王之法，若辨白 [黑] ；應當時之變，若數一二；行禮要節而安之，若生四枝；要時立功之巧，若詔四時；平正和民之善，億萬之眾而摶若一人∶如是，則可謂聖人矣。		《荀子》__春秋战国
22	法先王，統禮義，一制度；以淺持博，以古持今，以一持萬；茍仁義之類也，雖在鳥獸之中，若別白 [黑] ；倚物怪變，所未嘗聞也，所未嘗見也，卒然起一方，則舉統類而應之，無所擬怍；張法而度之，則暗然若合符節∶是大儒者也。		《荀子》__春秋战国
23	孔子曰：“夫白而白， [黑] 而 [黑] ，夫贲又何好乎？”		《吕氏春秋》__春秋战国
24	禹东至榑木之地，日出九津，青羌之野，攒树之所，扌昬天之山，鸟谷、青丘之乡， [黑] 齿之国；南至交址、孙朴续樠之国，丹粟漆树沸水漂漂九阳之山，羽人、裸民之处，不死之乡；西至三危之国，巫山之下，饮露吸气之民，积金之山，其肱、一臂、三面之乡；北至人正之国，夏海之穷，衡山之上，太戎之国，夸父之野，禺强之所，积水、积石之山。		《吕氏春秋》__春秋战国
