语料检索_语料库在线(www.cncorpus.org)
类型：古代汉语语料库
检索条件：齿
2023/1/20 15:08:26

序号	语句	书名	朝代
1	厥贡惟金三品，瑶、琨筱、簜、 [齿] 、革、羽、毛惟木。		《尚书》__周
2	厥贡羽、毛、 [齿] 、革惟金三品，杶、干、栝、柏，砺、砥、砮、丹惟菌簵、楛，三邦厎贡厥名。		《尚书》__周
3	宫之奇谏曰：“语曰：‘脣亡则 [齿] 寒。		《榖梁传》__春秋战国
4	荀息牵马操璧而前曰：“璧则犹是也，而马 [齿] 加长矣！”		《榖梁传》__春秋战国
5	此公玉丹之所以见信、而卓 [齿] 之所以见任也。		《吕氏春秋》__春秋战国
6	任卓 [齿] 而信公玉丹，岂非以自雠邪？		《吕氏春秋》__春秋战国
7	始死，迁尸于床，无用敛衾，去死衣，小臣楔 [齿] 用角四，缀足用燕几， 君、大夫、士一也。		《礼记》__春秋战国
8	问马 [齿] ，圉人曰 “ [齿] 十二与牙三十”。		《吕氏春秋》__春秋战国
9	且臣闻之：‘脣亡，则 [齿] 寒。		《韩非子》__春秋战国
10	虽然，马 [齿] 亦益长矣。”		《韩非子》__春秋战国
11	穆之后庭，比房数十，皆择稚 [齿] 婑者以盈之。		《列子》__春秋战国
12	张孟谈见韩、魏之君曰：“臣闻：‘亡 [齿] 寒。		《韩非子》__春秋战国
13	脣乎 [齿] 乎，吾不为始乎； [齿] 乎脣乎，愈惛々乎。		《韩非子》__春秋战国
14	有七尺之骸，手足之异， 戴发含 [齿] ，倚而趣者，谓之人；而人未必无兽心。		《列子》__春秋战国
15	禹东至榑木之地，日出九津，青羌之野，攒树之所，扌昬天之山，鸟谷、青丘之乡，黑 [齿] 之国；南至交址、孙朴续樠之国，丹粟漆树沸水漂漂九阳之山，羽人、裸民之处，不死之乡；西至三危之国，巫山之下，饮露吸气之民，积金之山，其肱、一臂、三面之乡；北至人正之国，夏海之穷，衡山之上，太戎之国，夸父之野，禺强之所，积水、积石之山。		《吕氏春秋》__春秋战国
16	宋人有游于道，得人遗契者，归而藏之，密数其 [齿] 。		《列子》__春秋战国
17	王曰：“不谷免衣襁褓而 [齿] 於诸侯，愿请变更而无笞。”		《吕氏春秋》__春秋战国
18	手如柔荑，肤如凝脂，领如蝤蛴， [齿] 如瓠犀，螓首蛾眉，巧笑倩兮，美目盼兮。		《诗经》__周
19	王谛料之，内则肝、胆、心、肺、脾、肾、肠、胃，外 则筋骨、支节、皮毛、 [齿] 发，皆假物也，而无不毕具者。		《列子》__春秋战国
20	冬与夏不能两刑，草与稼不能两成，新谷熟而陈谷亏，凡有角者无上 [齿] ，果实繁者木必庳，用智褊者无遂功，天之数也。		《吕氏春秋》__春秋战国
21	相鼠有 [齿] ，人而无止！		《诗经》__周
22	昔者，有虞氏贵德而尚 [齿] ，夏后氏贵爵而尚 [齿] ，殷人贵富而尚 [齿] ，周人贵亲 而尚 [齿] 。		《礼记》__春秋战国
23	是故，朝廷同爵则尚 [齿] 。		《礼记》__春秋战国
